id,player_name,team,gp,toi,sa,sv,ga,sv_pcg,gaa,gsaa,xga,hdsa,hdsv,hdga,hdsv_pcg,hdgaa,hdgsaa,mdsa,mdsv,mdga,mdsv_pcg,mdgaa,mdgsaa,ldsa,ldsv,ldga,ldsv_pcg,ldgaa,ldgsaa,rush_attempts_against,rebound_attempts_against,avg_shot_dist,avg_goal_dist
1,Roberto Luongo,FLA,43,1906.0166666667,994,901,93,0.906,2.93,-12.63,76.55,263,207,56,0.787,1.76,-10.16,241,215,26,0.892,0.82,-4.62,419,409,10,0.976,0.31,1.85,58,106,37.84,20.38
2,Craig Anderson,OTT,78,3450.1,1988,1810,178,0.910,3.10,-17.27,148.06,508,416,92,0.819,1.60,-3.46,479,420,59,0.877,1.03,-16.51,928,902,26,0.972,0.45,0.24,88,258,36.65,23.05
3,Ryan Miller,ANA,38,1674.45,872,807,65,0.925,2.33,5.50,68.41,233,197,36,0.845,1.29,4.61,243,228,15,0.938,0.54,6.56,368,354,14,0.962,0.50,-3.59,43,97,34.46,24.02
4,Henrik Lundqvist,NYR,80,3665.5333333333,1952,1796,156,0.920,2.55,1.82,152.95,532,445,87,0.836,1.42,5.72,490,443,47,0.904,0.77,-3.53,831,809,22,0.974,0.36,1.50,116,241,36.67,22.17
5,Peter Budaj,L.A,3,59.733333333333,21,18,3,0.857,3.01,-1.30,1.37,8,7,1,0.875,1.00,0.39,3,2,1,0.667,1.00,-0.73,8,7,1,0.875,1.00,-0.77,1,2,41.24,27.00
6,Mike Smith,"CGY, EDM",74,3335.8833333333,1547,1398,149,0.904,2.68,-23.92,116.77,435,347,88,0.798,1.58,-12.18,384,341,43,0.888,0.77,-8.93,615,597,18,0.971,0.32,-0.61,97,156,37.07,20.42
7,Mike McKenna,"OTT, PHI",11,415.26666666667,244,216,28,0.885,4.05,-8.27,15.94,61,46,15,0.754,2.17,-4.37,51,43,8,0.843,1.16,-3.48,116,111,5,0.957,0.72,-1.72,9,22,40.04,24.18
8,Curtis McElhinney,"CAR, T.B",49,2347.7,1157,1068,89,0.923,2.27,4.55,94.7,324,271,53,0.836,1.35,3.47,266,243,23,0.914,0.59,0.60,505,492,13,0.974,0.33,1.28,69,154,36.49,21.83
9,Cam Ward,CHI,33,1544,888,816,72,0.919,2.80,-0.20,73.18,294,249,45,0.847,1.75,6.24,229,208,21,0.908,0.82,-0.68,339,333,6,0.982,0.23,3.59,56,97,32.11,19.89
10,Marc-Andre Fleury,VGK,104,4945.7333333333,2351,2153,198,0.916,2.40,-7.92,179.77,622,500,122,0.804,1.48,-13.59,623,578,45,0.928,0.55,10.27,968,937,31,0.968,0.38,-3.63,131,297,36.32,20.28
11,Corey Crawford,CHI,69,3241.25,1734,1596,138,0.920,2.55,2.20,134.22,522,447,75,0.856,1.39,15.98,439,394,45,0.897,0.83,-6.06,703,685,18,0.974,0.33,1.88,88,181,33.47,21.68
12,Jimmy Howard,DET,81,3559.65,1999,1833,166,0.917,2.80,-4.38,153.63,507,412,95,0.813,1.60,-6.64,553,513,40,0.928,0.67,9.06,840,809,31,0.963,0.52,-7.25,89,220,35.62,21.23
13,Jaroslav Halak,BOS,67,3135.8166666667,1523,1420,103,0.932,1.97,20.14,111.79,383,330,53,0.862,1.01,13.75,402,374,28,0.930,0.54,7.66,656,634,22,0.966,0.42,-3.45,98,160,37.46,22.72
14,Brian Elliott,PHI,55,2315.4666666667,1179,1078,101,0.914,2.62,-5.68,89.6,311,258,53,0.830,1.37,1.20,280,255,25,0.911,0.65,-0.16,503,481,22,0.956,0.57,-7.78,45,155,37.25,24.20
15,Devan Dubnyk,MIN,94,4308.15,2052,1877,175,0.915,2.44,-9.09,136.65,451,352,99,0.780,1.38,-20.40,480,436,44,0.908,0.61,-1.42,1017,986,31,0.970,0.43,-2.24,84,209,39.41,22.51
16,Cory Schneider,N.J,35,1422.2333333333,765,686,79,0.897,3.33,-17.15,56.08,185,142,43,0.768,1.81,-10.76,196,174,22,0.888,0.93,-4.61,354,341,13,0.963,0.55,-2.99,40,77,35.93,23.42
17,Thomas Greiss,NYI,71,3011.3,1572,1467,105,0.933,2.09,22.10,114.3,434,372,62,0.857,1.24,13.64,398,379,19,0.952,0.38,16.31,659,635,24,0.964,0.48,-5.37,83,167,36.69,23.62
18,Anton Khudobin,DAL,65,2886.55,1512,1415,97,0.936,2.02,25.25,104.48,369,312,57,0.846,1.18,7.31,363,338,25,0.931,0.52,7.20,683,669,14,0.980,0.29,5.31,68,156,37.54,21.75
19,Pekka Rinne,NSH,90,4056.0166666667,2008,1863,145,0.928,2.14,17.35,147.5,562,489,73,0.870,1.08,24.95,513,468,45,0.912,0.67,0.51,826,799,27,0.967,0.40,-3.64,116,184,35.38,22.06
20,Carey Price,MTL,117,5595.0666666667,2757,2543,214,0.922,2.29,8.91,194.89,704,581,123,0.825,1.32,-0.30,691,625,66,0.904,0.71,-4.70,1207,1182,25,0.979,0.27,9.13,164,278,38.18,20.74
21,Tuukka Rask,BOS,80,3703.5833333333,1688,1577,111,0.934,1.80,25.48,116.8,408,348,60,0.853,0.97,11.11,435,402,33,0.924,0.53,5.59,751,733,18,0.976,0.29,3.23,88,174,38.34,24.05
22,Jonathan Quick,L.A,83,3994.5666666667,1931,1745,186,0.904,2.79,-29.87,152.25,520,416,104,0.800,1.56,-13.37,481,432,49,0.898,0.74,-6.33,829,797,32,0.961,0.48,-8.56,78,248,36.30,23.57
23,Ben Bishop,DAL,85,3906.1,1943,1814,129,0.934,1.98,28.10,141.5,505,440,65,0.871,1.00,23.02,478,446,32,0.933,0.49,10.40,858,828,30,0.965,0.46,-5.74,108,198,36.37,23.64
24,Alex Stalock,MIN,51,2170.3333333333,1044,959,85,0.919,2.35,-0.59,72.87,211,167,44,0.791,1.22,-7.22,258,233,25,0.903,0.69,-2.11,512,497,15,0.971,0.41,-0.52,48,105,40.09,24.25
25,Chad Johnson,"ANA, STL",19,654.55,319,281,38,0.881,3.48,-12.21,25.72,94,70,24,0.745,2.20,-7.62,90,78,12,0.867,1.10,-4.02,123,121,2,0.984,0.18,1.48,14,35,34.99,21.87
26,James Reimer,"CAR, FLA",60,2490.6666666667,1267,1159,108,0.915,2.60,-5.56,98.16,354,281,73,0.794,1.76,-11.30,317,293,24,0.924,0.58,4.12,525,514,11,0.979,0.26,3.84,68,153,36.13,18.40
27,Jonathan Bernier,DET,72,3182.75,1644,1507,137,0.917,2.58,-4.08,124.93,442,370,72,0.837,1.36,5.04,413,380,33,0.920,0.62,3.64,715,683,32,0.955,0.60,-11.78,81,170,35.90,23.53
28,Semyon Varlamov,"COL, NYI",86,3930.85,1981,1827,154,0.922,2.35,6.17,149.65,527,433,94,0.822,1.43,-2.15,507,467,40,0.921,0.61,4.98,831,812,19,0.977,0.29,4.50,115,258,37.30,21.48
29,Michal Neuvirth,PHI,7,303.36666666667,141,123,18,0.872,3.56,-6.60,9.42,31,24,7,0.774,1.38,-1.60,39,29,10,0.744,1.98,-6.54,61,60,1,0.984,0.20,0.72,8,15,39.14,24.56
30,Richard Bachman,VAN,1,46.7,25,21,4,0.840,5.14,-1.98,1.26,2,1,1,0.500,1.28,-0.65,8,7,1,0.875,1.28,-0.29,15,13,2,0.867,2.57,-1.58,1,2,38.56,28.00
31,Scott Darling,CAR,8,392.83333333333,192,168,24,0.875,3.67,-8.48,17.12,61,47,14,0.770,2.14,-3.37,49,41,8,0.837,1.22,-3.65,75,73,2,0.973,0.31,0.12,18,26,34.85,20.21
