id,player_name,team,gp,toi,sa,sv,ga,sv_pcg,gaa,gsaa,xga,hdsa,hdsv,hdga,hdsv_pcg,hdgaa,hdgsaa,mdsa,mdsv,mdga,mdsv_pcg,mdgaa,mdgsaa,ldsa,ldsv,ldga,ldsv_pcg,ldgaa,ldgsaa,rush_attempts_against,rebound_attempts_against,avg_shot_dist,avg_goal_dist
1,Craig Anderson,OTT,14,602.93333333333,295,270,25,0.915,2.49,-0.80,23.82,77,63,14,0.818,1.39,-0.60,67,58,9,0.866,0.90,-2.68,136,134,2,0.985,0.20,1.98,11,36,37.91,18.88
2,Ryan Miller,ANA,7,292.68333333333,139,129,10,0.928,2.05,1.40,10.35,29,23,6,0.793,1.23,-0.95,39,38,1,0.974,0.20,2.68,69,66,3,0.957,0.61,-0.98,8,15,34.82,21.50
3,Henrik Lundqvist,NYR,16,721.73333333333,410,378,32,0.922,2.66,1.63,35.06,124,106,18,0.855,1.50,3.58,100,92,8,0.920,0.67,1.43,169,163,6,0.964,0.50,-1.05,25,69,34.66,21.06
4,Mike Smith,EDM,15,647.96666666667,317,286,31,0.902,2.87,-5.00,23.67,86,69,17,0.802,1.57,-2.03,80,69,11,0.863,1.02,-3.46,131,128,3,0.977,0.28,0.83,13,33,35.92,18.35
5,Curtis McElhinney,T.B,7,326.95,202,189,13,0.936,2.39,3.57,14.49,47,42,5,0.894,0.92,3.18,61,57,4,0.934,0.73,1.75,82,78,4,0.951,0.73,-1.60,13,23,36.10,22.77
6,Marc-Andre Fleury,VGK,20,925.45,470,430,40,0.915,2.59,-1.45,34.51,129,109,20,0.845,1.30,2.45,112,99,13,0.884,0.84,-2.44,200,193,7,0.965,0.45,-1.15,32,59,36.34,22.35
7,Corey Crawford,CHI,14,665.6,372,346,26,0.930,2.34,4.51,28.72,117,100,17,0.855,1.53,3.36,84,76,8,0.905,0.72,-0.08,154,153,1,0.994,0.09,3.51,18,45,33.15,16.92
8,Jimmy Howard,DET,14,579.1,331,298,33,0.900,3.42,-5.85,23.02,69,52,17,0.754,1.76,-4.99,93,85,8,0.914,0.83,0.77,155,147,8,0.948,0.83,-3.46,16,37,36.47,21.55
9,Jaroslav Halak,BOS,10,493.11666666667,279,259,20,0.928,2.43,2.88,20.55,83,70,13,0.843,1.58,1.45,70,66,4,0.943,0.49,2.60,116,113,3,0.974,0.37,0.39,13,32,34.81,19.40
10,Brian Elliott,PHI,14,563.28333333333,315,289,26,0.917,2.77,-0.16,23.09,90,76,14,0.844,1.49,1.66,75,70,5,0.933,0.53,2.07,129,122,7,0.946,0.75,-3.22,9,41,35.06,20.35
11,Devan Dubnyk,MIN,14,606.01666666667,308,278,30,0.903,2.97,-4.74,19.29,62,45,17,0.726,1.68,-6.21,77,69,8,0.896,0.79,-0.74,157,153,4,0.975,0.40,0.59,12,26,40.32,23.43
12,Cory Schneider,N.J,6,266.95,143,124,19,0.867,4.27,-7.27,10.45,36,26,10,0.722,2.25,-3.73,33,27,6,0.818,1.35,-2.89,66,63,3,0.955,0.67,-1.07,4,23,38.13,23.42
