id,player_name,team,gp,toi,sa,sv,ga,sv_pcg,gaa,gsaa,xga,hdsa,hdsv,hdga,hdsv_pcg,hdgaa,hdgsaa,mdsa,mdsv,mdga,mdsv_pcg,mdgaa,mdgsaa,ldsa,ldsv,ldga,ldsv_pcg,ldgaa,ldgsaa,rush_attempts_against,rebound_attempts_against,avg_shot_dist,avg_goal_dist
1,Craig Anderson,OTT,34,1458.75,801,735,66,0.918,2.71,-0.99,61.14,202,167,35,0.827,1.44,0.62,198,178,20,0.899,0.82,-2.73,362,351,11,0.970,0.45,-0.59,24,100,36.64,21.38
2,Ryan Miller,ANA,23,951.01666666667,510,471,39,0.924,2.46,2.39,40.85,140,117,23,0.836,1.45,1.69,135,128,7,0.948,0.44,4.77,223,214,9,0.960,0.57,-2.59,22,60,32.94,19.33
3,Henrik Lundqvist,NYR,30,1260.8833333333,663,608,55,0.917,2.62,-1.19,56.63,200,170,30,0.850,1.43,5.27,160,143,17,0.894,0.81,-3.05,280,272,8,0.971,0.38,0.05,45,100,34.22,21.64
4,Mike Smith,EDM,39,1747.1333333333,847,762,85,0.900,2.92,-16.26,63.34,223,173,50,0.776,1.72,-10.68,207,180,27,0.870,0.93,-8.95,366,358,8,0.978,0.27,2.53,38,83,36.67,19.01
5,Curtis McElhinney,T.B,18,826.63333333333,417,384,33,0.921,2.40,0.84,30.07,98,83,15,0.847,1.09,2.28,116,107,9,0.922,0.65,1.12,177,168,9,0.949,0.65,-3.91,30,44,36.81,25.36
6,Marc-Andre Fleury,VGK,49,2301.8833333333,1098,1005,93,0.915,2.42,-3.89,81.41,280,227,53,0.811,1.38,-3.63,284,259,25,0.912,0.65,-0.23,473,458,15,0.968,0.39,-1.40,76,141,36.16,20.31
7,Corey Crawford,CHI,40,1897.5666666667,1066,987,79,0.926,2.50,7.52,82.41,330,285,45,0.864,1.42,13.19,278,254,24,0.914,0.76,0.25,425,415,10,0.976,0.32,2.22,45,116,32.24,20.42
8,Jimmy Howard,DET,27,1114.3,646,579,67,0.896,3.61,-14.57,46.54,140,104,36,0.743,1.94,-11.31,185,168,17,0.908,0.92,-0.86,294,281,13,0.956,0.70,-4.54,25,70,35.63,22.90
9,Jaroslav Halak,BOS,31,1460.6,714,660,54,0.924,2.22,3.95,50.89,169,138,31,0.817,1.27,-1.20,170,157,13,0.924,0.53,1.83,332,322,10,0.970,0.41,-0.45,44,57,38.26,22.15
10,Brian Elliott,PHI,31,1308.8166666667,633,575,58,0.908,2.66,-6.63,47.27,175,141,34,0.806,1.56,-3.14,141,131,10,0.929,0.46,2.30,270,256,14,0.948,0.64,-6.24,22,71,36.18,21.40
