id,player_name,team,gp,toi,sa,sv,ga,sv_pcg,gaa,gsaa,xga,hdsa,hdsv,hdga,hdsv_pcg,hdgaa,hdgsaa,mdsa,mdsv,mdga,mdsv_pcg,mdgaa,mdgsaa,ldsa,ldsv,ldga,ldsv_pcg,ldgaa,ldgsaa,rush_attempts_against,rebound_attempts_against,avg_shot_dist,avg_goal_dist
1,Craig Anderson,OTT,25,116.45,110,95,15,0.864,7.73,-0.46,12.76,33,24,9,0.727,4.64,-1.68,27,23,4,0.852,2.06,-0.24,50,48,2,0.960,1.03,1.48,1,12,30.25,20.47
2,Ryan Miller,ANA,16,81.9,78,66,12,0.846,8.79,-1.69,9.2,22,17,5,0.773,3.66,-0.12,28,22,6,0.786,4.40,-2.10,27,27,0,1.000,0.00,1.88,2,13,30.78,21.33
3,Henrik Lundqvist,NYR,28,120.83333333333,135,114,21,0.844,10.43,-3.16,17.35,41,33,8,0.805,3.97,1.10,37,29,8,0.784,3.97,-2.84,57,52,5,0.912,2.48,-1.04,1,18,31.76,22.52
4,Mike Smith,EDM,30,123.41666666667,116,105,11,0.905,5.35,4.33,13.25,24,22,2,0.917,0.97,3.33,31,28,3,0.903,1.46,1.32,60,54,6,0.900,2.92,-1.83,1,17,33.88,32.73
5,Curtis McElhinney,T.B,15,83.416666666667,70,61,9,0.871,6.47,0.25,8.65,19,14,5,0.737,3.60,-0.78,23,20,3,0.870,2.16,0.21,28,27,1,0.964,0.72,0.95,1,9,31.53,23.67
6,Marc-Andre Fleury,VGK,41,219.5,184,159,25,0.864,6.83,-0.68,21.35,45,34,11,0.756,3.01,-1.01,52,43,9,0.827,2.46,-1.75,86,81,5,0.942,1.37,0.98,0,34,33.18,25.04
7,Corey Crawford,CHI,29,124.66666666667,98,80,18,0.816,8.66,-5.05,11.14,26,18,8,0.692,3.85,-2.23,24,19,5,0.792,2.41,-1.65,48,43,5,0.896,2.41,-1.66,0,7,32.22,25.50
8,Jimmy Howard,DET,25,113.66666666667,114,95,19,0.833,10.03,-3.93,14.29,42,30,12,0.714,6.33,-2.68,28,23,5,0.821,2.64,-1.10,44,42,2,0.955,1.06,1.06,2,16,28.17,20.42
9,Jaroslav Halak,BOS,26,111.2,85,76,9,0.894,4.86,2.23,10.95,28,23,5,0.821,2.70,1.21,14,13,1,0.929,0.54,0.95,42,39,3,0.929,1.62,-0.08,0,12,32.48,21.67
10,Brian Elliott,PHI,29,130.45,85,70,15,0.824,6.90,-3.77,12.22,35,28,7,0.800,3.22,0.77,23,18,5,0.783,2.30,-1.79,27,24,3,0.889,1.38,-1.12,1,24,27.45,18.60
11,Devan Dubnyk,MIN,27,121.61666666667,119,99,20,0.832,9.87,-4.27,14.03,34,25,9,0.735,4.44,-1.45,36,29,7,0.806,3.45,-1.98,49,45,4,0.918,1.97,-0.59,2,21,31.95,23.80
12,Cory Schneider,N.J,9,38.75,32,26,6,0.813,9.29,-1.77,4.03,8,5,3,0.625,4.65,-1.22,10,9,1,0.900,1.55,0.39,14,12,2,0.857,3.10,-1.03,1,4,31.03,23.50
13,Thomas Greiss,NYI,27,92.3,76,65,11,0.855,7.15,-0.96,9.16,22,17,5,0.773,3.25,-0.12,22,19,3,0.864,1.95,0.07,32,29,3,0.906,1.95,-0.78,0,4,29.91,27.18
14,Anton Khudobin,DAL,23,111.81666666667,101,86,15,0.851,8.05,-1.65,10.76,24,18,6,0.750,3.22,-0.67,28,26,2,0.929,1.07,1.90,48,41,7,0.854,3.76,-3.66,2,7,32.33,28.13
15,Pekka Rinne,NSH,33,141.93333333333,123,95,28,0.772,11.84,-11.74,14.63,30,17,13,0.567,5.50,-6.34,42,31,11,0.738,4.65,-5.14,50,46,4,0.920,1.69,-0.52,0,13,31.29,22.64
16,Carey Price,MTL,48,231.6,233,208,25,0.893,6.48,5.79,26.14,67,57,10,0.851,2.59,4.87,51,45,6,0.882,1.55,1.11,111,102,9,0.919,2.33,-1.28,2,29,33.23,25.08
17,Tuukka Rask,BOS,33,174.08333333333,156,138,18,0.885,6.20,2.62,17.14,44,37,7,0.841,2.41,2.77,44,38,6,0.864,2.07,0.14,68,63,5,0.926,1.72,-0.27,3,14,32.60,23.61
18,Jonathan Quick,L.A,36,150.4,135,111,24,0.822,9.57,-6.16,17.14,29,21,8,0.724,3.19,-1.56,50,39,11,0.780,4.39,-4.03,56,51,5,0.911,1.99,-1.11,5,18,31.64,21.88
19,Ben Bishop,DAL,37,183.7,167,150,17,0.898,5.55,5.07,19.7,45,36,9,0.800,2.94,0.99,49,43,6,0.878,1.96,0.83,72,70,2,0.972,0.65,3.01,3,20,30.04,15.94
20,Alex Stalock,MIN,28,116.65,108,95,13,0.880,6.69,1.27,11.58,23,16,7,0.696,3.60,-1.90,31,29,2,0.935,1.03,2.32,52,48,4,0.923,2.06,-0.38,1,16,35.06,24.23
21,James Reimer,CAR,23,127.71666666667,109,98,11,0.899,5.17,3.41,13.38,38,29,9,0.763,4.23,-0.57,28,26,2,0.929,0.94,1.90,42,42,0,1.000,0.00,2.92,1,11,30.61,12.00
22,Jonathan Bernier,DET,33,139.75,153,135,18,0.882,7.73,2.22,19.58,54,42,12,0.778,5.15,-0.01,30,27,3,0.900,1.29,1.18,67,64,3,0.955,1.29,1.66,0,19,29.24,16.72
23,Semyon Varlamov,NYI,34,148.83333333333,123,108,15,0.878,6.05,1.26,15.17,35,26,9,0.743,3.63,-1.23,45,43,2,0.956,0.81,4.27,42,38,4,0.905,1.61,-1.08,0,19,31.44,22.53
24,Jacob Markstrom,VAN,41,218.28333333333,200,177,23,0.885,6.32,3.43,24.03,54,47,7,0.870,1.92,4.99,64,53,11,0.828,3.02,-2.08,80,75,5,0.938,1.37,0.56,2,27,31.36,24.65
25,Jake Allen,STL,19,70.516666666667,51,44,7,0.863,5.96,-0.26,6.38,14,12,2,0.857,1.70,1.11,11,10,1,0.909,0.85,0.53,26,22,4,0.846,3.40,-2.19,0,4,30.78,26.71
26,Michael Hutchinson,TOR,15,51.366666666667,44,38,6,0.864,7.01,-0.18,4.22,10,6,4,0.600,4.67,-1.78,10,9,1,0.900,1.17,0.39,23,22,1,0.957,1.17,0.60,1,1,33.91,14.33
27,Braden Holtby,WSH,38,207.15,142,122,20,0.859,5.79,-1.23,17.09,31,22,9,0.710,2.61,-2.12,45,36,9,0.800,2.61,-2.73,64,62,2,0.969,0.58,2.45,4,20,33.85,19.70
28,Martin Jones,S.J,33,186.26666666667,162,147,15,0.907,4.83,6.41,20.48,51,46,5,0.902,1.61,6.32,54,47,7,0.870,2.25,0.53,57,54,3,0.947,0.97,0.96,0,30,29.28,27.13
29,Mikko Koskinen,EDM,31,130.38333333333,118,105,13,0.890,5.98,2.60,13.45,28,20,8,0.714,3.68,-1.79,33,29,4,0.879,1.84,0.60,56,55,1,0.982,0.46,2.89,1,11,34.11,18.46
30,Anders Nilsson,OTT,20,99.7,94,84,10,0.894,6.02,2.42,11.89,35,30,5,0.857,3.01,2.77,20,17,3,0.850,1.81,-0.21,38,36,2,0.947,1.20,0.64,0,12,32.22,23.90
31,Robin Lehner,CHI,31,145.46666666667,152,141,11,0.928,4.54,9.09,16.26,45,40,5,0.889,2.06,4.99,48,46,2,0.958,0.82,4.69,57,53,4,0.930,1.65,-0.04,3,15,31.05,21.45
32,Darcy Kuemper,ARI,25,105.55,98,87,11,0.888,6.25,1.95,10.14,19,11,8,0.579,4.55,-3.78,28,26,2,0.929,1.14,1.90,50,49,1,0.980,0.57,2.48,1,12,34.65,16.00
33,Carter Hutton,BUF,23,88.866666666667,91,78,13,0.857,8.78,-0.97,9.98,28,23,5,0.821,3.38,1.21,22,19,3,0.864,2.03,0.07,41,36,5,0.878,3.38,-2.15,1,9,31.97,27.31
34,Cam Talbot,CGY,19,59.8,56,46,10,0.821,10.03,-2.60,7.45,16,10,6,0.625,6.02,-2.45,14,12,2,0.857,2.01,-0.05,26,24,2,0.923,2.01,-0.19,1,7,29.38,18.20
35,Sergei Bobrovsky,FLA,43,177.73333333333,194,168,26,0.866,8.78,-0.36,24.45,55,44,11,0.800,3.71,1.21,50,41,9,0.820,3.04,-2.03,88,82,6,0.932,2.03,0.12,8,26,31.73,23.19
36,Calvin Pickard,DET,3,10.583333333333,11,9,2,0.818,11.34,-0.55,1.03,2,1,1,0.500,5.67,-0.56,2,1,1,0.500,5.67,-0.72,7,7,0,1.000,0.00,0.49,0,1,35.45,15.50
37,Jack Campbell,"L.A, TOR",23,102.9,74,61,13,0.824,7.58,-3.22,8.69,20,12,8,0.600,4.66,-3.56,29,26,3,0.897,1.75,1.04,25,23,2,0.920,1.17,-0.26,2,8,31.59,19.92
38,Philipp Grubauer,COL,34,163.73333333333,138,119,19,0.862,6.96,-0.76,16.62,39,29,10,0.744,3.66,-1.34,35,31,4,0.886,1.47,0.88,64,59,5,0.922,1.83,-0.55,2,21,31.54,21.79
39,Louis Domingue,N.J,14,59.566666666667,41,36,5,0.878,5.04,0.42,5.31,9,5,4,0.556,4.03,-2.00,16,15,1,0.938,1.01,1.23,15,15,0,1.000,0.00,1.04,1,4,34.80,15.60
40,Petr Mrazek,CAR,35,181.05,130,108,22,0.831,7.29,-4.82,18.93,42,33,9,0.786,2.98,0.32,37,30,7,0.811,2.32,-1.84,50,44,6,0.880,1.99,-2.52,1,21,29.29,23.45
41,Frederik Andersen,TOR,42,184.66666666667,155,134,21,0.865,6.82,-0.51,17.45,31,23,8,0.742,2.60,-1.12,45,40,5,0.889,1.62,1.27,78,70,8,0.897,2.60,-2.58,0,19,35.66,25.19
42,Keith Kinkaid,MTL,6,22.9,26,21,5,0.808,13.10,-1.56,2.59,4,3,1,0.750,2.62,-0.11,8,6,2,0.750,5.24,-0.88,14,12,2,0.857,5.24,-1.03,0,1,33.08,26.60
43,Laurent Brossoit,WPG,17,49.583333333333,54,44,10,0.815,12.10,-2.86,6.16,20,13,7,0.650,8.47,-2.56,11,10,1,0.909,1.21,0.53,23,21,2,0.913,2.42,-0.40,0,7,29.94,18.60
44,Garret Sparks,VGK,1,2,3,3,0,1.000,0.00,0.40,0.22,0,0,0,-,0.00,0.00,1,1,0,1.000,0.00,0.14,2,2,0,1.000,0.00,0.14,0,0,26.67,-
45,Jordan Binnington,STL,40,183.81666666667,166,147,19,0.886,6.20,2.94,19.59,48,42,6,0.875,1.96,4.65,48,41,7,0.854,2.28,-0.31,68,62,6,0.912,1.96,-1.27,0,18,32.16,28.53
46,John Gibson,ANA,41,178.43333333333,139,118,21,0.849,7.06,-2.63,17.12,44,35,9,0.795,3.03,0.77,39,32,7,0.821,2.35,-1.56,56,51,5,0.911,1.68,-1.11,0,13,29.73,25.38
47,Oscar Dansk,VGK,1,7.6166666666667,8,6,2,0.750,15.75,-0.94,0.63,0,0,0,-,0.00,0.00,4,2,2,0.500,15.75,-1.44,4,4,0,1.000,0.00,0.28,0,0,36.13,26.50
48,Malcolm Subban,VGK,18,68.716666666667,71,60,11,0.845,9.60,-1.62,9.09,26,21,5,0.808,4.37,0.77,14,13,1,0.929,0.87,0.95,31,26,5,0.839,4.37,-2.84,0,13,30.35,21.36
49,Andrei Vasilevskiy,T.B,42,203.53333333333,171,151,20,0.883,5.90,2.60,19.51,52,43,9,0.827,2.65,2.54,54,47,7,0.870,2.06,0.53,63,59,4,0.937,1.18,0.38,1,25,31.69,24.35
50,Matt Murray,PIT,30,121.45,103,92,11,0.893,5.43,2.61,12.76,30,25,5,0.833,2.47,1.66,33,28,5,0.848,2.47,-0.40,39,38,1,0.974,0.49,1.71,1,16,30.26,24.55
51,Chris Driedger,FLA,9,30.15,23,21,2,0.913,3.98,1.04,2.51,4,3,1,0.750,1.99,-0.11,10,9,1,0.900,1.99,0.39,9,9,0,1.000,0.00,0.63,0,1,31.61,12.50
52,Joonas Korpisalo,CBJ,32,146.05,118,105,13,0.890,5.34,2.60,12.32,26,23,3,0.885,1.23,2.77,39,36,3,0.923,1.23,2.44,52,45,7,0.865,2.88,-3.38,0,4,32.40,29.00
