id,player_name,team,gp,toi,sa,sv,ga,sv_pcg,gaa,gsaa,xga,hdsa,hdsv,hdga,hdsv_pcg,hdgaa,hdgsaa,mdsa,mdsv,mdga,mdsv_pcg,mdgaa,mdgsaa,ldsa,ldsv,ldga,ldsv_pcg,ldgaa,ldgsaa,rush_attempts_against,rebound_attempts_against,avg_shot_dist,avg_goal_dist
1,Craig Anderson,OTT,28,127.78333333333,23,21,2,0.913,0.94,0.00,1.36,6,4,2,0.667,0.94,-0.65,4,4,0,1.000,0.00,0.37,2,2,0,1.000,0.00,0.08,2,1,89.43,19.50
2,Ryan Miller,ANA,18,58.95,9,7,2,0.778,2.04,-1.22,0.84,4,3,1,0.750,1.02,-0.10,1,1,0,1.000,0.00,0.09,2,1,1,0.500,1.02,-0.92,3,0,56.89,13.00
3,Henrik Lundqvist,NYR,28,135.15,34,33,1,0.971,0.44,1.96,1.92,5,5,0,1.000,0.00,1.12,5,4,1,0.800,0.44,-0.54,7,7,0,1.000,0.00,0.26,6,3,95.15,26.00
4,Mike Smith,EDM,32,136.1,27,22,5,0.815,2.20,-2.65,2.02,6,5,1,0.833,0.44,0.35,5,2,3,0.400,1.32,-2.54,6,5,1,0.833,0.44,-0.77,4,1,69.67,22.00
5,Curtis McElhinney,T.B,16,81.333333333333,18,16,2,0.889,1.48,-0.43,1.77,7,6,1,0.857,0.74,0.57,4,4,0,1.000,0.00,0.37,2,1,1,0.500,0.74,-0.92,4,1,57.11,24.50
6,Marc-Andre Fleury,VGK,43,177.75,22,21,1,0.955,0.34,0.92,1.45,8,7,1,0.875,0.34,0.80,6,6,0,1.000,0.00,0.56,0,0,0,-,0.00,0.00,2,1,64.77,21.00
7,Corey Crawford,CHI,30,134.4,21,18,3,0.857,1.34,-1.17,1.67,6,4,2,0.667,0.89,-0.65,3,2,1,0.667,0.45,-0.72,2,2,0,1.000,0.00,0.08,2,1,81.05,16.00
8,Jimmy Howard,DET,26,98.766666666667,21,19,2,0.905,1.21,-0.17,1.28,5,3,2,0.600,1.21,-0.88,6,6,0,1.000,0.00,0.56,6,6,0,1.000,0.00,0.23,3,0,54.86,9.00
9,Jaroslav Halak,BOS,27,128.06666666667,30,29,1,0.967,0.47,1.61,2.52,8,8,0,1.000,0.00,1.80,8,7,1,0.875,0.47,-0.26,4,4,0,1.000,0.00,0.15,9,6,67.37,36.00
10,Brian Elliott,PHI,29,129.83333333333,28,26,2,0.929,0.92,0.44,2.45,9,9,0,1.000,0.00,2.02,9,7,2,0.778,0.92,-1.17,4,4,0,1.000,0.00,0.15,3,4,49.14,28.50
11,Devan Dubnyk,MIN,27,107.31666666667,18,17,1,0.944,0.56,0.57,1.06,2,2,0,1.000,0.00,0.45,5,5,0,1.000,0.00,0.46,5,4,1,0.800,0.56,-0.81,2,1,61.44,51.00
12,Cory Schneider,N.J,9,50.916666666667,7,7,0,1.000,0.00,0.61,0.48,2,2,0,1.000,0.00,0.45,0,0,0,-,0.00,0.00,3,3,0,1.000,0.00,0.11,0,1,66.86,-
13,Thomas Greiss,NYI,28,93.016666666667,14,13,1,0.929,0.65,0.22,1.13,7,6,1,0.857,0.65,0.57,2,2,0,1.000,0.00,0.19,2,2,0,1.000,0.00,0.08,3,1,49.64,16.00
14,Anton Khudobin,DAL,24,95.3,15,15,0,1.000,0.00,1.31,0.48,1,1,0,1.000,0.00,0.22,3,3,0,1.000,0.00,0.28,4,4,0,1.000,0.00,0.15,3,0,92.20,-
15,Pekka Rinne,NSH,34,172.13333333333,19,15,4,0.789,1.39,-2.34,1.55,6,3,3,0.500,1.05,-1.65,5,4,1,0.800,0.35,-0.54,2,2,0,1.000,0.00,0.08,5,1,64.58,22.00
16,Carey Price,MTL,51,217.46666666667,39,37,2,0.949,0.55,1.40,2.76,11,9,2,0.818,0.55,0.47,8,8,0,1.000,0.00,0.74,7,7,0,1.000,0.00,0.26,4,1,64.64,15.50
17,Tuukka Rask,BOS,34,181.61666666667,45,42,3,0.933,0.99,0.92,3.6,10,7,3,0.700,0.99,-0.75,7,7,0,1.000,0.00,0.65,9,9,0,1.000,0.00,0.34,10,3,76.89,14.00
18,Jonathan Quick,L.A,37,181.23333333333,34,34,0,1.000,0.00,2.96,1.62,6,6,0,1.000,0.00,1.35,7,7,0,1.000,0.00,0.65,6,6,0,1.000,0.00,0.23,4,0,83.85,-
