"","Player","Team","GP","TOI","Shots Against","Saves","Goals Against","SV%","GAA","GSAA","xG Against","HD Shots Against","HD Saves","HD Goals Against","HDSV%","HDGAA","HDGSAA","MD Shots Against","MD Saves","MD Goals Against","MDSV%","MDGAA","MDGSAA","LD Shots Against","LD Saves","LD Goals Against","LDSV%","LDGAA","LDGSAA","Rush Attempts Against","Rebound Attempts Against","Avg. Shot Distance","Avg. Goal Distance"
"70","Cal Petersen","L.A","11","512.9","271","258","13","0.952","1.52","8.93","18","63","56","7","0.889","0.82","3.91","58","54","4","0.931","0.47","1.20","128","126","2","0.984","0.23","1.63","11","26","40.93","24.23"
"87","Kevin Boyle","ANA","5","228.26666666667","113","107","6","0.947","1.58","3.14","7.7","25","22","3","0.880","0.79","1.33","31","29","2","0.935","0.53","0.78","50","49","1","0.980","0.26","0.42","6","17","40.54","25.83"
"84","Landon Bow","DAL","2","49.383333333333","18","17","1","0.944","1.21","0.46","1.07","3","3","0","1.000","0.00","0.52","6","5","1","0.833","1.21","-0.46","9","9","0","1.000","0.00","0.25","0","2","34.89","25.00"
"17","Thomas Greiss","NYI","51","2212.0333333333","1126","1058","68","0.940","1.84","23.12","82.47","310","269","41","0.868","1.11","12.68","284","272","12","0.958","0.33","13.47","474","459","15","0.968","0.41","-1.57","59","126","37.06","23.66"
"23","Ben Bishop","DAL","58","2694.3666666667","1341","1255","86","0.936","1.92","22.52","95.71","333","292","41","0.877","0.91","16.67","338","312","26","0.923","0.58","4.31","588","570","18","0.969","0.40","-1.34","78","134","37.37","24.42"
"40","Robin Lehner","CHI, NYI","55","2542.5833333333","1287","1204","83","0.936","1.96","21.15","98.06","356","301","55","0.846","1.30","6.65","333","317","16","0.952","0.38","13.86","550","538","12","0.978","0.28","3.58","46","129","34.70","20.27"
"55","Jordan Binnington","STL","45","2167.05","972","910","62","0.936","1.72","16.66","73.92","270","234","36","0.867","1.00","10.76","291","276","15","0.948","0.42","11.10","370","359","11","0.970","0.30","-0.52","56","119","34.88","19.48"
"69","Antti Raanta","ARI","17","770.1","396","370","26","0.934","2.03","6.05","31.51","112","96","16","0.857","1.25","3.40","95","88","7","0.926","0.55","1.52","167","164","3","0.982","0.23","1.73","25","62","36.24","19.65"
"13","Jaroslav Halak","BOS","46","2130.95","1056","985","71","0.933","2.00","14.46","79.96","290","256","34","0.883","0.96","16.22","291","268","23","0.921","0.65","3.10","423","409","14","0.967","0.39","-2.02","66","130","36.46","23.37"
"18","Anton Khudobin","DAL","47","2071.7833333333","1078","1006","72","0.933","2.09","15.24","75.03","260","221","39","0.850","1.13","6.03","265","243","22","0.917","0.64","1.77","482","472","10","0.979","0.29","3.65","50","111","37.71","22.86"
"19","Pekka Rinne","NSH","66","3051.4833333333","1491","1391","100","0.933","1.97","20.66","107.78","407","359","48","0.882","0.94","22.48","385","349","36","0.906","0.71","-1.47","621","605","16","0.974","0.31","1.59","87","138","35.76","22.05"
"48","Philipp Grubauer","COL","48","2065.3833333333","1088","1014","74","0.932","2.15","14.05","78.71","284","245","39","0.863","1.13","10.18","271","251","20","0.926","0.58","4.30","467","453","14","0.970","0.41","-0.77","59","142","37.43","22.64"
"73","Tristan Jarry","PIT","6","279.51666666667","148","138","10","0.932","2.15","1.98","8.1","23","20","3","0.870","0.64","0.98","43","40","3","0.930","0.64","0.86","69","65","4","0.942","0.86","-2.05","6","14","42.68","34.20"
"3","Ryan Miller","ANA","25","1087.7666666667","547","509","38","0.931","2.10","6.27","42.48","149","128","21","0.859","1.16","4.80","152","143","9","0.941","0.50","4.63","227","219","8","0.965","0.44","-1.57","30","62","35.14","27.92"
"62","Matt Murray","PIT","62","2897.7833333333","1534","1426","108","0.930","2.24","16.14","112","386","326","60","0.845","1.24","6.85","391","360","31","0.921","0.64","4.07","661","646","15","0.977","0.31","3.73","99","166","38.03","28.56"
"81","Ilya Samsonov","WSH","6","276.15","128","119","9","0.930","1.96","1.36","9.41","29","23","6","0.793","1.30","-0.98","40","38","2","0.950","0.43","1.59","52","51","1","0.981","0.22","0.47","1","10","34.24","19.78"
"50","Petr Mrazek","CAR","50","2371.55","1073","997","76","0.929","1.92","10.84","82.24","273","233","40","0.853","1.01","7.28","267","246","21","0.921","0.53","2.95","444","429","15","0.966","0.38","-2.42","58","112","38.43","22.83"
"56","John Gibson","ANA","71","3196.4","1709","1587","122","0.929","2.29","16.31","141.74","493","418","75","0.848","1.41","10.37","470","431","39","0.917","0.73","3.15","668","661","7","0.990","0.13","11.92","101","210","34.35","21.40"
"85","Casey DeSmith","PIT","36","1595.45","845","785","60","0.929","2.26","8.38","63.16","212","179","33","0.844","1.24","3.71","212","194","18","0.915","0.68","1.01","376","367","9","0.976","0.34","1.65","47","113","36.94","24.35"
"21","Tuukka Rask","BOS","55","2563.6","1150","1067","83","0.928","1.94","10.07","80.69","293","247","46","0.843","1.08","4.74","305","281","24","0.921","0.56","3.35","492","479","13","0.974","0.30","0.94","50","113","37.73","23.65"
"42","Darcy Kuemper","ARI","65","3101.0166666667","1551","1440","111","0.928","2.15","14.52","111.73","394","331","63","0.840","1.22","5.23","350","320","30","0.914","0.58","1.39","722","704","18","0.975","0.35","2.45","76","183","38.00","21.95"
"47","Jack Campbell","L.A","37","1586.5166666667","820","760","60","0.927","2.27","6.36","59.3","185","150","35","0.811","1.32","-2.96","226","207","19","0.916","0.72","1.27","364","358","6","0.984","0.23","4.31","54","89","38.09","19.52"
"51","Frederik Andersen","TOR","72","3440.4666666667","1857","1722","135","0.927","2.35","15.28","139.59","424","343","81","0.809","1.41","-7.57","511","472","39","0.924","0.68","6.83","826","811","15","0.982","0.26","8.40","105","165","37.67","20.47"
"53","Laurent Brossoit","WPG","26","1162.3666666667","602","558","44","0.927","2.27","4.72","49.62","159","136","23","0.855","1.19","4.53","165","149","16","0.903","0.83","-1.20","247","242","5","0.980","0.26","2.00","25","78","36.21","22.64"
"61","Andrei Vasilevskiy","T.B","62","2953.95","1544","1432","112","0.927","2.27","12.95","106.22","378","308","70","0.815","1.42","-4.54","482","451","31","0.936","0.63","12.23","623","612","11","0.982","0.22","6.65","91","169","37.24","22.58"
"20","Carey Price","MTL","78","3710.4333333333","1842","1706","136","0.926","2.20","13.07","130.24","468","394","74","0.842","1.20","7.05","467","419","48","0.897","0.78","-6.12","816","802","14","0.983","0.23","9.12","113","189","37.87","21.10"
"90","David Rittich","CGY","59","2614.75","1295","1199","96","0.926","2.20","8.80","96.81","311","259","52","0.833","1.19","1.86","376","353","23","0.939","0.53","10.72","547","527","20","0.963","0.46","-4.50","64","137","36.66","25.49"
"95","Collin Delia","CHI","16","670.03333333333","440","407","33","0.925","2.96","2.61","33.3","134","116","18","0.866","1.61","5.21","100","90","10","0.900","0.90","-1.03","179","174","5","0.972","0.45","0.07","22","45","33.17","20.91"
"65","Connor Hellebuyck","WPG","75","3536.2333333333","1922","1775","147","0.924","2.49","8.54","138.34","457","374","83","0.818","1.41","-3.86","504","464","40","0.921","0.68","5.20","856","832","24","0.972","0.41","0.25","101","208","37.83","22.10"
"57","Christopher Gibson","NYI","2","30.766666666667","13","12","1","0.923","1.95","0.05","0.66","3","3","0","1.000","0.00","0.52","1","1","0","1.000","0.00","0.09","7","6","1","0.857","1.95","-0.80","1","0","48.38","21.00"
"96","Pavel Francouz","COL","6","203.25","142","131","11","0.923","3.25","0.49","8.41","30","25","5","0.833","1.48","0.20","42","40","2","0.952","0.59","1.77","63","59","4","0.937","1.18","-2.22","6","18","37.74","21.82"
"8","Curtis McElhinney","CAR, T.B","37","1791.7166666667","902","832","70","0.922","2.34","3.00","75.92","274","226","48","0.825","1.61","-0.55","189","174","15","0.921","0.50","1.95","391","384","7","0.982","0.23","4.08","51","126","36.35","20.00"
"4","Henrik Lundqvist","NYR","58","2725.3","1468","1352","116","0.921","2.55","2.80","112.4","392","328","64","0.837","1.41","3.88","376","341","35","0.907","0.77","-1.28","616","599","17","0.972","0.37","0.45","82","174","37.25","22.27"
"12","Jimmy Howard","DET","64","2842.6833333333","1587","1461","126","0.921","2.66","2.43","123.03","417","345","72","0.827","1.52","0.21","431","400","31","0.928","0.65","7.65","658","635","23","0.965","0.49","-4.36","74","174","35.76","21.93"
"28","Semyon Varlamov","COL, NYI","56","2577.05","1286","1185","101","0.921","2.35","3.07","96.97","331","272","59","0.822","1.37","-1.68","342","311","31","0.909","0.72","-0.33","539","528","11","0.980","0.26","4.27","68","177","37.95","21.46"
"33","Jacob Markstrom","VAN","70","3303.6666666667","1752","1614","138","0.921","2.51","3.78","131.5","476","400","76","0.840","1.38","6.43","477","434","43","0.910","0.78","-0.22","730","711","19","0.974","0.35","1.68","68","202","35.92","21.88"
"76","Thatcher Demko","VAN","14","671.21666666667","340","313","27","0.921","2.41","0.52","24.54","96","79","17","0.823","1.52","-0.38","104","97","7","0.933","0.63","2.33","122","119","3","0.975","0.27","0.46","21","32","36.02","20.33"
"36","Braden Holtby","WSH","70","3188.2666666667","1681","1547","134","0.920","2.52","2.04","136.98","509","420","89","0.825","1.67","-0.85","397","366","31","0.922","0.58","4.60","676","662","14","0.979","0.26","5.15","102","227","36.34","20.43"
"39","Anders Nilsson","OTT, VAN","42","1919.0166666667","1063","978","85","0.920","2.66","1.03","77.02","282","236","46","0.837","1.44","2.83","271","244","27","0.900","0.84","-2.70","464","452","12","0.974","0.38","1.14","43","108","36.07","22.21"
"9","Cam Ward","CHI","33","1544","888","816","72","0.919","2.80","-0.14","73.18","294","249","45","0.847","1.75","5.91","229","208","21","0.908","0.82","-0.46","339","333","6","0.982","0.23","3.60","56","97","32.11","19.89"
"64","Anthony Stolarz","EDM, PHI","18","697.46666666667","408","375","33","0.919","2.84","0.02","29.36","107","96","11","0.897","0.95","7.53","119","102","17","0.857","1.46","-6.33","164","160","4","0.976","0.34","0.65","25","47","35.24","28.21"
"66","Linus Ullmark","BUF","43","2018.4333333333","1110","1020","90","0.919","2.68","-0.17","77.84","277","230","47","0.830","1.40","0.97","284","257","27","0.905","0.80","-1.53","494","478","16","0.968","0.48","-2.01","41","92","36.79","21.32"
"79","Mackenzie Blackwood","N.J","32","1397.2333333333","712","654","58","0.919","2.49","-0.38","50.26","159","127","32","0.799","1.37","-4.47","183","165","18","0.902","0.77","-1.59","335","327","8","0.976","0.34","1.49","37","59","37.91","20.83"
"11","Corey Crawford","CHI","45","2111.3","1108","1017","91","0.918","2.59","-1.33","86.33","330","283","47","0.858","1.34","10.15","264","234","30","0.886","0.85","-6.32","465","451","14","0.970","0.40","-0.83","58","116","34.19","22.48"
"38","Mikko Koskinen","EDM","63","2844.5","1431","1313","118","0.918","2.49","-2.19","107.46","380","310","70","0.816","1.48","-4.19","350","320","30","0.914","0.63","1.39","615","597","18","0.971","0.38","-0.58","88","165","37.76","23.60"
"10","Marc-Andre Fleury","VGK","75","3565.5833333333","1696","1555","141","0.917","2.37","-3.75","132.19","443","356","87","0.804","1.46","-10.28","460","431","29","0.937","0.49","12.25","692","667","25","0.964","0.42","-5.40","85","219","36.35","20.40"
"43","Carter Hutton","BUF","59","2735.9333333333","1452","1331","121","0.917","2.65","-3.49","102.24","364","298","66","0.819","1.45","-2.96","377","334","43","0.886","0.94","-9.19","627","615","12","0.981","0.26","5.76","60","110","38.25","20.79"
"72","Juuse Saros","NSH","36","1571.25","806","739","67","0.917","2.56","-1.77","61.83","211","177","34","0.839","1.30","2.54","224","206","18","0.920","0.69","2.09","325","311","14","0.957","0.53","-4.79","62","95","36.34","25.25"
"14","Brian Elliott","PHI","34","1409.1166666667","762","698","64","0.916","2.73","-2.33","58.23","200","169","31","0.845","1.32","3.63","190","171","19","0.900","0.81","-1.96","322","309","13","0.960","0.55","-3.88","30","110","37.55","25.03"
