"","Player","Team","GP","TOI","Shots Against","Saves","Goals Against","SV%","GAA","GSAA","xG Against","HD Shots Against","HD Saves","HD Goals Against","HDSV%","HDGAA","HDGSAA","MD Shots Against","MD Saves","MD Goals Against","MDSV%","MDGAA","MDGSAA","LD Shots Against","LD Saves","LD Goals Against","LDSV%","LDGAA","LDGSAA","Rush Attempts Against","Rebound Attempts Against","Avg. Shot Distance","Avg. Goal Distance"
"55","Tristan Jarry","PIT","3","142.26666666667","80","77","3","0.963","1.27","3.70","5.03","16","14","2","0.875","0.84","0.87","24","24","0","1.000","0.00","2.25","32","31","1","0.969","0.42","-0.02","3","10","42.24","20.33"
"17","Tuukka Rask","BOS","7","312.38333333333","142","136","6","0.958","1.15","5.90","9.26","31","27","4","0.871","0.77","1.57","45","43","2","0.956","0.38","2.22","59","59","0","1.000","0.00","1.81","4","16","39.27","19.67"
"37","Philipp Grubauer","COL","10","460.58333333333","248","236","12","0.952","1.56","8.78","18.33","65","61","4","0.938","0.52","7.67","78","72","6","0.923","0.78","1.32","90","88","2","0.978","0.26","0.76","14","40","36.17","30.25"
"15","Pekka Rinne","NSH","9","432.11666666667","211","200","11","0.948","1.53","6.68","13.07","42","39","3","0.929","0.42","4.54","57","50","7","0.877","0.97","-1.65","106","105","1","0.991","0.14","2.25","11","21","35.19","24.64"
"2","Ryan Miller","ANA","4","154.55","74","70","4","0.946","1.55","2.20","5.34","20","18","2","0.900","0.78","1.59","16","16","0","1.000","0.00","1.50","37","35","2","0.946","0.78","-0.87","7","7","33.11","26.75"
"56","Thatcher Demko","VAN","4","184.4","86","81","5","0.942","1.63","2.21","6.58","23","19","4","0.826","1.30","0.13","26","25","1","0.962","0.33","1.44","31","31","0","1.000","0.00","0.95","6","11","39.00","18.60"
"14","Anton Khudobin","DAL","6","255.65","118","111","7","0.941","1.64","2.89","7.66","29","25","4","0.862","0.94","1.21","26","23","3","0.885","0.70","-0.56","54","54","0","1.000","0.00","1.65","5","16","37.63","18.86"
"50","Connor Hellebuyck","WPG","11","518.23333333333","298","280","18","0.940","2.08","6.97","21.13","69","61","8","0.884","0.93","4.39","79","72","7","0.911","0.81","0.41","132","129","3","0.977","0.35","1.04","9","37","37.07","24.22"
"13","Thomas Greiss","NYI","7","329.91666666667","176","165","11","0.938","2.00","3.75","12.42","47","40","7","0.851","1.27","1.44","44","42","2","0.955","0.36","2.13","73","71","2","0.973","0.36","0.24","6","27","37.25","21.91"
"31","Robin Lehner","CHI","6","283.1","176","165","11","0.938","2.33","3.75","13.09","48","39","9","0.813","1.91","-0.38","47","46","1","0.979","0.21","3.41","77","76","1","0.987","0.21","1.36","7","20","31.05","14.82"
