"","Player","Team","GP","TOI","Shots Against","Saves","Goals Against","SV%","GAA","GSAA","xG Against","HD Shots Against","HD Saves","HD Goals Against","HDSV%","HDGAA","HDGSAA","MD Shots Against","MD Saves","MD Goals Against","MDSV%","MDGAA","MDGSAA","LD Shots Against","LD Saves","LD Goals Against","LDSV%","LDGAA","LDGSAA","Rush Attempts Against","Rebound Attempts Against","Avg. Shot Distance","Avg. Goal Distance"
"52","Carter Hart","PHI","2","95.516666666667","44","43","1","0.977","0.63","2.76","2.55","6","5","1","0.833","0.63","0.12","14","14","0","1.000","0.00","1.36","18","18","0","1.000","0.00","0.57","3","5","43.16","30.00"
"5","Curtis McElhinney","T.B","1","48.8","36","35","1","0.972","1.23","2.07","2.97","14","14","0","1.000","0.00","2.61","8","8","0","1.000","0.00","0.78","12","11","1","0.917","1.23","-0.62","2","4","32.75","46.00"
"39","John Gibson","ANA","4","191.21666666667","98","95","3","0.969","0.94","5.37","6.85","15","14","1","0.933","0.31","1.80","39","37","2","0.949","0.63","1.78","42","42","0","1.000","0.00","1.34","2","11","36.15","24.33"
"45","Linus Ullmark","BUF","2","98.7","62","60","2","0.968","1.22","3.29","3.75","8","6","2","0.750","1.22","-0.51","24","24","0","1.000","0.00","2.33","27","27","0","1.000","0.00","0.86","4","8","40.44","15.00"
"9","Jaroslav Halak","BOS","2","102.9","61","59","2","0.967","1.17","3.21","4.04","15","14","1","0.933","0.58","1.80","16","15","1","0.938","0.58","0.55","29","29","0","1.000","0.00","0.92","2","8","35.77","24.50"
"54","Alexandar Georgiev","NYR","1","46.116666666667","25","24","1","0.960","1.30","1.13","1.57","4","3","1","0.750","1.30","-0.25","7","7","0","1.000","0.00","0.68","12","12","0","1.000","0.00","0.38","2","5","44.76","18.00"
"2","Ryan Miller","ANA","1","49.933333333333","23","22","1","0.957","1.20","0.96","1.74","5","5","0","1.000","0.00","0.93","5","5","0","1.000","0.00","0.48","12","11","1","0.917","1.20","-0.62","3","2","36.00","31.00"
"16","Tuukka Rask","BOS","2","96.866666666667","46","44","2","0.957","1.24","1.93","3.22","10","8","2","0.800","1.24","-0.13","16","16","0","1.000","0.00","1.55","17","17","0","1.000","0.00","0.54","2","5","37.74","13.00"
"51","Ilya Samsonov","WSH","1","54.133333333333","21","20","1","0.952","1.11","0.79","1.23","4","4","0","1.000","0.00","0.75","8","8","0","1.000","0.00","0.78","8","7","1","0.875","1.11","-0.75","0","0","32.71","38.00"
"33","Philipp Grubauer","COL","3","136.4","79","75","4","0.949","1.76","2.74","5.07","17","17","0","1.000","0.00","3.17","25","22","3","0.880","1.32","-0.58","33","32","1","0.970","0.44","0.05","4","10","37.90","41.25"
"38","Jordan Binnington","STL","3","145.98333333333","74","70","4","0.946","1.64","2.32","5.83","15","13","2","0.867","0.82","0.80","37","35","2","0.946","0.82","1.58","20","20","0","1.000","0.00","0.64","6","12","32.80","16.75"
"29","Darcy Kuemper","ARI","3","151.01666666667","73","69","4","0.945","1.59","2.23","4.53","13","12","1","0.923","0.40","1.43","18","17","1","0.944","0.40","0.74","38","36","2","0.947","0.79","-0.79","4","7","41.15","30.25"
"14","Pekka Rinne","NSH","3","145.83333333333","71","67","4","0.944","1.65","2.06","4.14","13","12","1","0.923","0.41","1.43","23","21","2","0.913","0.82","0.23","35","34","1","0.971","0.41","0.11","3","7","33.79","27.75"
"43","Joonas Korpisalo","CBJ","3","144.66666666667","54","51","3","0.944","1.24","1.61","3.41","9","9","0","1.000","0.00","1.68","15","14","1","0.933","0.41","0.45","28","26","2","0.929","0.83","-1.11","1","3","38.15","40.33"
"19","James Reimer","CAR","2","82.333333333333","53","50","3","0.943","2.19","1.52","3.48","13","11","2","0.846","1.46","0.43","16","15","1","0.938","0.73","0.55","22","22","0","1.000","0.00","0.70","2","8","35.92","13.33"
"53","David Rittich","CGY","4","182.86666666667","97","91","6","0.938","1.97","2.28","6.99","19","15","4","0.789","1.31","-0.46","41","40","1","0.976","0.33","2.97","35","34","1","0.971","0.33","0.11","7","12","34.66","20.50"
"41","Andrei Vasilevskiy","T.B","3","148.46666666667","75","70","5","0.933","2.02","1.40","3.72","10","8","2","0.800","0.81","-0.13","27","24","3","0.889","1.21","-0.38","36","36","0","1.000","0.00","1.15","3","4","41.07","18.60"
"44","Connor Hellebuyck","WPG","3","153.31666666667","92","85","7","0.924","2.74","0.85","6.15","22","17","5","0.773","1.96","-0.90","25","25","0","1.000","0.00","2.42","40","38","2","0.950","0.78","-0.73","2","9","36.66","18.86"
"12","Thomas Greiss","NYI","3","129.33333333333","78","72","6","0.923","2.78","0.66","6.09","23","19","4","0.826","1.86","0.29","19","17","2","0.895","0.93","-0.16","32","32","0","1.000","0.00","1.02","4","13","36.51","20.17"
"27","Mikko Koskinen","EDM","2","100.25","51","47","4","0.922","2.39","0.35","2.93","9","7","2","0.778","1.20","-0.32","15","13","2","0.867","1.20","-0.55","25","25","0","1.000","0.00","0.80","5","3","42.92","24.50"
"30","Carter Hutton","BUF","3","144.18333333333","51","47","4","0.922","1.66","0.35","3.49","8","7","1","0.875","0.42","0.49","14","13","1","0.929","0.42","0.36","23","21","2","0.913","0.83","-1.27","1","3","42.88","23.25"
"18","Ben Bishop","DAL","4","189.81666666667","88","81","7","0.920","2.21","0.51","5.43","18","17","1","0.944","0.32","2.36","30","26","4","0.867","1.26","-1.09","38","36","2","0.947","0.63","-0.79","6","10","37.57","28.71"
"32","Jack Campbell","L.A","1","52.866666666667","25","23","2","0.920","2.27","0.13","1.78","5","4","1","0.800","1.13","-0.07","9","8","1","0.889","1.13","-0.13","10","10","0","1.000","0.00","0.32","2","4","40.44","22.50"
"8","Jimmy Howard","DET","2","98.333333333333","62","57","5","0.919","3.05","0.29","3.11","7","4","3","0.571","1.83","-1.69","18","16","2","0.889","1.22","-0.26","36","36","0","1.000","0.00","1.15","2","2","39.35","15.60"
"34","Petr Mrazek","CAR","3","146.11666666667","49","45","4","0.918","1.64","0.18","3.84","10","8","2","0.800","0.82","-0.13","12","11","1","0.917","0.41","0.16","23","22","1","0.957","0.41","-0.27","5","4","39.24","27.25"
"15","Carey Price","MTL","3","148.53333333333","84","77","7","0.917","2.83","0.17","6.91","22","18","4","0.818","1.62","0.10","25","23","2","0.920","0.81","0.42","35","34","1","0.971","0.40","0.11","5","13","34.62","17.71"
"21","Semyon Varlamov","NYI","2","93.6","36","33","3","0.917","1.92","0.07","2.66","8","7","1","0.875","0.64","0.49","15","13","2","0.867","1.28","-0.55","11","11","0","1.000","0.00","0.35","1","5","36.00","24.67"
"36","Keith Kinkaid","MTL","1","47.35","24","22","2","0.917","2.53","0.05","1.21","5","4","1","0.800","1.27","-0.07","7","6","1","0.857","1.27","-0.32","9","9","0","1.000","0.00","0.29","3","1","41.83","23.00"
"50","Sam Montembeault","FLA","1","26.15","12","11","1","0.917","2.29","0.02","0.64","1","0","1","0.000","2.29","-0.81","5","5","0","1.000","0.00","0.48","6","6","0","1.000","0.00","0.19","2","4","41.58","19.00"
"6","Marc-Andre Fleury","VGK","4","174.23333333333","83","76","7","0.916","2.41","0.09","5.71","17","14","3","0.824","1.03","0.17","24","22","2","0.917","0.69","0.33","38","36","2","0.947","0.69","-0.79","3","10","37.19","28.00"
"7","Corey Crawford","CHI","2","101.08333333333","59","54","5","0.915","2.97","0.04","4.56","18","15","3","0.833","1.78","0.36","17","16","1","0.941","0.59","0.65","23","22","1","0.957","0.59","-0.27","0","10","33.36","20.20"
"3","Henrik Lundqvist","NYR","1","48.066666666667","35","32","3","0.914","3.74","-0.01","2.89","13","12","1","0.923","1.25","1.43","9","7","2","0.778","2.50","-1.13","11","11","0","1.000","0.00","0.35","1","5","33.03","19.33"
"42","Matt Murray","PIT","4","198.46666666667","105","96","9","0.914","2.72","-0.04","7.26","31","27","4","0.871","1.21","1.78","30","25","5","0.833","1.51","-2.09","37","37","0","1.000","0.00","1.18","3","12","36.26","19.00"
"11","Cory Schneider","N.J","2","80.183333333333","45","41","4","0.911","2.99","-0.16","3.64","11","8","3","0.727","2.24","-0.95","21","21","0","1.000","0.00","2.03","11","10","1","0.909","0.75","-0.65","1","8","33.84","25.75"
"1","Craig Anderson","OTT","2","90.25","54","49","5","0.907","3.32","-0.39","3.02","5","2","3","0.400","1.99","-2.07","13","12","1","0.923","0.66","0.26","33","32","1","0.970","0.66","0.05","1","5","42.43","17.60"
"20","Jonathan Bernier","DET","2","92.5","42","38","4","0.905","2.59","-0.41","2.42","6","5","1","0.833","0.65","0.12","16","13","3","0.813","1.95","-1.45","19","19","0","1.000","0.00","0.60","3","3","36.69","25.75"
"22","Jacob Markstrom","VAN","3","134.5","71","64","7","0.901","3.12","-0.94","4.96","15","11","4","0.733","1.78","-1.20","30","27","3","0.900","1.34","-0.09","22","22","0","1.000","0.00","0.70","5","7","35.42","21.00"
"31","Sergei Bobrovsky","FLA","4","158.95","78","70","8","0.897","3.02","-1.34","6.09","23","19","4","0.826","1.51","0.29","24","21","3","0.875","1.13","-0.67","28","27","1","0.964","0.38","-0.11","2","16","34.64","23.88"
"23","Jake Allen","STL","1","52.383333333333","27","24","3","0.889","3.44","-0.69","2.28","7","6","1","0.857","1.15","0.31","7","5","2","0.714","2.29","-1.32","11","11","0","1.000","0.00","0.35","0","4","34.41","22.00"
"24","Michael Hutchinson","TOR","2","60.833333333333","36","32","4","0.889","3.95","-0.93","2.9","7","5","2","0.714","1.97","-0.69","14","13","1","0.929","0.99","0.36","15","14","1","0.933","0.99","-0.52","3","3","35.92","15.00"
"25","Braden Holtby","WSH","4","185.5","85","75","10","0.882","3.23","-2.74","5.86","30","23","7","0.767","2.26","-1.40","16","14","2","0.875","0.65","-0.45","34","33","1","0.971","0.32","0.08","5","8","35.20","18.60"
"10","Devan Dubnyk","MIN","3","140.15","67","59","8","0.881","3.42","-2.28","4.03","15","8","7","0.533","3.00","-4.20","20","20","0","1.000","0.00","1.94","31","30","1","0.968","0.43","-0.01","5","7","37.04","17.25"
"13","Anton Khudobin","DAL","1","41.066666666667","25","22","3","0.880","4.38","-0.87","1.64","6","4","2","0.667","2.92","-0.88","6","5","1","0.833","1.46","-0.42","12","12","0","1.000","0.00","0.38","0","2","34.96","17.00"
"37","Laurent Brossoit","WPG","2","106.1","56","49","7","0.875","3.96","-2.22","5.02","22","17","5","0.773","2.83","-0.90","11","10","1","0.909","0.57","0.07","22","21","1","0.955","0.57","-0.30","2","7","31.48","21.29"
"35","Frederik Andersen","TOR","4","172.23333333333","87","76","11","0.874","3.83","-3.57","5.99","14","9","5","0.643","1.74","-2.39","32","28","4","0.875","1.39","-0.90","34","32","2","0.941","0.70","-0.92","3","5","38.16","19.55"
"4","Mike Smith","EDM","2","91.15","47","41","6","0.872","3.95","-1.99","3.34","9","7","2","0.778","1.32","-0.32","13","11","2","0.846","1.32","-0.74","20","18","2","0.900","1.32","-1.36","1","3","39.09","24.67"
"28","Anders Nilsson","OTT","1","52.383333333333","31","27","4","0.871","4.58","-1.35","1.85","6","5","1","0.833","1.15","0.12","10","9","1","0.900","1.15","-0.03","14","12","2","0.857","2.29","-1.55","2","1","38.23","35.00"
"46","Aaron Dell","S.J","3","111.16666666667","54","47","7","0.870","3.78","-2.39","4.12","13","10","3","0.769","1.62","-0.57","23","19","4","0.826","2.16","-1.77","16","16","0","1.000","0.00","0.51","1","5","31.91","19.14"
"26","Martin Jones","S.J","3","124.3","57","49","8","0.860","3.86","-3.13","5.36","24","18","6","0.750","2.90","-1.52","14","12","2","0.857","0.97","-0.64","15","15","0","1.000","0.00","0.48","5","7","31.63","19.88"
"49","Mackenzie Blackwood","N.J","3","119.11666666667","47","40","7","0.851","3.53","-2.99","3.22","9","8","1","0.889","0.50","0.68","15","11","4","0.733","2.01","-2.55","23","21","2","0.913","1.01","-1.27","6","3","37.13","30.43"
"40","Malcolm Subban","VGK","1","13.916666666667","12","10","2","0.833","8.62","-0.98","0.71","3","3","0","1.000","0.00","0.56","5","3","2","0.600","8.62","-1.52","4","4","0","1.000","0.00","0.13","1","2","28.00","15.00"
