"","Player","Team","GP","TOI","Shots Against","Saves","Goals Against","SV%","GAA","GSAA","xG Against","HD Shots Against","HD Saves","HD Goals Against","HDSV%","HDGAA","HDGSAA","MD Shots Against","MD Saves","MD Goals Against","MDSV%","MDGAA","MDGSAA","LD Shots Against","LD Saves","LD Goals Against","LDSV%","LDGAA","LDGSAA","Rush Attempts Against","Rebound Attempts Against","Avg. Shot Distance","Avg. Goal Distance"
"70","Cal Petersen","L.A","11","512.9","271","258","13","0.952","1.52","8.96","18","63","56","7","0.889","0.82","3.92","58","54","4","0.931","0.47","1.21","128","126","2","0.984","0.23","1.63","11","26","40.93","24.23"
"87","Kevin Boyle","ANA","5","228.26666666667","113","107","6","0.947","1.58","3.15","7.7","25","22","3","0.880","0.79","1.33","31","29","2","0.935","0.53","0.78","50","49","1","0.980","0.26","0.42","6","17","40.54","25.83"
"84","Landon Bow","DAL","2","49.383333333333","18","17","1","0.944","1.21","0.46","1.07","3","3","0","1.000","0.00","0.52","6","5","1","0.833","1.21","-0.46","9","9","0","1.000","0.00","0.26","0","2","34.89","25.00"
"17","Thomas Greiss","NYI","50","2161.8666666667","1103","1035","68","0.938","1.89","21.36","81.03","305","264","41","0.866","1.14","11.87","279","267","12","0.957","0.33","13.05","463","448","15","0.968","0.42","-1.88","57","124","37.04","23.66"
"55","Jordan Binnington","STL","44","2121.05","946","885","61","0.936","1.73","15.64","71.8","260","224","36","0.862","1.02","9.07","283","268","15","0.947","0.42","10.41","363","353","10","0.972","0.28","0.29","54","114","35.07","18.77"
"23","Ben Bishop","DAL","56","2618.3833333333","1295","1211","84","0.935","1.92","20.92","92.36","325","284","41","0.874","0.94","15.33","322","297","25","0.922","0.57","3.91","567","550","17","0.970","0.39","-0.93","76","127","37.43","24.26"
"40","Robin Lehner","CHI, NYI","52","2447.1","1238","1158","80","0.935","1.96","20.30","93.98","340","286","54","0.841","1.32","4.93","323","308","15","0.954","0.37","14.00","530","519","11","0.979","0.27","4.02","46","125","34.65","19.81"
"73","Tristan Jarry","PIT","5","250.9","139","130","9","0.935","2.15","2.26","7.5","22","19","3","0.864","0.72","0.81","42","39","3","0.929","0.72","0.77","63","60","3","0.952","0.72","-1.21","5","13","42.41","32.78"
"13","Jaroslav Halak","BOS","45","2081.9666666667","1017","950","67","0.934","1.93","15.39","77.25","277","246","31","0.888","0.89","17.01","285","263","22","0.923","0.63","3.59","405","391","14","0.965","0.40","-2.52","66","125","36.40","23.82"
"18","Anton Khudobin","DAL","47","2071.7833333333","1078","1006","72","0.933","2.09","15.34","75.03","260","221","39","0.850","1.13","6.07","265","243","22","0.917","0.64","1.79","482","472","10","0.979","0.29","3.66","50","111","37.71","22.86"
"19","Pekka Rinne","NSH","65","3004.05","1471","1372","99","0.933","1.98","20.18","106.43","401","353","48","0.880","0.96","21.51","382","347","35","0.908","0.70","-0.70","612","596","16","0.974","0.32","1.34","86","137","35.69","22.11"
"48","Philipp Grubauer","COL","47","2033.0666666667","1067","996","71","0.933","2.10","15.45","76.67","277","239","38","0.863","1.12","10.01","264","246","18","0.932","0.53","5.70","462","448","14","0.970","0.41","-0.91","59","136","37.53","22.97"
"81","Ilya Samsonov","WSH","5","225.75","104","97","7","0.933","1.86","1.43","7.14","24","20","4","0.833","1.06","0.16","32","30","2","0.938","0.53","0.87","43","42","1","0.977","0.27","0.22","1","7","32.87","21.29"
"21","Tuukka Rask","BOS","53","2469.0833333333","1098","1022","76","0.931","1.85","12.96","77.54","282","236","46","0.837","1.12","2.88","289","271","18","0.938","0.44","7.95","470","458","12","0.974","0.29","1.32","50","106","37.85","23.24"
"50","Petr Mrazek","CAR","49","2321.35","1051","978","73","0.931","1.89","12.15","81.27","269","231","38","0.859","0.98","8.63","261","241","20","0.923","0.52","3.43","436","421","15","0.966","0.39","-2.65","56","111","38.24","23.14"
