"","Player","Team","GP","TOI","Shots Against","Saves","Goals Against","SV%","GAA","GSAA","xG Against","HD Shots Against","HD Saves","HD Goals Against","HDSV%","HDGAA","HDGSAA","MD Shots Against","MD Saves","MD Goals Against","MDSV%","MDGAA","MDGSAA","LD Shots Against","LD Saves","LD Goals Against","LDSV%","LDGAA","LDGSAA","Rush Attempts Against","Rebound Attempts Against","Avg. Shot Distance","Avg. Goal Distance"
"55","Tristan Jarry","PIT","4","170.88333333333","89","85","4","0.955","1.40","3.37","5.63","17","15","2","0.882","0.70","1.02","25","25","0","1.000","0.00","2.32","38","36","2","0.947","0.70","-0.85","4","11","42.71","27.00"
"2","Ryan Miller","ANA","5","199.53333333333","99","94","5","0.949","1.50","3.20","6.71","22","20","2","0.909","0.60","1.91","23","23","0","1.000","0.00","2.13","52","49","3","0.942","0.90","-1.43","7","8","36.43","29.20"
"15","Pekka Rinne","NSH","10","479.55","231","219","12","0.948","1.50","7.13","14.42","48","45","3","0.938","0.38","5.52","60","52","8","0.867","1.00","-2.44","115","114","1","0.991","0.13","2.48","12","22","35.71","23.92"
"13","Thomas Greiss","NYI","8","380.08333333333","199","188","11","0.945","1.74","5.48","13.86","52","45","7","0.865","1.11","2.23","49","47","2","0.959","0.32","2.54","84","82","2","0.976","0.32","0.54","8","29","37.35","21.91"
"37","Philipp Grubauer","COL","11","492.9","269","254","15","0.944","1.83","7.28","20.37","72","67","5","0.931","0.61","7.79","85","77","8","0.906","0.97","-0.12","95","93","2","0.979","0.24","0.88","14","46","35.86","27.13"
"53","Antti Raanta","ARI","5","232.33333333333","123","116","7","0.943","1.81","3.19","8.48","18","15","3","0.833","0.77","0.20","42","40","2","0.952","0.52","1.89","55","53","2","0.964","0.52","-0.34","9","21","39.83","20.57"
"23","Semyon Varlamov","NYI","7","348.4","156","147","9","0.942","1.55","3.92","12.02","36","30","6","0.833","1.03","0.39","54","51","3","0.944","0.52","2.00","58","58","0","1.000","0.00","1.76","3","14","36.16","18.00"
"50","Connor Hellebuyck","WPG","12","572.23333333333","325","306","19","0.942","1.99","7.92","22.94","74","65","9","0.878","0.94","4.14","88","81","7","0.920","0.73","1.15","144","141","3","0.979","0.31","1.36","10","41","37.04","23.84"
"14","Anton Khudobin","DAL","6","255.65","118","111","7","0.941","1.64","2.77","7.66","29","25","4","0.862","0.94","1.15","26","23","3","0.885","0.70","-0.59","54","54","0","1.000","0.00","1.63","5","16","37.63","18.86"
"32","Darcy Kuemper","ARI","10","491.85","221","208","13","0.941","1.59","5.31","15.43","55","48","7","0.873","0.85","2.77","49","45","4","0.918","0.49","0.54","106","104","2","0.981","0.24","1.21","14","17","38.45","19.85"
"56","Thatcher Demko","VAN","5","232.11666666667","101","95","6","0.941","1.55","2.37","7.84","30","25","5","0.833","1.29","0.33","30","29","1","0.967","0.26","1.78","35","35","0","1.000","0.00","1.06","7","16","36.84","17.17"
"31","Robin Lehner","CHI","9","378.58333333333","225","211","14","0.938","2.22","4.64","17.17","64","54","10","0.844","1.58","1.36","57","55","2","0.965","0.32","3.28","97","95","2","0.979","0.32","0.94","7","24","32.10","18.57"
"33","Carter Hutton","BUF","9","443.23333333333","216","202","14","0.935","1.90","3.89","15.73","53","47","6","0.887","0.81","3.41","56","53","3","0.946","0.41","2.19","93","88","5","0.946","0.68","-2.19","7","25","38.19","17.36"
"5","Curtis McElhinney","T.B","4","185.4","120","112","8","0.933","2.59","1.94","8.88","39","34","5","0.872","1.62","1.93","30","29","1","0.967","0.32","1.78","42","40","2","0.952","0.65","-0.73","10","14","36.40","25.75"
"17","Tuukka Rask","BOS","9","406.9","194","181","13","0.933","1.92","3.07","12.4","42","38","4","0.905","0.59","3.46","61","53","8","0.869","1.18","-2.35","81","80","1","0.988","0.15","1.45","4","23","38.16","24.23"
"16","Carey Price","MTL","12","577.5","288","268","20","0.931","2.08","3.85","20.73","77","69","8","0.896","0.83","5.67","69","62","7","0.899","0.73","-0.61","129","124","5","0.961","0.52","-1.10","16","37","38.59","22.60"
"60","Ilya Samsonov","WSH","6","276.15","128","119","9","0.930","1.96","1.60","9.41","29","23","6","0.793","1.30","-0.85","40","38","2","0.950","0.43","1.71","52","51","1","0.981","0.22","0.57","1","10","34.24","19.78"
"7","Corey Crawford","CHI","6","294.25","169","157","12","0.929","2.45","2.00","12.62","52","44","8","0.846","1.63","1.23","37","34","3","0.919","0.61","0.43","72","71","1","0.986","0.20","1.18","6","24","34.88","19.92"
"29","Mikko Koskinen","EDM","8","382.38333333333","184","171","13","0.929","2.04","2.24","13.05","43","39","4","0.907","0.63","3.64","47","41","6","0.872","0.94","-1.64","79","76","3","0.962","0.47","-0.61","12","22","40.58","29.85"
"44","John Gibson","ANA","13","601.61666666667","322","299","23","0.929","2.29","3.67","24.95","73","60","13","0.822","1.30","-0.04","104","95","9","0.913","0.90","0.64","131","130","1","0.992","0.10","2.96","18","35","36.52","20.22"
"19","Ben Bishop","DAL","12","533.05","263","244","19","0.928","2.14","2.78","17.07","47","41","6","0.872","0.68","2.35","83","75","8","0.904","0.90","-0.31","120","115","5","0.958","0.56","-1.37","12","27","38.12","26.21"
"30","Anders Nilsson","OTT","6","249.48333333333","164","152","12","0.927","2.89","1.58","10.98","43","36","7","0.837","1.68","0.64","52","50","2","0.962","0.48","2.82","60","57","3","0.950","0.72","-1.18","6","16","36.05","23.17"
"43","Jordan Binnington","STL","13","614.13333333333","313","290","23","0.927","2.25","2.93","24.56","98","85","13","0.867","1.27","4.40","98","93","5","0.949","0.49","4.08","106","101","5","0.953","0.49","-1.79","22","46","33.01","18.87"
"51","Linus Ullmark","BUF","6","281.76666666667","162","150","12","0.926","2.56","1.42","11.05","38","28","10","0.737","2.13","-3.25","52","50","2","0.962","0.43","2.82","64","64","0","1.000","0.00","1.94","7","13","36.69","14.33"
"4","Mike Smith","EDM","9","395.31666666667","187","173","14","0.925","2.12","1.49","13.73","48","42","6","0.875","0.91","2.52","53","47","6","0.887","0.91","-1.09","75","73","2","0.973","0.30","0.27","8","15","35.07","21.07"
"24","Jacob Markstrom","VAN","10","446.08333333333","225","208","17","0.924","2.29","1.64","17.09","58","50","8","0.862","1.08","2.30","80","72","8","0.900","1.08","-0.59","78","77","1","0.987","0.13","1.36","11","28","33.72","21.88"
