"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","ixG","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"716","Connor McDavid","EDM","C","102","1765.3166666667","32","55","37","18","87","82.08","214","14.95","23.44","373","287","261","123","12","20","28","14","14","0","0","32","90","112","40","109","33","485","553","46.72"
"634","Leon Draisaitl","EDM","C","106","1768.4","40","46","29","17","86","82.69","191","20.94","18.52","318","249","208","90","13","18","36","18","18","0","0","25","101","61","63","126","26","534","525","50.42"
"166","Patrick Kane","CHI","R","103","1774.4666666667","33","49","30","19","82","82.00","264","12.50","19.91","450","346","242","87","14","21","22","11","11","0","0","24","50","48","28","99","20","0","3","0.00"
"417","Nikita Kucherov","T.B","R","100","1486.4166666667","27","51","29","22","78","83.87","192","14.06","14.4","383","275","201","51","10","18","40","19","19","0","0","23","79","57","53","102","32","0","0","-"
"771","Artemi Panarin","CBJ, NYR","C, L","98","1555.8333333333","24","50","34","16","74","73.27","158","15.19","12.75","282","209","152","46","7","11","16","8","8","0","0","20","73","49","17","48","16","1","1","50.00"
"78","Sidney Crosby","PIT","C","96","1523.8","21","52","39","13","73","76.84","192","10.94","20.81","304","255","210","120","8","23","27","11","10","1","0","14","60","58","96","94","44","900","738","54.95"
"107","Brad Marchand","BOS","C, L","101","1376.6","30","40","24","16","70","78.65","189","15.87","17.07","339","265","200","93","19","20","51","24","23","1","0","35","81","51","54","81","11","40","56","41.67"
"556","Jake Guentzel","PIT","C, L","104","1639.6166666667","37","32","18","14","69","71.88","236","15.68","21.91","375","299","255","125","9","26","22","11","11","0","0","21","40","50","129","186","52","7","12","36.84"
"377","Johnny Gaudreau","CGY","L","107","1640.7333333333","25","43","29","14","68","80.00","229","10.92","18.9","397","308","213","88","11","22","16","8","8","0","0","39","112","66","12","63","12","0","2","0.00"
"240","John Tavares","TOR","C","99","1497.9666666667","35","29","18","11","64","71.11","229","15.28","25.07","419","327","288","137","14","31","32","15","15","0","0","22","70","56","59","138","54","741","653","53.16"
"593","Aleksander Barkov","FLA","C","104","1557.0666666667","21","43","27","16","64","71.11","184","11.41","17.29","292","249","173","78","7","19","10","5","5","0","0","33","53","89","25","134","57","854","703","54.85"
"675","Brayden Point","T.B","C","95","1357.3833333333","24","40","29","11","64","73.56","155","15.48","19.15","258","208","208","112","9","20","23","10","9","1","0","16","23","38","36","102","45","429","420","50.53"
"809","Auston Matthews","TOR","C","92","1387.7666666667","33","31","20","11","64","82.05","232","14.22","22.6","421","329","287","114","12","28","14","7","7","0","0","14","67","65","42","117","65","600","503","54.40"
"592","Nathan MacKinnon","COL","C","104","1697.1333333333","27","36","22","14","63","73.26","290","9.31","20.09","457","352","266","98","10","30","18","9","9","0","0","40","61","57","66","103","36","538","712","43.04"
"257","Tomas Tatar","MTL","L","102","1363.25","23","39","22","17","62","77.50","186","12.37","16.29","320","251","193","89","18","21","42","21","21","0","0","10","43","55","91","95","34","12","32","27.27"
"420","Jonathan Huberdeau","FLA","C, L","104","1462.65","24","38","31","7","62","75.61","191","12.57","17.17","305","251","197","92","10","21","28","14","14","0","0","23","76","50","69","97","43","28","35","44.44"
"755","Mitchell Marner","TOR","C, R","100","1441.5","16","46","40","6","62","72.09","180","8.89","14.43","360","250","222","59","13","23","16","8","8","0","0","17","63","75","33","98","45","4","6","40.00"
"56","Alex Ovechkin","WSH","L","105","1592.3166666667","34","27","18","9","61","67.78","271","12.55","22.33","508","372","266","102","15","30","38","19","19","0","0","15","64","40","263","75","39","1","3","25.00"
"332","Brett Connolly","FLA, WSH","R","103","1272.75","31","29","15","14","60","80.00","160","19.38","16","278","211","178","81","7","18","30","15","15","0","0","10","26","38","72","82","30","12","24","33.33"
"424","Mark Scheifele","WPG","C","105","1681.7833333333","24","35","19","16","59","70.24","136","17.65","15.21","237","187","171","85","6","15","18","9","9","0","0","28","45","72","59","148","53","720","819","46.78"
"655","David Pastrnak","BOS","R","88","1273.3166666667","29","30","20","10","59","77.63","206","14.08","17.03","365","288","197","76","17","17","36","17","17","0","0","31","88","51","70","122","29","3","3","50.00"
"722","Timo Meier","S.J","R","101","1404.0666666667","26","33","21","12","59","78.67","251","10.36","24.57","457","355","298","139","19","35","43","19","18","1","0","26","45","51","140","136","50","6","16","27.27"
"603","Max Domi","MTL","C, L","104","1430.8833333333","23","35","23","12","58","70.73","186","12.37","15.72","324","252","197","75","14","28","55","22","20","1","1","21","75","54","59","93","41","445","573","43.71"
"717","Jack Eichel","BUF","C","99","1505.4166666667","22","36","22","14","58","73.42","250","8.80","18.76","380","317","205","100","14","21","22","11","11","0","0","29","81","44","81","124","60","595","700","45.95"
"120","Claude Giroux","PHI","C, R","104","1531.1666666667","20","37","24","13","57","68.67","201","9.95","13.26","364","273","176","58","3","14","22","11","11","0","0","19","48","45","39","54","23","572","430","57.09"
"348","Brendan Gallagher","MTL","R","104","1387.3","36","21","10","11","57","67.86","320","11.25","29.62","601","432","334","160","24","47","24","12","12","0","0","23","31","65","140","137","47","19","20","48.72"
"597","Sean Monahan","CGY","C","103","1489.9666666667","22","35","24","11","57","75.00","192","11.46","18.54","323","242","214","100","12","17","12","6","6","0","0","19","62","70","56","56","30","480","442","52.06"
"168","Evgenii Dadonov","FLA","R","104","1438.6666666667","21","35","19","16","56","64.37","178","11.80","17.4","305","238","187","90","14","19","8","4","4","0","0","18","51","49","43","141","46","2","0","100.00"
"185","Steven Stamkos","T.B","C","101","1326.8333333333","23","33","24","9","56","82.35","160","14.38","12.96","287","224","180","63","7","19","18","9","9","0","0","23","52","33","80","84","40","466","402","53.69"
"242","Matt Duchene","CBJ, NSH, OTT","C","93","1354.0833333333","25","31","19","12","56","73.68","162","15.43","15.49","250","206","172","83","10","19","6","3","3","0","0","19","58","57","36","111","42","624","519","54.59"
"334","Tyler Seguin","DAL","C","105","1617.8833333333","23","33","24","9","56","76.71","261","8.81","22.53","439","338","260","124","7","46","20","10","10","0","0","16","55","51","93","29","41","663","539","55.16"
"472","Tomas Hertl","S.J","C","99","1321.85","22","34","21","13","56","71.79","151","14.57","17.83","267","200","183","98","9","19","18","9","9","0","0","16","41","38","62","112","55","558","497","52.89"
"819","Alex DeBrincat","CHI","L, R","104","1410.25","26","30","15","15","56","67.47","199","13.07","16.13","357","264","216","63","12","8","10","5","5","0","0","12","53","55","54","108","36","17","19","47.22"
"68","David Krejci","BOS","C","97","1369.9333333333","13","42","25","17","55","76.39","125","10.40","11.11","207","176","135","50","10","9","12","6","6","0","0","16","44","50","38","86","31","530","587","47.45"
"310","Evgeny Kuznetsov","WSH","C","97","1328.1166666667","16","39","23","16","55","68.75","140","11.43","12.77","244","199","137","54","12","10","46","23","23","0","0","19","62","48","51","41","25","470","688","40.59"
"633","Sam Reinhart","BUF","C","104","1534.7666666667","24","31","20","11","55","73.33","182","13.19","16.66","317","264","188","96","13","17","10","5","5","0","0","20","45","41","52","135","47","26","51","33.77"
"845","Pierre-Luc Dubois","CBJ","C, L","103","1482.0166666667","29","26","15","11","55","61.11","186","15.59","18.47","319","255","232","93","9","22","54","27","27","0","0","29","51","47","140","145","70","489","635","43.51"
"439","Phillip Danault","MTL","C, L","103","1440.4333333333","16","38","21","17","54","62.07","142","11.27","13.05","240","190","140","68","6","17","32","16","16","0","0","15","57","39","126","126","55","816","684","54.40"
"644","Jakub Vrana","WSH","L","106","1324.1833333333","31","23","15","8","54","70.13","198","15.66","18.37","352","285","213","73","17","20","30","15","15","0","0","21","57","54","50","67","38","4","8","33.33"
"356","Mark Stone","OTT, VGK","R","101","1505.9666666667","26","27","15","12","53","64.63","184","14.13","19.21","323","266","216","104","11","21","22","11","11","0","0","18","57","121","77","84","73","23","29","44.23"
"425","Sean Couturier","PHI","C","102","1541.2333333333","25","28","16","12","53","65.43","190","13.16","17.16","318","258","182","83","4","22","20","10","10","0","0","20","47","40","53","112","47","638","490","56.56"
"456","Morgan Rielly","TOR","D","106","1930.7333333333","17","36","16","20","53","46.09","220","7.73","8.48","498","315","125","14","6","19","28","14","14","0","0","7","104","55","71","137","116","0","2","0.00"
"646","Dylan Larkin","DET","C","100","1641.6333333333","20","33","23","10","53","73.61","263","7.60","19.82","461","350","240","98","17","27","47","21","20","1","0","36","103","63","76","78","44","779","711","52.28"
"898","Elias Pettersson","VAN","C","94","1269.7166666667","19","34","26","8","53","80.30","120","15.83","11.65","219","174","134","51","9","8","12","6","6","0","0","35","48","46","46","75","58","282","391","41.90"
"39","Brent Burns","S.J","D","105","1937.95","9","43","24","19","52","51.49","252","3.57","8.63","606","370","122","21","5","42","26","13","13","0","0","6","111","75","101","74","102","0","0","-"
"152","Logan Couture","S.J","C","104","1354.0166666667","20","32","20","12","52","72.22","150","13.33","14.6","265","207","162","80","9","24","18","9","9","0","0","11","36","66","79","104","52","346","395","46.69"
"236","Ryan O'Reilly","STL","C","105","1512.4833333333","19","33","18","15","52","70.27","188","10.11","17.33","298","249","189","89","7","19","8","4","4","0","0","18","34","88","34","56","34","926","696","57.09"
"589","Tyler Bertuzzi","DET","L","97","1391.8166666667","23","29","11","18","52","74.29","148","15.54","15.81","274","219","168","90","6","12","22","10","10","0","0","19","58","42","87","135","43","8","16","33.33"
"738","Mathew Barzal","NYI","C","102","1468.3666666667","20","32","19","13","52","78.79","157","12.74","16.01","280","210","191","95","10","17","38","19","19","0","0","20","122","82","26","119","67","276","389","41.50"
"328","Jeff Skinner","BUF","C, L","104","1503.0166666667","35","16","12","4","51","61.45","255","13.73","22.67","411","339","252","119","12","28","20","10","10","0","0","33","43","68","36","61","27","99","118","45.62"
"367","Ryan Dzingel","CAR, CBJ, OTT","C, L","100","1388.6833333333","23","28","17","11","51","68.92","153","15.03","14.39","251","197","163","75","4","17","26","13","13","0","0","8","37","28","60","69","45","35","50","41.18"
"415","William Karlsson","VGK","C","106","1485.9333333333","20","31","18","13","51","71.83","157","12.74","17.64","306","234","190","92","15","20","22","7","6","0","1","11","45","79","57","121","56","592","635","48.25"
"734","Dylan Strome","ARI, CHI","C","100","1261.3166666667","16","35","19","16","51","68.92","123","13.01","10.74","205","162","123","57","11","10","18","9","9","0","0","12","41","53","18","90","52","463","531","46.58"
"806","Matthew Tkachuk","CGY","L","105","1430.15","21","30","19","11","51","75.00","183","11.48","17.53","322","253","180","100","10","21","45","17","15","1","1","30","71","53","150","104","19","4","8","33.33"
"132","Jonathan Toews","CHI","C","104","1518.3","20","30","20","10","50","68.49","191","10.47","17.3","298","236","188","94","10","23","32","16","16","0","0","15","45","69","46","143","38","856","675","55.91"
"215","Gustav Nyquist","CBJ, DET, S.J","C, R","102","1447.1833333333","18","32","17","15","50","70.42","196","9.18","16.49","333","262","191","73","3","26","12","6","6","0","0","15","75","46","45","71","28","15","14","51.72"
"221","Cam Atkinson","CBJ","R","101","1429.4333333333","25","25","11","14","50","64.94","244","10.25","20.45","416","348","224","98","16","25","14","7","7","0","0","10","48","46","33","33","33","43","71","37.72"
"729","Sebastian Aho","CAR","C, R","104","1517.35","20","30","19","11","50","60.24","198","10.10","21.57","378","300","222","104","14","29","14","7","7","0","0","22","72","77","66","113","34","548","594","47.99"
"733","Travis Konecny","PHI","C, R","104","1375.65","23","27","17","10","50","73.53","197","11.68","17.15","318","271","184","76","10","23","30","15","15","0","0","23","48","44","77","149","50","23","32","41.82"
"125","Phil Kessel","ARI, PIT","C, R","105","1434.7333333333","16","33","22","11","49","81.67","186","8.60","14.85","310","245","172","60","14","21","24","11","11","0","0","4","70","34","17","64","21","3","7","30.00"
"199","John Carlson","WSH","D","104","1783.0833333333","13","36","20","16","49","41.53","180","7.22","7.48","354","251","94","18","9","24","20","10","10","0","0","7","82","44","51","85","145","0","0","-"
"57","Evgeni Malkin","PIT","C","79","1118.0166666667","14","34","23","11","48","87.27","143","9.79","14","240","188","161","74","11","15","75","28","25","1","2","17","75","69","51","97","31","425","492","46.35"
"59","Blake Wheeler","WPG","R","105","1541.0333333333","18","30","19","11","48","70.59","206","8.74","15.51","351","282","197","69","7","19","43","20","19","1","0","19","29","47","120","91","47","68","90","43.04"
"333","Ryan Johansen","NSH","C","101","1375","12","36","21","15","48","65.75","128","9.38","14.1","202","164","129","81","8","17","38","18","18","0","0","13","48","39","97","43","23","737","641","53.48"
"473","Teuvo Teravainen","CAR","L","104","1390.0333333333","14","34","21","13","48","69.57","146","9.59","12.93","275","216","148","60","6","15","8","4","4","0","0","4","59","53","40","60","25","19","27","41.30"
