id,player_name,team,position,gp,toi,goals,assist,first_assist,second_assit,total_points,ipp,sf,sh_pcg,ixg,icf,iff,iscf,ihdcf,rush_attempts,rebounds_created,pim,total_penalties,minor,major,misconduct,penalties_drawn,giveaways,takeaways,hits,hits_taken,shots_blocked,faceoffs_won,faceoffs_lost,faceoffs_won_pcg
1,Zdeno Chara,BOS,D,63,1080.75,4,8,2,6,12,22.22,71,5.63,2.29,133,99,27,3,2,6,29,12,11,1,0,3,42,20,59,56,53,0,0,-
2,Joe Thornton,S.J,C,64,812.4,2,18,8,10,20,66.67,47,4.26,4.37,75,63,49,24,1,7,10,5,5,0,0,3,19,48,16,24,22,250,265,48.54
3,Patrick Marleau,"PIT, S.J","C, L",59,795.2,8,10,5,5,18,56.25,80,10.00,8.7,126,102,80,47,6,7,10,5,5,0,0,6,10,23,49,35,22,18,20,47.37
4,Ron Hainsey,OTT,D,58,961.71666666667,1,7,1,6,8,20.51,31,3.23,1.3,90,51,13,2,1,6,8,4,4,0,0,2,43,9,42,36,68,0,0,-
5,Justin Williams,CAR,R,14,146.11666666667,1,2,1,1,3,37.50,23,4.35,1.54,38,29,13,7,0,3,4,2,2,0,0,2,8,2,15,9,4,3,5,37.50
6,Deryk Engelland,VGK,D,49,681.05,1,4,1,3,5,15.63,50,2.00,1.43,106,72,21,3,1,2,21,9,8,1,0,2,13,14,107,85,47,0,0,-
7,Ilya Kovalchuk,"L.A, MTL, WSH",L,41,564.4,5,8,6,2,13,59.09,67,7.46,5.76,113,85,66,28,6,7,12,6,6,0,0,8,20,9,38,23,17,8,9,47.06
8,Jason Spezza,TOR,C,53,505.41666666667,7,11,9,2,18,69.23,53,13.21,5.54,92,72,52,25,4,4,14,7,7,0,0,2,22,14,13,34,16,160,153,51.12
9,Mikko Koivu,MIN,C,49,578.58333333333,3,5,4,1,8,36.36,49,6.12,5.42,83,69,46,27,1,5,18,9,9,0,0,3,9,25,20,20,23,287,248,53.64
10,Dan Hamhuis,NSH,D,58,699.85,0,8,6,2,8,29.63,39,0.00,1.51,93,68,12,2,1,3,33,11,9,1,1,2,27,8,59,46,37,0,0,-
11,Valtteri Filppula,DET,C,65,811.71666666667,4,10,6,4,14,60.87,49,8.16,5.24,79,65,59,30,2,3,18,9,9,0,0,6,34,12,25,34,18,230,304,43.07
12,Trevor Daley,DET,D,38,529.35,0,4,2,2,4,33.33,31,0.00,1.32,61,44,18,4,0,2,14,7,7,0,0,2,17,5,7,22,30,0,0,-
13,Frans Nielsen,DET,C,55,591.13333333333,2,2,1,1,4,44.44,66,3.03,4.16,98,80,43,13,1,5,8,4,4,0,0,4,10,7,37,65,26,177,199,47.07
14,Jay Bouwmeester,STL,D,56,1025.3166666667,1,7,3,4,8,23.53,47,2.13,1.54,94,65,21,0,2,2,14,7,7,0,0,3,28,8,38,56,48,0,0,-
15,Johnny Boychuk,NYI,D,62,915.65,1,7,4,3,8,34.78,86,1.16,2.83,197,127,36,4,3,16,14,7,7,0,0,1,38,5,123,110,90,0,0,-
16,Alexander Steen,STL,L,49,534.06666666667,6,8,4,4,14,51.85,58,10.34,5.2,92,72,59,24,0,11,10,5,5,0,0,6,8,10,22,39,26,7,2,77.78
17,Duncan Keith,CHI,D,55,988.05,0,8,3,5,8,23.53,68,0.00,2.45,173,99,38,3,4,8,10,5,5,0,0,1,46,29,21,50,83,0,0,-
18,Jonathan Ericsson,DET,D,13,178.15,0,0,0,0,0,0.00,14,0.00,0.36,26,18,4,0,0,2,0,0,0,0,0,0,16,0,18,10,6,0,0,-
19,Eric Staal,MIN,C,63,831.23333333333,13,15,11,4,28,63.64,82,15.85,8.6,174,124,90,43,1,10,12,6,6,0,0,8,35,20,21,36,21,348,359,49.22
20,Ryan Suter,MIN,D,63,1128.7,4,17,8,9,21,38.89,74,5.41,2.18,167,104,41,5,1,13,6,3,3,0,0,1,18,13,36,25,58,0,0,-
21,Braydon Coburn,T.B,D,35,438.95,1,1,0,1,2,9.09,33,3.03,1.29,77,49,17,4,1,5,10,5,5,0,0,0,5,2,52,45,18,0,0,-
22,Jeff Carter,L.A,C,60,767.76666666667,13,6,4,2,19,82.61,142,9.15,11.81,234,203,109,53,5,21,24,12,12,0,0,4,16,11,61,30,19,274,260,51.31
