"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","ixG","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"120","Michael Grabner","ARI","L, R","56","135.1","7","2","1","1","9","90.00","17","41.18","1.87","22","21","16","9","4","0","0","0","0","0","0","2","4","9","5","3","4","4","7","36.36"
"437","Mark Jankowski","CGY","C","94","192.46666666667","5","3","3","0","8","66.67","17","29.41","2.25","24","21","18","12","4","3","0","0","0","0","0","1","2","14","1","4","14","56","63","47.06"
"246","Reilly Smith","VGK","R","90","150.38333333333","3","4","2","2","7","100.00","15","20.00","1.87","23","21","18","10","2","1","0","0","0","0","0","2","2","19","5","2","5","2","3","40.00"
"414","Vladislav Namestnikov","NYR, OTT","C, L","92","161.83333333333","3","4","4","0","7","87.50","17","17.65","2.18","20","20","16","11","2","1","2","1","1","0","0","4","2","3","9","3","12","7","3","70.00"
"43","Patrice Bergeron","BOS","C","80","126.63333333333","3","3","3","0","6","100.00","9","33.33","1.31","19","15","11","5","2","1","4","2","2","0","0","1","1","3","4","4","6","90","74","54.88"
"46","Brad Richardson","ARI","C, R","75","181.05","3","3","3","0","6","60.00","12","25.00","1.41","15","13","10","7","2","1","2","1","1","0","0","1","4","4","4","4","12","105","110","48.84"
"52","Mark Giordano","CGY","D","96","257.35","4","2","0","2","6","60.00","9","44.44","0.58","13","11","5","4","1","2","2","1","1","0","0","2","10","9","9","4","39","0","0","-"
"104","Brad Marchand","BOS","C, L","94","146.7","3","3","2","1","6","100.00","11","27.27","1.42","16","14","12","6","1","1","49","10","6","1","3","8","9","11","5","8","9","1","5","16.67"
"37","Brent Burns","S.J","D","98","211.1","1","4","1","3","5","125.00","11","9.09","0.41","16","14","5","2","1","0","4","2","2","0","0","1","18","16","14","3","12","0","1","0.00"
"229","Jakob Silfverberg","ANA","R","90","148.6","4","1","1","0","5","100.00","12","33.33","1.27","21","16","9","7","3","0","4","2","2","0","0","0","1","6","2","4","8","2","3","40.00"
