id,player_name,team,position,gp,toi,goals,assist,first_assist,second_assist,total_points,ipp,sf,sh_pcg,ixg,icf,iff,iscf,ihdcf,rush_attempts,rebounds_created,pim,total_penalties,minor,major,misconduct,penalties_drawn,giveaways,takeaways,hits,hits_taken,shots_blocked,faceoffs_won,faceoffs_lost,faceoffs_won_pcg
1,Zdeno Chara,BOS,D,68,207.93333333333,0,0,0,0,0,-,8,0.00,0.15,10,10,0,0,0,0,4,2,2,0,0,5,6,3,12,2,31,0,0,-
2,Joe Thornton,S.J,C,70,3.8,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,6,3,3,0,0,1,0,0,0,0,0,2,0,100.00
3,Patrick Marleau,"PIT, S.J","C, L",66,19.75,0,0,0,0,0,-,1,0.00,0.05,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,3,5,37.50
4,Ron Hainsey,OTT,D,64,197.41666666667,0,2,2,0,2,33.33,3,0.00,0.01,3,3,0,0,0,0,0,0,0,0,0,1,8,0,4,2,18,0,0,-
5,Justin Williams,CAR,R,20,1.1833333333333,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
6,Deryk Engelland,VGK,D,49,161.36666666667,0,0,0,0,0,0.00,8,0.00,0.02,8,8,0,0,2,0,0,0,0,0,0,3,4,1,4,2,32,0,0,-
7,Ilya Kovalchuk,"L.A, MTL, WSH",L,46,0.76666666666667,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
8,Jason Spezza,TOR,C,58,3.4166666666667,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,7,3,70.00
9,Mikko Koivu,MIN,C,55,86.75,0,1,0,1,1,100.00,1,0.00,0,2,1,0,0,0,0,2,1,1,0,0,0,1,3,1,1,2,44,46,48.89
10,Dan Hamhuis,NSH,D,60,140.95,0,0,0,0,0,0.00,4,0.00,0.01,5,5,0,0,0,0,2,1,1,0,0,2,7,1,4,1,14,0,0,-
11,Valtteri Filppula,DET,C,70,114.1,1,0,0,0,1,100.00,5,20.00,0.51,5,5,3,3,1,0,2,1,1,0,0,4,1,3,1,0,7,16,20,44.44
12,Trevor Daley,DET,D,43,26.45,0,0,0,0,0,0.00,1,0.00,0,1,1,0,0,1,0,0,0,0,0,0,0,2,0,1,0,6,0,0,-
13,Frans Nielsen,DET,C,60,101.58333333333,1,1,1,0,2,100.00,6,16.67,0.74,7,7,6,4,0,1,0,0,0,0,0,1,1,1,2,2,5,6,14,30.00
14,Jay Bouwmeester,STL,D,56,134.81666666667,0,1,0,1,1,100.00,5,0.00,0.13,5,5,2,0,0,0,2,1,1,0,0,0,2,3,3,0,16,0,0,-
15,Johnny Boychuk,NYI,D,64,123.2,0,0,0,0,0,0.00,2,0.00,0.01,2,2,0,0,0,0,0,0,0,0,0,0,10,1,3,2,26,0,0,-
16,Alexander Steen,STL,L,55,123.21666666667,0,0,0,0,0,-,6,0.00,0.09,8,6,1,0,0,0,0,0,0,0,0,1,1,4,1,2,12,1,5,16.67
17,Duncan Keith,CHI,D,61,163.2,0,0,0,0,0,0.00,4,0.00,0.21,6,5,2,0,0,0,2,1,1,0,0,0,16,3,3,3,25,0,0,-
18,Jonathan Ericsson,DET,D,18,25.983333333333,0,0,0,0,0,0.00,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,3,0,0,-
19,Eric Staal,MIN,C,66,17.45,0,0,0,0,0,-,0,-,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10,10,50.00
20,Ryan Suter,MIN,D,69,155.88333333333,0,0,0,0,0,-,3,0.00,0,3,3,0,0,0,0,2,1,1,0,0,1,4,3,2,0,8,0,0,-
21,Braydon Coburn,T.B,D,40,31.4,0,0,0,0,0,0.00,3,0.00,0.11,3,3,1,0,0,0,0,0,0,0,0,1,0,0,1,0,6,0,0,-
22,Jeff Carter,L.A,C,60,81.316666666667,0,0,0,0,0,-,9,0.00,0.38,10,9,3,1,0,0,0,0,0,0,0,1,2,1,4,0,2,45,56,44.55
23,Dustin Brown,L.A,"L, R",66,42.316666666667,0,0,0,0,0,0.00,1,0.00,0.02,4,2,0,0,1,0,0,0,0,0,0,2,1,3,5,1,3,1,2,33.33
24,Brent Seabrook,CHI,D,32,46.9,0,0,0,0,0,0.00,2,0.00,0.06,3,2,0,0,0,0,0,0,0,0,0,0,3,1,4,2,3,0,0,-
25,Zach Parise,MIN,L,69,60.633333333333,1,0,0,0,1,100.00,2,50.00,0.56,5,4,4,3,0,1,0,0,0,0,0,1,0,4,0,1,7,1,3,25.00
26,Ryan Getzlaf,ANA,C,69,40.733333333333,0,0,0,0,0,-,2,0.00,0.12,2,2,2,1,0,0,2,1,1,0,0,0,2,4,5,2,7,36,49,42.35
27,Brent Burns,S.J,D,70,167.16666666667,0,1,0,1,1,100.00,3,0.00,0.12,3,3,1,1,0,0,0,0,0,0,0,1,6,6,5,0,12,0,0,-
28,Brian Boyle,FLA,C,39,20.6,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,1,9,10,47.37
29,Corey Perry,DAL,R,57,1,0,0,0,0,0,-,0,-,0.07,2,1,1,0,0,0,5,1,0,1,0,3,0,0,1,0,0,0,0,-
30,Loui Eriksson,VAN,L,49,69.416666666667,0,0,0,0,0,-,2,0.00,0.16,2,2,1,1,0,0,0,0,0,0,0,0,2,5,1,0,2,1,0,100.00
31,Patrice Bergeron,BOS,C,61,97.55,1,0,0,0,1,50.00,9,11.11,0.82,12,11,7,3,2,1,0,0,0,0,0,0,1,8,2,5,8,66,60,52.38
32,Shea Weber,MTL,D,65,201.4,0,0,0,0,0,0.00,6,0.00,0.01,9,8,0,0,0,0,0,0,0,0,0,0,10,4,4,3,26,0,0,-
33,David Backes,"ANA, BOS",R,22,2.8,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.00
34,Brad Richardson,ARI,"C, R",59,140.95,1,0,0,0,1,100.00,6,16.67,1.07,13,11,8,4,0,1,0,0,0,0,0,3,3,2,3,0,4,47,58,44.76
35,Nate Thompson,"MTL, PHI",C,70,150.46666666667,0,1,1,0,1,33.33,7,0.00,1.08,10,9,8,6,1,1,0,0,0,0,0,1,4,7,2,6,9,64,53,54.70
36,Joe Pavelski,DAL,C,67,51.533333333333,0,1,0,1,1,100.00,2,0.00,0.06,3,3,1,0,0,0,0,0,0,0,0,3,1,3,1,1,4,38,32,54.29
37,Mark Giordano,CGY,D,60,152.36666666667,0,1,0,1,1,50.00,6,0.00,0.1,7,6,1,0,1,0,0,0,0,0,0,3,5,9,6,2,28,0,0,-
38,Alex Ovechkin,WSH,L,68,1.95,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,-
39,Evgeni Malkin,PIT,C,55,3.4333333333333,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.00
40,Blake Wheeler,WPG,R,71,45.766666666667,1,1,1,0,2,100.00,3,33.33,0.32,5,4,3,2,0,1,0,0,0,0,0,0,0,6,4,1,1,12,13,48.00
41,Alexander Radulov,DAL,R,60,1.2666666666667,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
42,Travis Zajac,N.J,C,69,188.35,1,2,2,0,3,75.00,7,14.29,1.34,14,12,12,6,2,2,2,1,1,0,0,0,1,9,4,2,6,86,87,49.71
43,Mike Green,"DET, EDM",D,50,4.1833333333333,0,0,0,0,0,-,3,0.00,0.03,3,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-
44,Blake Comeau,DAL,L,55,110.31666666667,1,0,0,0,1,100.00,8,12.50,0.41,8,8,6,1,3,0,6,3,3,0,0,4,1,3,4,2,6,6,8,42.86
45,Carl Soderberg,ARI,C,70,63.916666666667,0,0,0,0,0,-,7,0.00,0.44,8,8,5,0,1,0,0,0,0,0,0,0,2,2,2,2,7,3,9,25.00
46,Alex Goligoski,ARI,D,70,154.38333333333,0,0,0,0,0,-,3,0.00,0.09,4,4,1,0,0,0,0,0,0,0,0,1,2,1,7,2,20,0,0,-
47,David Krejci,BOS,C,61,4.4,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,50.00
48,Andrej Sekera,DAL,D,57,120.43333333333,0,0,0,0,0,0.00,3,0.00,0,4,4,0,0,0,0,0,0,0,0,0,2,5,1,6,3,23,0,0,-
49,Alexander Edler,VAN,D,59,174.56666666667,0,0,0,0,0,0.00,9,0.00,0.01,9,9,0,0,0,0,2,1,1,0,0,2,3,2,5,4,39,0,0,-
50,Roman Polak,DAL,D,41,110.78333333333,0,0,0,0,0,0.00,1,0.00,0.2,4,3,3,2,2,0,2,1,1,0,0,1,5,0,16,0,29,0,0,-
51,Troy Brouwer,STL,R,13,1.3166666666667,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-
52,Paul Stastny,VGK,C,71,75.766666666667,0,1,1,0,1,100.00,1,0.00,0.2,1,1,1,1,1,0,0,0,0,0,0,0,0,6,1,2,1,39,31,55.71
53,Sidney Crosby,PIT,C,41,12.616666666667,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,5,11,31.25
54,Bobby Ryan,OTT,R,24,1.15,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,-
55,Jack Johnson,PIT,D,67,139.53333333333,1,0,0,0,1,50.00,2,50.00,0.07,4,3,1,0,0,0,2,1,1,0,0,1,0,3,19,1,22,0,0,-
56,Anze Kopitar,L.A,C,70,118.83333333333,1,0,0,0,1,100.00,5,20.00,0.66,7,7,4,2,2,0,0,0,0,0,0,1,5,6,2,2,4,78,64,54.93
57,Marc Staal,NYR,D,52,134.46666666667,0,0,0,0,0,0.00,6,0.00,0.02,7,6,0,0,1,0,0,0,0,0,0,1,4,4,3,2,14,0,0,-
58,T.J. Oshie,WSH,R,69,10.783333333333,0,0,0,0,0,-,1,0.00,0.12,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,4,2,66.67
59,Andrew Cogliano,DAL,C,68,98.4,0,0,0,0,0,0.00,5,0.00,0.18,5,5,0,0,0,1,2,1,1,0,0,1,1,4,2,0,6,4,7,36.36
60,Matt Niskanen,PHI,D,68,169.85,0,0,0,0,0,0.00,0,-,0,0,0,0,0,0,0,2,1,1,0,0,0,8,1,12,3,14,0,0,-
