"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","ixG","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"388","Nikita Kucherov","T.B","R","91","309.56666666667","14","27","15","12","41","77.36","66","21.21","6.48","129","99","64","6","1","7","4","2","2","0","0","2","22","4","4","13","0","0","0","-"
"660","Connor McDavid","EDM","C","89","299.08333333333","10","30","23","7","40","81.63","65","15.38","8.22","113","83","70","22","0","8","4","2","2","0","0","1","20","6","4","14","0","18","21","46.15"
"550","Nathan MacKinnon","COL","C","92","356.11666666667","12","26","14","12","38","74.51","106","11.32","11.4","173","133","86","29","1","10","6","3","3","0","0","0","17","1","3","10","0","51","61","45.54"
"178","Steven Stamkos","T.B","C","91","303.4","19","18","11","7","37","67.27","90","21.11","8.65","162","122","87","10","0","10","9","3","2","1","0","0","12","2","2","8","1","41","35","53.95"
"610","David Pastrnak","BOS","R","75","235.88333333333","21","16","11","5","37","80.43","79","26.58","9.25","149","116","63","21","2","5","10","5","5","0","0","3","26","2","2","15","1","0","1","0.00"
"103","Brad Marchand","BOS","C, L","88","260.25","10","26","14","12","36","67.92","44","22.73","5.3","88","63","45","15","1","6","10","5","5","0","0","2","14","1","1","9","0","12","7","63.16"
"119","Phil Kessel","ARI, PIT","C, R","92","279.7","11","24","12","12","35","81.40","54","20.37","7.2","101","69","54","19","0","12","4","2","2","0","0","0","20","0","0","5","1","0","0","-"
"89","Keith Yandle","FLA","D","92","315.5","5","29","18","11","34","72.34","57","8.77","3.79","128","83","24","1","1","8","6","3","3","0","0","0","13","5","2","3","8","0","0","-"
"192","John Carlson","WSH","D","93","367.3","2","32","22","10","34","70.83","36","5.56","3.6","97","58","25","1","0","6","4","2","2","0","0","0","8","14","3","3","8","0","0","-"
"391","Jonathan Huberdeau","FLA","C, L","92","300.88333333333","10","23","11","12","33","75.00","55","18.18","6.7","94","75","52","20","0","7","8","4","4","0","0","1","20","3","1","9","1","2","2","50.00"
