id,player_name,team,position,gp,toi,goals,assist,first_assist,second_assit,total_points,ipp,sf,sh_pcg,ixg,icf,iff,iscf,ihdcf,rush_attempts,rebounds_created,pim,total_penalties,minor,major,misconduct,penalties_drawn,giveaways,takeaways,hits,hits_taken,shots_blocked,faceoffs_won,faceoffs_lost,faceoffs_won_pcg
1,Zdeno Chara,BOS,D,67,6.8666666666667,0,0,0,0,0,0.00,1,0.00,0.03,1,1,0,0,0,0,7,2,1,1,0,1,0,0,0,0,0,0,0,-
2,Joe Thornton,S.J,C,69,135.58333333333,3,3,2,1,6,46.15,20,15.00,1.96,34,24,22,6,0,5,0,0,0,0,0,0,6,2,0,1,0,27,25,51.92
3,Patrick Marleau,"PIT, S.J","C, L",65,92.866666666667,1,0,0,0,1,16.67,14,7.14,1.96,25,18,20,11,0,5,2,1,1,0,0,0,3,1,1,3,0,9,10,47.37
4,Ron Hainsey,OTT,D,62,16.783333333333,0,0,0,0,0,-,1,0.00,0.05,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-
5,Justin Williams,CAR,R,19,47.8,1,1,1,0,2,40.00,16,6.25,3.56,22,21,20,17,0,6,0,0,0,0,0,0,0,0,0,3,0,0,0,-
6,Deryk Engelland,VGK,D,49,0.9,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
7,Ilya Kovalchuk,"L.A, MTL, WSH",L,46,105.91666666667,2,1,1,0,3,100.00,23,8.70,2.5,35,29,17,5,0,2,2,1,1,0,0,0,4,1,4,1,2,0,2,0.00
8,Jason Spezza,TOR,C,57,65.183333333333,2,5,3,2,7,100.00,15,13.33,1.4,29,20,10,3,0,3,0,0,0,0,0,0,7,1,0,2,0,25,15,62.50
9,Mikko Koivu,MIN,C,55,90.033333333333,1,6,4,2,7,46.67,14,7.14,1.4,17,16,11,6,0,3,4,2,2,0,0,1,3,0,0,2,0,48,36,57.14
10,Dan Hamhuis,NSH,D,60,1.6833333333333,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
11,Valtteri Filppula,DET,C,69,124.41666666667,1,4,1,3,5,62.50,4,25.00,0.85,10,7,7,3,0,1,2,1,1,0,0,0,4,0,1,4,0,49,38,56.32
12,Trevor Daley,DET,D,42,34.883333333333,0,2,1,1,2,66.67,1,0.00,0.08,4,2,1,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,-
13,Frans Nielsen,DET,C,59,59.616666666667,0,2,1,1,2,66.67,8,0.00,1.78,12,12,9,8,0,1,0,0,0,0,0,0,1,0,0,3,1,8,11,42.11
14,Jay Bouwmeester,STL,D,56,3.8666666666667,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
15,Johnny Boychuk,NYI,D,64,2.8333333333333,1,0,0,0,1,50.00,1,100.00,0.04,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
16,Alexander Steen,STL,L,54,13.8,0,1,1,0,1,50.00,2,0.00,0.6,4,3,4,4,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,-
17,Duncan Keith,CHI,D,60,129.5,1,7,4,3,8,72.73,19,5.26,1.4,41,26,7,1,0,3,0,0,0,0,0,0,3,1,1,0,1,0,0,-
18,Jonathan Ericsson,DET,D,17,1.1833333333333,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-
19,Eric Staal,MIN,C,66,169.38333333333,3,8,5,3,11,55.00,21,14.29,3.46,39,33,23,13,0,3,0,0,0,0,0,0,9,1,2,4,0,80,80,50.00
20,Ryan Suter,MIN,D,69,192.5,2,14,7,7,16,59.26,24,8.33,1.46,54,33,16,1,0,3,2,1,1,0,0,1,0,1,1,1,6,0,0,-
21,Braydon Coburn,T.B,D,39,2.05,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
22,Jeff Carter,L.A,C,60,105.78333333333,2,2,2,0,4,50.00,22,9.09,3.49,35,31,20,13,0,2,2,1,1,0,0,0,2,1,1,4,0,43,30,58.90
23,Dustin Brown,L.A,"L, R",65,149.28333333333,1,4,2,2,5,33.33,17,5.88,3.43,35,31,23,16,0,3,4,2,2,0,0,0,4,1,4,1,0,0,0,-
