id,player_name,team,position,gp,toi,goals,assist,first_assist,second_assit,total_points,ipp,sf,sh_pcg,ixg,icf,iff,iscf,ihdcf,rush_attempts,rebounds_created,pim,total_penalties,minor,major,misconduct,penalties_drawn,giveaways,takeaways,hits,hits_taken,shots_blocked,faceoffs_won,faceoffs_lost,faceoffs_won_pcg
1,Zdeno Chara,BOS,D,25,76.466666666667,0,0,0,0,0,-,3,0.00,0.06,5,5,0,0,0,0,0,0,0,0,0,2,2,0,1,76.466666666667,11,0,0,-
2,Joe Thornton,S.J,C,26,2.4,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,2.4,0,1,0,100.00
3,Patrick Marleau,S.J,C,22,3.45,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.45,0,0,0,-
4,Ron Hainsey,OTT,D,25,83.75,0,1,1,0,1,50.00,1,0.00,0,1,1,0,0,0,0,0,0,0,0,0,1,4,0,0,83.75,6,0,0,-
5,Deryk Engelland,VGK,D,22,81.9,0,0,0,0,0,0.00,5,0.00,0.01,5,5,0,0,2,0,0,0,0,0,0,0,2,1,0,81.9,15,0,0,-
6,Ilya Kovalchuk,L.A,L,17,0.11666666666667,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11666666666667,0,0,0,-
7,Jason Spezza,TOR,C,16,2.9666666666667,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2.9666666666667,1,7,3,70.00
8,Mikko Koivu,MIN,C,25,44.366666666667,0,1,0,1,1,100.00,0,-,0,0,0,0,0,0,0,2,1,1,0,0,0,0,1,0,44.366666666667,1,25,30,45.45
9,Dan Hamhuis,NSH,D,22,54.983333333333,0,0,0,0,0,0.00,0,-,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,54.983333333333,6,0,0,-
10,Valtteri Filppula,DET,C,27,33.683333333333,1,0,0,0,1,100.00,2,50.00,0.09,2,2,1,1,0,0,0,0,0,0,0,1,0,0,0,33.683333333333,2,8,4,66.67
11,Trevor Daley,DET,D,11,9.6166666666667,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9.6166666666667,2,0,0,-
12,Frans Nielsen,DET,C,23,42.333333333333,0,1,1,0,1,100.00,3,0.00,0.48,3,3,3,3,0,1,0,0,0,0,0,0,0,0,0,42.333333333333,3,4,8,33.33
13,Jay Bouwmeester,STL,D,26,70.483333333333,0,1,0,1,1,100.00,2,0.00,0.07,2,2,1,0,0,0,2,1,1,0,0,0,1,2,0,70.483333333333,8,0,0,-
14,Johnny Boychuk,NYI,D,22,44.633333333333,0,0,0,0,0,-,1,0.00,0.01,1,1,0,0,0,0,0,0,0,0,0,0,7,0,1,44.633333333333,10,0,0,-
15,Alexander Steen,STL,L,17,47.75,0,0,0,0,0,-,4,0.00,0.03,5,4,0,0,0,0,0,0,0,0,0,0,1,2,1,47.75,9,0,3,0.00
16,Duncan Keith,CHI,D,24,61.483333333333,0,0,0,0,0,0.00,3,0.00,0.16,5,4,1,0,0,0,0,0,0,0,0,0,2,0,3,61.483333333333,14,0,0,-
17,Jonathan Ericsson,DET,D,7,16.166666666667,0,0,0,0,0,0.00,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,16.166666666667,1,0,0,-
18,Eric Staal,MIN,C,25,4.3,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.3,0,5,2,71.43
19,Ryan Suter,MIN,D,25,62.433333333333,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,62.433333333333,1,0,0,-
20,Braydon Coburn,T.B,D,16,15.833333333333,0,0,0,0,0,-,1,0.00,0.03,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,15.833333333333,4,0,0,-
21,Jeff Carter,L.A,C,25,42.116666666667,0,0,0,0,0,-,1,0.00,0.05,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0,42.116666666667,2,18,30,37.50
22,Dustin Brown,L.A,L,25,35.716666666667,0,0,0,0,0,0.00,1,0.00,0,2,1,0,0,1,0,0,0,0,0,0,1,0,2,1,35.716666666667,3,1,2,33.33
23,Brent Seabrook,CHI,D,22,31.633333333333,0,0,0,0,0,-,1,0.00,0.05,1,1,0,0,0,0,0,0,0,0,0,0,1,1,2,31.633333333333,3,0,0,-
24,Zach Parise,MIN,L,25,25.9,1,0,0,0,1,100.00,2,50.00,0.44,3,3,3,2,0,1,0,0,0,0,0,0,0,2,0,25.9,2,1,2,33.33
25,Ryan Getzlaf,ANA,C,26,21.1,0,0,0,0,0,-,1,0.00,0.08,1,1,1,1,0,0,2,1,1,0,0,0,1,3,0,21.1,4,14,20,41.18
26,Brent Burns,S.J,D,26,73.383333333333,0,1,0,1,1,inf,2,0.00,0.02,2,2,0,0,0,0,0,0,0,0,0,0,3,3,0,73.383333333333,6,0,0,-
27,Brian Boyle,FLA,C,17,13.55,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.55,1,9,8,52.94
28,Corey Perry,DAL,R,19,0.1,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,-
29,Loui Eriksson,VAN,L,14,15.683333333333,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,15.683333333333,1,0,0,-
30,Patrice Bergeron,BOS,C,21,34.75,0,0,0,0,0,-,3,0.00,0.33,4,3,3,1,0,1,0,0,0,0,0,0,0,2,3,34.75,3,22,22,50.00
31,Shea Weber,MTL,D,25,71.083333333333,0,0,0,0,0,0.00,1,0.00,0,3,2,0,0,0,0,0,0,0,0,0,0,2,2,3,71.083333333333,10,0,0,-
32,Brad Richardson,ARI,R,19,44.816666666667,0,0,0,0,0,-,1,0.00,0.04,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,44.816666666667,0,20,25,44.44
33,Nate Thompson,MTL,C,25,51.366666666667,0,1,1,0,1,100.00,4,0.00,0.5,4,4,4,2,0,1,0,0,0,0,0,1,1,3,3,51.366666666667,4,21,15,58.33
34,Joe Pavelski,DAL,C,26,29.783333333333,0,0,0,0,0,-,1,0.00,0.04,2,2,0,0,0,0,0,0,0,0,0,2,1,1,0,29.783333333333,0,21,20,51.22
