id,team_name,gp,toi,w,l,otl,row,points,points_pcg,cf,ca,cf_pcg,ff,fa,ff_pcg,sf,sa,sf_pcg,gf,ga,gf_pcg,xgf,xga,xgf_pcg,scf,sca,scf_pcg,scsf,scsa,scsf_pcg,scgf,scga,scgf_pcg,scsh_pcg,scsv_pcg,hdcf,hdca,hdcf_pcg,hdsf,hdsa,hdsf_pcg,hdgf,hdga,hdgf_pcg,hdsh_pcg,hdsv_pcg,mdcf,mdca,mdcf_pcg,mdsf,mdsa,mdsf_pcg,mdgf,mdga,mdgf_pcg,mdsh_pcg,mdsv_pcg,ldcf,ldca,ldcf_pcg,ldsf,ldsa,ldsf_pcg,ldgf,ldga,ldgf_pcg,ldsh_pcg,ldsv_pcg,sh_pcg,sv_pcg,pdo
1,Boston Bruins,75,3617.1833,41,25,9,40,91,0.607,3442,3366,50.56,2580,2509,50.70,1879,1744,51.86,151,122,55.31,136.73,133.95,50.51,1527,1541,49.77,942,895,51.28,127,106,54.51,13.48,88.16,631,610,50.85,484,429,53.01,85,64,57.05,17.56,85.08,896,931,49.04,458,466,49.57,42,42,50.00,9.17,90.99,1562,1542,50.32,814,756,51.85,23,16,58.97,2.83,97.88,8.04,93.00,1.010
2,Calgary Flames,78,3702.0667,44,29,5,39,93,0.596,3615,3512,50.72,2686,2692,49.94,1920,1941,49.73,147,134,52.31,143.1,144.22,49.81,1660,1693,49.51,990,1014,49.40,121,114,51.49,12.22,88.76,676,671,50.19,497,489,50.41,77,76,50.33,15.49,84.46,984,1022,49.05,493,525,48.43,44,38,53.66,8.92,92.76,1627,1552,51.18,837,836,50.03,26,20,56.52,3.11,97.61,7.66,93.10,1.008
3,Anaheim Ducks,76,3704.7833,29,41,6,26,64,0.421,3225,3651,46.90,2375,2773,46.13,1745,1963,47.06,124,161,43.51,118.18,153.4,43.52,1419,1755,44.71,849,1067,44.31,100,138,42.02,11.78,87.07,527,713,42.50,385,540,41.62,62,85,42.18,16.10,84.26,892,1042,46.12,464,527,46.82,38,53,41.76,8.19,89.94,1486,1591,48.29,797,810,49.60,24,23,51.06,3.01,97.16,7.11,91.80,0.989
4,Nashville Predators,73,3490.6333,38,27,8,36,84,0.575,3347,3439,49.32,2507,2536,49.71,1824,1842,49.75,156,134,53.79,135,142.75,48.60,1554,1689,47.92,924,1019,47.56,132,110,54.55,14.29,89.21,616,707,46.56,472,534,46.92,95,81,53.98,20.13,84.83,938,982,48.85,452,485,48.24,37,29,56.06,8.19,94.02,1494,1417,51.32,816,717,53.23,24,22,52.17,2.94,96.93,8.55,92.73,1.013
5,Washington Capitals,75,3541.3,46,25,4,40,96,0.640,3301,3315,49.89,2496,2517,49.79,1784,1822,49.47,178,156,53.29,137.66,141.13,49.38,1594,1653,49.09,934,980,48.80,143,139,50.71,15.31,85.82,627,709,46.93,453,515,46.80,87,91,48.88,19.21,82.33,967,944,50.60,481,465,50.85,56,48,53.85,11.64,89.68,1430,1386,50.78,743,743,50.00,34,17,66.67,4.58,97.71,9.98,91.44,1.014
6,New York Islanders,73,3585.3,39,28,6,35,84,0.575,3141,3635,46.35,2292,2658,46.30,1611,1878,46.17,124,123,50.20,122.64,140.51,46.60,1454,1659,46.71,847,950,47.13,111,98,53.11,13.11,89.68,583,670,46.53,416,481,46.38,73,72,50.34,17.55,85.03,871,989,46.83,431,469,47.89,38,26,59.38,8.82,94.46,1389,1630,46.01,690,822,45.63,12,25,32.43,1.74,96.96,7.70,93.45,1.011
7,Chicago Blackhawks,76,3729.6167,33,35,8,29,74,0.487,3398,3686,47.97,2546,2860,47.10,1868,2107,46.99,169,173,49.42,134.61,168.08,44.47,1563,1889,45.28,960,1196,44.53,138,153,47.42,14.38,87.21,558,816,40.61,425,623,40.55,76,101,42.94,17.88,83.79,1005,1073,48.36,535,573,48.29,62,52,54.39,11.59,90.92,1535,1523,50.20,822,819,50.09,31,20,60.78,3.77,97.56,9.05,91.79,1.008
8,Columbus Blue Jackets,73,3647.0333,37,23,13,35,87,0.596,3247,3457,48.43,2495,2566,49.30,1845,1845,50.00,154,139,52.56,135.53,136.71,49.78,1557,1607,49.21,996,953,51.10,134,126,51.54,13.45,86.78,590,617,48.88,466,465,50.05,85,71,54.49,18.24,84.73,967,990,49.41,530,488,52.06,49,55,47.12,9.25,88.73,1446,1567,47.99,763,790,49.13,19,13,59.38,2.49,98.35,8.35,92.47,1.008
9,Winnipeg Jets,74,3584.85,38,32,4,34,80,0.541,3274,3465,48.58,2441,2649,47.96,1801,1911,48.52,150,156,49.02,124.07,153.84,44.64,1459,1703,46.14,913,1044,46.65,133,134,49.81,14.57,87.16,552,740,42.72,416,526,44.16,85,90,48.57,20.43,82.89,907,963,48.50,497,518,48.97,48,44,52.17,9.66,91.51,1544,1465,51.31,818,767,51.61,16,21,43.24,1.96,97.26,8.33,91.84,1.002
10,Arizona Coyotes,76,3708.2167,35,33,8,28,78,0.513,3300,3615,47.72,2448,2709,47.47,1824,1936,48.51,115,149,43.56,132.81,147.83,47.32,1469,1704,46.30,885,987,47.28,97,129,42.92,10.96,86.93,573,728,44.04,429,522,45.11,66,94,41.25,15.38,81.99,896,976,47.86,456,465,49.51,31,35,46.97,6.80,92.47,1492,1613,48.05,815,860,48.66,18,19,48.65,2.21,97.79,6.30,92.30,0.986
11,Minnesota Wild,73,3508.3833,36,33,4,35,76,0.521,3268,3388,49.10,2405,2487,49.16,1766,1762,50.06,149,153,49.34,133.68,124.83,51.71,1491,1448,50.73,914,830,52.41,123,135,47.67,13.46,83.73,636,563,53.04,487,383,55.98,82,85,49.10,16.84,77.81,855,885,49.14,427,447,48.86,41,50,45.05,9.60,88.81,1467,1614,47.61,758,848,47.20,24,17,58.54,3.17,98.00,8.44,91.32,0.998
12,Philadelphia Flyers,75,3618.3833,34,34,7,29,75,0.500,3151,3392,48.16,2357,2518,48.35,1746,1832,48.80,156,186,45.61,132.25,143.39,47.98,1498,1655,47.51,937,973,49.06,134,147,47.69,14.30,84.89,642,677,48.67,499,500,49.95,92,96,48.94,18.44,80.80,856,978,46.67,438,473,48.08,42,51,45.16,9.59,89.22,1350,1427,48.61,691,746,48.09,21,39,35.00,3.04,94.77,8.93,89.85,0.988
13,Carolina Hurricanes,73,3467.4,38,29,6,37,82,0.562,3511,3010,53.84,2607,2299,53.14,1892,1699,52.69,135,140,49.09,141.86,130.23,52.14,1588,1513,51.21,982,959,50.59,119,127,48.37,12.12,86.76,657,648,50.34,499,498,50.05,80,87,47.90,16.03,82.53,931,865,51.84,483,461,51.17,39,40,49.37,8.07,91.32,1572,1227,56.16,795,640,55.40,13,13,50.00,1.64,97.97,7.14,91.76,0.989
14,San Jose Sharks,74,3551.9667,33,34,7,33,73,0.493,3463,3151,52.36,2565,2379,51.88,1817,1707,51.56,145,178,44.89,141.87,135.22,51.20,1606,1578,50.44,935,958,49.39,119,153,43.75,12.73,84.03,683,674,50.33,502,504,49.90,90,107,45.69,17.93,78.77,923,904,50.52,433,454,48.82,29,46,38.67,6.70,89.87,1566,1294,54.76,802,662,54.78,23,25,47.92,2.87,96.22,7.98,89.57,0.976
15,New York Rangers,73,3448.8333,32,34,7,27,71,0.486,2949,3655,44.65,2267,2774,44.97,1648,1961,45.66,141,165,46.08,122.72,153.3,44.46,1359,1744,43.80,835,1049,44.32,116,138,45.67,13.89,86.84,547,736,42.63,423,529,44.43,84,85,49.70,19.86,83.93,812,1008,44.62,412,520,44.21,32,53,37.65,7.77,89.81,1335,1615,45.25,722,830,46.52,25,27,48.08,3.46,96.75,8.56,91.59,1.001
16,Ottawa Senators,72,3537.3667,17,47,8,17,42,0.292,3058,3707,45.20,2341,2785,45.67,1719,2026,45.90,133,211,38.66,129.74,153.09,45.87,1408,1727,44.91,890,1059,45.66,118,181,39.46,13.26,82.91,618,748,45.24,478,547,46.63,87,114,43.28,18.20,79.16,790,979,44.66,412,512,44.59,31,67,31.63,7.52,86.91,1346,1669,44.64,706,883,44.43,15,30,33.33,2.12,96.60,7.74,89.59,0.973
17,Florida Panthers,74,3602,33,31,10,28,76,0.514,3305,3470,48.78,2506,2552,49.55,1836,1829,50.10,150,188,44.38,128.98,144.52,47.16,1443,1637,46.85,899,985,47.72,137,163,45.67,15.24,83.45,571,734,43.75,425,537,44.18,95,103,47.98,22.35,80.82,872,903,49.13,474,448,51.41,42,60,41.18,8.86,86.61,1548,1527,50.34,820,738,52.63,13,25,34.21,1.59,96.61,8.17,89.72,0.979
18,Edmonton Oilers,78,3821.95,37,33,8,33,82,0.526,3225,3617,47.14,2440,2718,47.31,1796,1956,47.87,137,161,45.97,133.11,146.32,47.64,1487,1711,46.50,929,1024,47.57,119,140,45.95,12.81,86.33,598,700,46.07,454,523,46.47,79,95,45.40,17.40,81.84,889,1011,46.79,475,501,48.67,40,45,47.06,8.42,91.02,1470,1603,47.84,785,817,49.00,18,20,47.37,2.29,97.55,7.63,91.77,0.994
19,Montreal Canadiens,74,3636.9833,36,31,7,33,79,0.534,3641,3360,52.01,2708,2590,51.11,1950,1897,50.69,149,150,49.83,146.74,140.79,51.03,1673,1590,51.27,1003,966,50.94,121,130,48.21,12.06,86.54,701,689,50.43,513,505,50.39,87,90,49.15,16.96,82.18,972,901,51.90,490,461,51.52,34,40,45.95,6.94,91.32,1652,1490,52.58,836,828,50.24,27,20,57.45,3.23,97.58,7.64,92.09,0.997
20,Vegas Golden Knights,72,3501.2333,34,32,6,31,74,0.514,3460,2952,53.96,2574,2293,52.89,1855,1679,52.49,144,154,48.32,145.53,128.59,53.09,1677,1445,53.72,1032,905,53.28,121,126,48.99,11.72,86.08,662,594,52.71,511,448,53.28,84,87,49.12,16.44,80.58,1015,851,54.39,521,457,53.27,37,39,48.68,7.10,91.47,1469,1279,53.46,733,687,51.62,23,28,45.10,3.14,95.92,7.76,90.83,0.986
21,Vancouver Canucks,75,3543.3167,29,38,8,24,66,0.440,3255,3487,48.28,2443,2565,48.78,1730,1884,47.87,119,160,42.65,127.98,142.44,47.33,1459,1728,45.78,842,1028,45.03,96,132,42.11,11.40,87.16,605,672,47.38,442,517,46.09,62,89,41.06,14.03,82.79,854,1056,44.71,400,511,43.91,34,43,44.16,8.50,91.59,1481,1500,49.68,781,787,49.81,22,28,44.00,2.82,96.44,6.88,91.51,0.984
22,Toronto Maple Leafs,76,3770.6667,41,27,8,40,90,0.592,3833,3621,51.42,2835,2778,50.51,2042,2024,50.22,183,171,51.69,158.57,155.73,50.45,1885,1748,51.89,1120,1051,51.59,146,146,50.00,13.04,86.11,764,740,50.80,576,551,51.11,102,98,51.00,17.71,82.21,1121,1008,52.65,544,500,52.11,44,48,47.83,8.09,90.40,1624,1596,50.43,831,879,48.60,37,25,59.68,4.45,97.16,8.96,91.55,1.005
23,Detroit Red Wings,75,3637.9,20,47,8,18,48,0.320,3148,3674,46.14,2329,2770,45.68,1669,2001,45.48,113,185,37.92,122.35,159.34,43.44,1429,1798,44.28,841,1089,43.58,98,151,39.36,11.65,86.13,559,757,42.48,424,554,43.35,64,107,37.43,15.09,80.69,870,1041,45.53,417,535,43.80,34,44,43.59,8.15,91.78,1409,1598,46.86,704,823,46.10,15,34,30.61,2.13,95.87,6.77,90.75,0.975
24,Colorado Avalanche,75,3548.8167,40,25,10,39,90,0.600,3340,3490,48.90,2471,2588,48.84,1810,1853,49.41,155,128,54.77,127.25,141.74,47.31,1524,1632,48.29,921,978,48.50,130,106,55.08,14.12,89.16,578,688,45.66,432,509,45.91,71,77,47.97,16.44,84.87,946,944,50.05,489,469,51.04,59,29,67.05,12.07,93.82,1547,1537,50.16,813,768,51.42,25,21,54.35,3.08,97.27,8.56,93.09,1.017
25,Los Angeles Kings,77,3813.8,24,43,10,22,58,0.377,3620,3594,50.18,2654,2681,49.75,1917,1939,49.71,126,164,43.45,135.09,141.47,48.85,1525,1668,47.76,906,994,47.68,109,140,43.78,12.03,85.92,604,676,47.19,438,507,46.35,69,101,40.59,15.75,80.08,921,992,48.14,468,487,49.01,40,39,50.63,8.55,91.99,1730,1609,51.81,898,832,51.91,17,23,42.50,1.89,97.24,6.57,91.54,0.981
26,Pittsburgh Penguins,74,3617.8667,37,27,10,34,84,0.568,3444,3384,50.44,2618,2514,51.01,1876,1793,51.13,155,142,52.19,142.95,132.72,51.86,1563,1466,51.60,963,874,52.42,130,116,52.85,13.50,86.73,657,612,51.77,499,451,52.53,90,76,54.22,18.04,83.15,906,854,51.48,464,423,52.31,40,40,50.00,8.62,90.54,1552,1604,49.18,817,813,50.12,25,25,50.00,3.06,96.92,8.26,92.08,1.003
27,St Louis Blues,74,3600.0833,38,24,12,37,88,0.595,3164,3331,48.71,2397,2462,49.33,1787,1771,50.22,136,128,51.52,131.91,134.48,49.52,1493,1568,48.77,921,950,49.23,111,102,52.11,12.05,89.26,623,636,49.48,462,464,49.89,71,65,52.21,15.37,85.99,870,932,48.28,459,486,48.57,40,37,51.95,8.71,92.39,1416,1481,48.88,785,741,51.44,25,26,49.02,3.18,96.49,7.61,92.77,1.004
28,Buffalo Sabres,74,3611.2,22,43,9,20,53,0.358,3355,3438,49.39,2528,2661,48.72,1839,1957,48.45,129,162,44.33,126.61,146.94,46.28,1515,1678,47.45,917,1055,46.50,109,145,42.91,11.89,86.26,566,685,45.24,422,508,45.38,71,97,42.26,16.82,80.91,949,993,48.87,495,547,47.50,38,48,44.19,7.68,91.22,1548,1481,51.11,824,800,50.74,19,17,52.78,2.31,97.88,7.01,91.72,0.987
29,Dallas Stars,76,3730.75,37,30,9,36,83,0.546,3052,3538,46.31,2294,2655,46.35,1687,1938,46.54,115,136,45.82,125.57,129.01,49.32,1412,1546,47.73,867,927,48.33,95,106,47.26,10.96,88.57,611,595,50.66,462,452,50.55,70,67,51.09,15.15,85.18,801,951,45.72,405,475,46.02,25,39,39.06,6.17,91.79,1359,1654,45.10,708,891,44.28,19,28,40.43,2.68,96.86,6.82,92.98,0.998
30,New Jersey Devils,75,3575.9167,25,45,5,21,55,0.367,3186,3796,45.63,2417,2796,46.36,1792,2053,46.61,119,183,39.40,131.82,149.69,46.83,1425,1714,45.40,904,1029,46.77,101,150,40.24,11.17,85.42,623,686,47.59,460,512,47.33,72,101,41.62,15.65,80.27,802,1028,43.83,444,517,46.20,29,49,37.18,6.53,90.52,1447,1732,45.52,790,917,46.28,16,32,33.33,2.03,96.51,6.64,91.09,0.977
31,Tampa Bay Lightning,74,3509.3833,50,19,5,46,105,0.709,3392,3299,50.69,2537,2484,50.53,1804,1795,50.13,167,139,54.58,148.37,135.62,52.24,1592,1543,50.78,969,938,50.81,152,117,56.51,15.69,87.53,671,636,51.34,509,462,52.42,103,78,56.91,20.24,83.12,921,907,50.38,460,476,49.15,49,39,55.68,10.65,91.81,1522,1485,50.62,751,774,49.25,15,22,40.54,2.00,97.16,9.26,92.26,1.015
