id,team_name,gp,toi,w,l,otl,row,points,point_pcg,cf,ca,cf_pcg,ff,fa,ff_pcg,sf,sa,sf_pcg,gf,ga,gf_pcg,xgf,xga,xgf_pcg,scf,sca,scf_pcg,scsf,scsa,scsf_pcg,scgf,scga,scgf_pcg,scsh_pcg,scsv_pcg,hdcf,hdca,hdcf_pcg,hdsf,hdsa,hdsf_pcg,hdgf,hdga,hdgf_pcg,hdsh_pcg,hdsv_pcg,mdcf,mdca,mdcf_pcg,mdsf,mdsa,mdsf_pcg,mdgf,mdga,mdgf_pcg,mdsh_pcg,mdsv_pcg,ldcf,ldca,ldcf_pcg,ldsf,ldsa,ldsf_pcg,ldgf,ldga,ldgf_pcg,ldsh_pcg,ldsv_pcg,sh_pcg,sv_pcg,pdo
1,Ottawa Senators,71,3431.1833,25,34,12,24,62,0.437,3211,3442,48.26,2424,2569,48.55,1706,1858,47.87,129,155,45.42,135.51,137.07,49.71,1538,1616,48.76,886,933,48.71,115,133,46.37,12.98,85.74,652,635,50.66,475,462,50.69,83,89,48.26,17.47,80.74,886,981,47.46,411,471,46.60,32,44,42.11,7.79,90.66,1398,1546,47.49,713,836,46.03,14,22,38.89,1.96,97.37,7.56,91.66,0.992
2,Toronto Maple Leafs,70,3455.0167,36,25,9,35,81,0.579,3466,3196,52.03,2598,2463,51.33,1844,1775,50.95,158,157,50.16,141.98,133.48,51.54,1703,1538,52.55,1014,939,51.92,132,137,49.07,13.02,85.41,661,637,50.92,485,492,49.64,92,93,49.73,18.97,81.10,1042,901,53.63,529,447,54.20,40,44,47.62,7.56,90.16,1551,1441,51.84,770,756,50.46,26,20,56.52,3.38,97.35,8.57,91.15,0.997
3,Washington Capitals,69,3196.4833,41,20,8,37,90,0.652,3120,2927,51.60,2336,2215,51.33,1666,1622,50.67,156,142,52.35,130.04,123.93,51.20,1491,1387,51.81,870,850,50.58,128,121,51.41,14.71,85.76,619,603,50.65,442,443,49.94,90,88,50.56,20.36,80.14,872,784,52.66,428,407,51.26,38,33,53.52,8.88,91.89,1350,1243,52.06,691,666,50.92,27,20,57.45,3.91,97.00,9.36,91.25,1.006
4,St Louis Blues,71,3477.0167,42,19,10,40,94,0.662,2986,2892,50.80,2296,2226,50.77,1737,1625,51.67,149,119,55.60,124.56,124.94,49.92,1485,1418,51.15,930,893,51.01,115,90,56.10,12.37,89.92,549,580,48.63,430,443,49.26,69,56,55.20,16.05,87.36,936,838,52.76,500,450,52.63,46,34,57.50,9.20,92.44,1314,1260,51.05,730,648,52.98,33,29,53.23,4.52,95.52,8.58,92.68,1.013
5,Vancouver Canucks,69,3249.2,36,27,6,32,78,0.565,3063,3262,48.43,2312,2401,49.06,1651,1791,47.97,142,145,49.48,128.06,136.8,48.35,1456,1620,47.33,844,962,46.73,121,124,49.39,14.34,87.11,589,596,49.70,432,460,48.43,84,86,49.41,19.44,81.30,867,1024,45.85,412,502,45.08,37,38,49.33,8.98,92.43,1351,1401,49.09,715,751,48.77,21,21,50.00,2.94,97.20,8.60,91.90,1.005
6,Edmonton Oilers,71,3464.7,37,25,9,35,83,0.585,3037,3307,47.87,2295,2453,48.34,1673,1790,48.31,141,157,47.32,128.67,136.56,48.51,1454,1593,47.72,860,960,47.25,122,137,47.10,14.19,85.73,608,619,49.55,443,485,47.74,83,89,48.26,18.74,81.65,846,974,46.48,417,475,46.75,39,48,44.83,9.35,89.89,1362,1470,48.09,728,722,50.21,18,19,48.65,2.47,97.37,8.43,91.23,0.997
7,San Jose Sharks,70,3365.5833,29,36,5,27,63,0.450,3087,3020,50.55,2268,2259,50.10,1646,1639,50.11,123,162,43.16,131.36,132.03,49.87,1483,1520,49.38,890,938,48.69,106,142,42.74,11.91,84.86,640,630,50.39,487,485,50.10,66,90,42.31,13.55,81.44,843,890,48.64,403,453,47.08,40,52,43.48,9.93,88.52,1355,1235,52.32,679,590,53.51,17,20,45.95,2.50,96.61,7.47,90.12,0.976
8,Vegas Golden Knights,71,3466.6333,39,24,8,36,86,0.606,3565,2945,54.76,2699,2210,54.98,1950,1633,54.42,150,144,51.02,156.94,122.95,56.07,1781,1372,56.49,1127,846,57.12,134,118,53.17,11.89,86.05,726,577,55.72,552,431,56.15,86,82,51.19,15.58,80.97,1055,795,57.03,575,415,58.08,48,36,57.14,8.35,91.33,1501,1324,53.13,723,701,50.77,16,26,38.10,2.21,96.29,7.69,91.18,0.989
9,Florida Panthers,69,3340.6,35,26,8,32,78,0.565,3079,3105,49.79,2337,2330,50.07,1754,1728,50.37,158,154,50.64,125.43,135.37,48.09,1385,1459,48.70,898,941,48.83,125,126,49.80,13.92,86.61,528,626,45.75,407,497,45.02,81,77,51.27,19.90,84.51,857,833,50.71,491,444,52.51,44,49,47.31,8.96,88.96,1458,1396,51.09,774,686,53.01,32,27,54.24,4.13,96.06,9.01,91.09,1.001
10,Tampa Bay Lightning,70,3293.9333,43,21,6,41,92,0.657,3121,2852,52.25,2336,2194,51.57,1669,1634,50.53,162,122,57.04,131.77,113.46,53.73,1595,1351,54.14,981,868,53.06,147,101,59.27,14.98,88.36,607,511,54.29,455,399,53.28,89,62,58.94,19.56,84.46,988,840,54.05,526,469,52.86,58,39,59.79,11.03,91.68,1310,1317,49.87,619,685,47.47,15,21,41.67,2.42,96.93,9.71,92.53,1.022
