id,team_name,gp,toi,w,l,otl,row,points,points_pcg,cf,ca,cf_pcg,ff,fa,ff_pcg,sf,sa,sf_pcg,gf,ga,gf_pcg,xgf,xga,xgf_pcg,scf,sca,scf_pcg,scsf,scsa,scsf_pcg,scgf,scga,scgf_pcg,scsh_pcg,scsv_pcg,hdcf,hdca,hdcf_pcg,hdsf,hdsa,hdsf_pcg,hdgf,hdga,hdgf_pcg,hdsh_pcg,hdsv_pcg,mdcf,mdca,mdcf_pcg,mdsf,mdsa,mdsf_pcg,mdgf,mdga,mdgf_pcg,mdsh_pcg,mdsv_pcg,ldcf,ldca,ldcf_pcg,ldsf,ldsa,ldsf_pcg,ldgf,ldga,ldgf_pcg,ldsh_pcg,ldsv_pcg,sh_pcg,sv_pcg,pdo
1,Washington Capitals,73,3449.1,42,20,11,40,95,0.651,3397,3364,50.24,2505,2503,50.02,1760,1777,49.76,167,141,54.22,136.87,144.07,48.72,1624,1564,50.94,909,908,50.03,136,121,52.92,14.96,86.67,640,717,47.16,442,508,46.53,90,96,48.39,20.36,81.10,984,847,53.74,467,400,53.86,46,25,64.79,9.85,93.75,1446,1410,50.63,743,743,50.00,30,19,61.22,4.04,97.44,9.49,92.07,1.016
2,Vancouver Canucks,72,3467.85,40,23,9,36,89,0.618,3160,3421,48.02,2365,2546,48.16,1697,1890,47.31,158,149,51.47,126.58,141.86,47.15,1480,1711,46.38,844,1005,45.65,132,129,50.57,15.64,87.16,576,633,47.64,416,491,45.87,88,87,50.29,21.15,82.28,904,1078,45.61,428,514,45.44,44,42,51.16,10.28,91.83,1405,1453,49.16,752,797,48.55,26,20,56.52,3.46,97.49,9.31,92.12,1.014
3,San Jose Sharks,71,3465.7333,39,26,6,37,84,0.592,3416,2945,53.70,2471,2153,53.44,1773,1542,53.48,159,154,50.80,148.5,127.47,53.81,1635,1385,54.14,996,867,53.46,137,130,51.31,13.76,85.01,715,593,54.66,542,455,54.36,87,83,51.18,16.05,81.76,920,792,53.74,454,412,52.42,50,47,51.55,11.01,88.59,1434,1238,53.67,692,567,54.96,22,24,47.83,3.18,95.77,8.97,90.01,0.990
4,Buffalo Sabres,74,3664.8333,40,25,9,36,89,0.601,3131,3156,49.80,2499,2496,50.03,1813,1857,49.40,152,149,50.50,124.38,123.89,50.10,1413,1377,50.65,869,894,49.29,130,132,49.62,14.96,85.23,628,583,51.86,470,454,50.87,87,80,52.10,18.51,82.38,785,794,49.72,399,440,47.56,43,52,45.26,10.78,88.18,1485,1507,49.63,865,876,49.68,22,17,56.41,2.54,98.06,8.38,91.98,1.004
5,New York Rangers,73,3529.8333,35,27,11,33,81,0.555,3153,3470,47.61,2398,2564,48.33,1774,1839,49.10,143,140,50.53,143.23,144.79,49.73,1620,1687,48.99,974,957,50.44,126,124,50.40,12.94,87.04,776,729,51.56,563,518,52.08,90,86,51.14,15.99,83.40,844,958,46.84,411,439,48.35,36,38,48.65,8.76,91.34,1231,1483,45.36,690,784,46.81,17,16,51.52,2.46,97.96,8.06,92.39,1.004
6,Pittsburgh Penguins,73,3592.2,45,20,8,43,98,0.671,3336,3352,49.88,2538,2502,50.36,1965,1922,50.55,166,133,55.52,147.84,136.82,51.94,1640,1503,52.18,1096,1009,52.07,149,118,55.81,13.59,88.31,706,605,53.85,578,485,54.37,96,77,55.49,16.61,84.12,934,898,50.98,518,524,49.71,53,41,56.38,10.23,92.18,1424,1506,48.60,762,800,48.78,17,12,58.62,2.23,98.50,8.45,93.08,1.015
7,Carolina Hurricanes,73,3527.25,43,24,6,37,92,0.630,3799,3075,55.27,2902,2350,55.26,1974,1632,54.74,156,136,53.42,177.53,140.68,55.79,1840,1392,56.93,1025,814,55.74,130,115,53.06,12.68,85.87,871,663,56.78,572,459,55.48,88,84,51.16,15.38,81.70,969,729,57.07,453,355,56.06,42,31,57.53,9.27,91.27,1642,1356,54.77,851,702,54.80,26,21,55.32,3.06,97.01,7.90,91.67,0.996
8,Ottawa Senators,75,3655.4333,33,32,10,33,76,0.507,3437,3886,46.93,2564,2834,47.50,1788,2051,46.57,152,154,49.67,140.88,141.76,49.84,1636,1725,48.68,894,956,48.32,132,128,50.77,14.77,86.61,709,653,52.06,496,480,50.82,88,86,50.57,17.74,82.08,927,1072,46.37,398,476,45.54,44,42,51.16,11.06,91.18,1479,1811,44.95,782,1005,43.76,19,25,43.18,2.43,97.51,8.50,92.49,1.010
9,Detroit Red Wings,73,3556.1833,27,39,7,24,61,0.418,2869,3217,47.14,2210,2518,46.74,1631,1862,46.69,118,147,44.53,116.99,138.44,45.80,1334,1531,46.56,841,960,46.70,101,117,46.33,12.01,87.81,517,619,45.51,410,472,46.49,66,81,44.90,16.10,82.84,817,912,47.25,431,488,46.90,35,36,49.30,8.12,92.62,1256,1436,46.66,674,811,45.39,17,30,36.17,2.52,96.30,7.23,92.11,0.993
10,St Louis Blues,73,3555.3167,45,21,7,42,97,0.664,3263,2836,53.50,2489,2157,53.57,1849,1578,53.95,171,130,56.81,141.19,117.56,54.57,1717,1428,54.59,1067,899,54.27,141,112,55.73,13.21,87.54,648,520,55.48,505,419,54.65,94,74,55.95,18.61,82.34,1069,908,54.07,562,480,53.93,47,38,55.29,8.36,92.08,1311,1196,52.29,702,594,54.17,28,18,60.87,3.99,96.97,9.25,91.76,1.010
