id,team_name,gp,toi,w,l,otl,row,points,point_pcg,cf,ca,cf_pcg,ff,fa,ff_pcg,sf,sa,sf_pcg,gf,ga,gf_pcg,xgf,xga,xgf_pcg,scf,sca,scf_pcg,scsf,scsa,scsf_pcg,scgf,scga,scgf_pcg,scsh_pcg,scsv_pcg,hdcf,hdca,hdcf_pcg,hdsf,hdsa,hdsf_pcg,hdgf,hdga,hdgf_pcg,hdsh_pcg,hdsv_pcg,mdcf,mdca,mdcf_pcg,mdsf,mdsa,mdsf_pcg,mdgf,mdga,mdgf_pcg,mdsh_pcg,mdsv_pcg,ldcf,ldca,ldcf_pcg,ldsf,ldsa,ldsf_pcg,ldgf,ldga,ldgf_pcg,ldsh_pcg,ldsv_pcg,sh_pcg,sv_pcg,pdo
1,Ottawa Senators,71,347.4833,25,34,12,24,62,0.437,107,602,15.09,95,468,16.87,76,328,18.81,12,48,20.00,6.72,40.48,14.24,62,296,17.32,43,184,18.94,10,39,20.41,23.26,78.80,33,135,19.64,28,101,21.71,9,24,27.27,32.14,76.24,29,161,15.26,15,83,15.31,1,15,6.25,6.67,81.93,14,286,4.67,6,143,4.03,2,9,18.18,33.33,93.71,15.79,85.37,1.012
2,Toronto Maple Leafs,70,309.1667,36,25,9,35,81,0.579,95,479,16.55,78,366,17.57,61,266,18.65,4,37,9.76,5.39,30.14,15.18,50,245,16.95,35,132,20.96,4,28,12.50,11.43,78.79,26,91,22.22,23,57,28.75,4,17,19.05,17.39,70.18,24,154,13.48,12,75,13.79,0,11,0.00,0.00,85.33,20,222,8.26,8,132,5.71,0,9,0.00,0.00,93.18,6.56,86.09,0.926
3,Washington Capitals,69,391.95,41,20,8,37,90,0.652,98,545,15.24,86,371,18.82,74,268,21.64,5,39,11.36,3.92,34.08,10.32,37,278,11.75,29,158,15.51,5,36,12.20,17.24,77.22,15,102,12.82,14,75,15.73,5,21,19.23,35.71,72.00,22,176,11.11,15,83,15.31,0,15,0.00,0.00,81.93,26,246,9.56,16,108,12.90,0,3,0.00,0.00,97.22,6.76,85.45,0.922
4,St Louis Blues,71,316.5,42,19,10,40,94,0.662,68,483,12.34,61,368,14.22,56,271,17.13,2,36,5.26,2.58,32.31,7.40,21,237,8.14,18,154,10.47,2,22,8.33,11.11,85.71,7,109,6.03,4,79,4.82,1,10,9.09,25.00,87.34,14,128,9.86,14,75,15.73,1,12,7.69,7.14,84.00,21,232,8.30,14,115,10.85,0,14,0.00,0.00,87.83,3.57,86.72,0.903
5,Vancouver Canucks,69,348.8667,36,27,6,32,78,0.565,54,589,8.40,53,434,10.88,49,319,13.32,4,39,9.30,2.17,40.51,5.08,16,328,4.65,13,203,6.02,3,26,10.34,23.08,87.19,6,125,4.58,5,97,4.90,1,10,9.09,20.00,89.69,10,203,4.69,8,106,7.02,2,16,11.11,25.00,84.91,14,249,5.32,12,113,9.60,1,13,7.14,8.33,88.50,8.16,87.77,0.959
6,Edmonton Oilers,71,327.6333,37,25,9,35,83,0.585,67,567,10.57,59,423,12.24,51,301,14.49,2,28,6.67,2.28,36.19,5.93,28,272,9.33,18,160,10.11,2,21,8.70,11.11,86.88,8,96,7.69,6,70,7.89,1,12,7.69,16.67,82.86,20,176,10.20,12,90,11.76,1,9,10.00,8.33,90.00,14,283,4.71,9,138,6.12,0,7,0.00,0.00,94.93,3.92,90.70,0.946
7,San Jose Sharks,70,379.45,29,36,5,27,63,0.450,80,544,12.82,73,435,14.37,62,324,16.06,7,32,17.95,4.73,40.56,10.44,35,305,10.29,26,200,11.50,6,25,19.35,23.08,87.50,17,146,10.43,15,106,12.40,3,16,15.79,20.00,84.91,18,159,10.17,11,94,10.48,3,9,25.00,27.27,90.43,23,226,9.24,14,123,10.22,1,7,12.50,7.14,94.31,11.29,90.12,1.014
8,Vegas Golden Knights,71,341.45,39,24,8,36,86,0.606,94,574,14.07,85,414,17.03,65,298,17.91,8,46,14.81,5.3,36.25,12.77,50,291,14.66,33,163,16.84,7,34,17.07,21.21,79.14,25,113,18.12,17,81,17.35,5,20,20.00,29.41,75.31,25,178,12.32,16,82,16.33,2,14,12.50,12.50,82.93,18,265,6.36,8,134,5.63,1,12,7.69,12.50,91.04,12.31,84.56,0.969
9,Florida Panthers,69,293.5333,35,26,8,32,78,0.565,89,541,14.13,80,407,16.43,67,301,18.21,3,39,7.14,5.08,37.78,11.85,46,245,15.81,33,159,17.19,3,28,9.68,9.09,82.39,24,109,18.05,18,82,18.00,2,16,11.11,11.11,80.49,22,136,13.92,15,77,16.30,1,12,7.69,6.67,84.42,19,282,6.31,15,139,9.74,0,10,0.00,0.00,92.81,4.48,87.04,0.915
10,Tampa Bay Lightning,70,365.9333,43,21,6,41,92,0.657,95,591,13.85,86,431,16.63,72,308,18.95,6,42,12.50,5.1,37.63,11.93,42,312,11.86,33,188,14.93,5,32,13.51,15.15,82.98,24,124,16.22,20,93,17.70,5,22,18.52,25.00,76.34,18,188,8.74,13,95,12.04,0,10,0.00,0.00,89.47,27,261,9.38,15,118,11.28,1,10,9.09,6.67,91.53,8.33,86.36,0.947
