id,team_name,gp,toi,w,l,otl,row,points,points_pcg,cf,ca,cf_pcg,ff,fa,ff_pcg,sf,sa,sf_pcg,gf,ga,gf_pcg,xgf,xga,xgf_pcg,scf,sca,scf_pcg,scsf,scsa,scsf_pcg,scgf,scga,scgf_pcg,scsh_pcg,scsv_pcg,hdcf,hdca,hdcf_pcg,hdsf,hdsa,hdsf_pcg,hdgf,hdga,hdgf_pcg,hdsh_pcg,hdsv_pcg,mdcf,mdca,mdcf_pcg,mdsf,mdsa,mdsf_pcg,mdgf,mdga,mdgf_pcg,mdsh_pcg,mdsv_pcg,ldcf,ldca,ldcf_pcg,ldsf,ldsa,ldsf_pcg,ldgf,ldga,ldgf_pcg,ldsh_pcg,ldsv_pcg,sh_pcg,sv_pcg,pdo
1,Ottawa Senators,27,132.0833,11,15,1,11,23,0.426,192,47,80.33,138,42,76.67,87,36,70.73,6,3,66.67,11.22,2.41,82.33,85,25,77.27,39,19,67.24,4,3,57.14,10.26,84.21,36,10,78.26,21,8,72.41,2,3,40.00,9.52,62.50,49,15,76.56,18,11,62.07,2,0,100.00,11.11,100.00,100,11,90.09,48,6,88.89,2,0,100.00,4.17,100.00,6.90,91.67,0.986
2,Toronto Maple Leafs,28,135.8167,13,11,4,12,30,0.536,217,37,85.43,169,36,82.44,115,28,80.42,15,2,88.24,14.97,2.36,86.38,122,17,87.77,74,12,86.05,11,2,84.62,14.86,83.33,48,8,85.71,35,7,83.33,6,1,85.71,17.14,85.71,74,9,89.16,39,5,88.64,5,1,83.33,12.82,80.00,92,13,87.62,41,9,82.00,4,0,100.00,9.76,100.00,13.04,92.86,1.059
3,Washington Capitals,28,128.7333,19,4,5,16,43,0.768,191,41,82.33,152,40,79.17,107,33,76.43,20,2,90.91,14.82,1.8,89.18,93,15,86.11,56,10,84.85,13,1,92.86,23.21,90.00,46,4,92.00,32,3,91.43,9,1,90.00,28.13,66.67,47,11,81.03,24,7,77.42,4,0,100.00,16.67,100.00,91,10,90.10,49,8,85.96,7,1,87.50,14.29,87.50,18.69,93.94,1.126
4,St Louis Blues,28,136.9667,17,5,6,17,40,0.714,196,46,80.99,145,42,77.54,110,38,74.32,19,3,86.36,12.71,3.14,80.21,110,26,80.88,65,23,73.86,16,3,84.21,24.62,86.96,36,16,69.23,26,16,61.90,7,2,77.78,26.92,87.50,74,10,88.10,39,7,84.78,9,1,90.00,23.08,85.71,81,10,89.01,44,6,88.00,3,0,100.00,6.82,100.00,17.27,92.11,1.094
5,Vancouver Canucks,27,164.7333,13,10,4,10,30,0.556,267,37,87.83,199,32,86.15,148,28,84.09,27,3,90.00,15.79,1.64,90.59,120,13,90.23,84,11,88.42,24,3,88.89,28.57,72.73,39,9,81.25,32,8,80.00,10,3,76.92,31.25,62.50,81,4,95.29,52,3,94.55,14,0,100.00,26.92,100.00,141,10,93.38,64,4,94.12,3,0,100.00,4.69,100.00,18.24,89.29,1.075
6,Edmonton Oilers,28,119.5,16,9,3,14,35,0.625,227,27,89.37,167,21,88.83,115,17,87.12,22,3,88.00,15.23,1.45,91.32,140,13,91.50,77,8,90.59,20,3,86.96,25.97,62.50,49,5,90.74,36,4,90.00,10,1,90.91,27.78,75.00,91,8,91.92,41,4,91.11,10,2,83.33,24.39,50.00,79,5,94.05,37,2,94.87,2,0,100.00,5.41,100.00,19.13,82.35,1.015
7,San Jose Sharks,28,137.7167,15,12,1,13,31,0.554,251,39,86.55,189,38,83.26,143,30,82.66,14,3,82.35,18.22,2.24,89.07,133,18,88.08,83,12,87.37,12,3,80.00,14.46,75.00,61,12,83.56,42,9,82.35,9,2,81.82,21.43,77.78,72,6,92.31,41,3,93.18,3,1,75.00,7.32,66.67,112,5,95.73,60,3,95.24,2,0,100.00,3.33,100.00,9.79,90.00,0.998
8,Vegas Golden Knights,28,138.45,13,11,4,10,30,0.536,278,20,93.29,200,18,91.74,153,15,91.07,18,2,90.00,17.02,1.55,91.67,137,12,91.95,88,9,90.72,14,2,87.50,15.91,77.78,48,6,88.89,36,5,87.80,7,1,87.50,19.44,80.00,89,6,93.68,52,4,92.86,7,1,87.50,13.46,75.00,132,2,98.51,64,1,98.46,4,0,100.00,6.25,100.00,11.76,86.67,0.984
9,Florida Panthers,26,130.7,13,8,5,10,31,0.596,202,28,87.83,144,23,86.23,115,21,84.56,16,0,100.00,13.15,0.97,93.14,100,7,93.46,64,5,92.75,13,0,100.00,20.31,100.00,41,3,93.18,35,3,92.11,6,0,100.00,17.14,100.00,59,4,93.65,29,2,93.55,7,0,100.00,24.14,100.00,99,9,91.67,51,7,87.93,3,0,100.00,5.88,100.00,13.91,100.00,1.139
10,Tampa Bay Lightning,24,119.25,12,9,3,11,27,0.563,205,33,86.13,161,29,84.74,121,26,82.31,23,3,88.46,12.79,2.02,86.33,99,17,85.34,64,15,81.01,16,3,84.21,25.00,80.00,33,8,80.49,26,8,76.47,7,1,87.50,26.92,87.50,66,9,88.00,38,7,84.44,9,2,81.82,23.68,71.43,103,8,92.79,57,3,95.00,7,0,100.00,12.28,100.00,19.01,88.46,1.075
