team_id,unavailable_players
ANA,"['PATRICK_EAVES', 'RYAN_KESLER', 'ERIK_GUDBRANSON', 'CAM_FOWLER', 'HAMPUS_LINDHOLM', 'JOHN_GIBSON']"
ARI,"['JAKOB_CHYCHRUN', 'CONOR_GARLAND']"
BOS,"['KEVAN_MILLER', 'BRANDON_CARLO', 'TOREY_KRUG']"
BUF,"['MATT_HUNWICK', 'VLADIMIR_SOBOTKA', 'TAGE_THOMPSON', 'LAWRENCE_PILUT']"
CAR,"['DOUGIE_HAMILTON', 'SAMI_VATANEN', 'BRETT_PESCE', 'JAMES_REIMER', 'RYAN_DZINGEL']"
CBJ,"['JOSH_ANDERSON', 'CAM_ATKINSON', 'OLIVER_BJORKSTRAND', 'SETH_JONES', 'DEAN_KUKAN', 'ALEXANDRE_TEXIER', 'NATHAN_GERBE', 'RYAN_MURRAY']"
CGY,"['JUUSO_VALIMAKI', 'TRAVIS_HAMONIC']"
CHI,[]
COL,"['COLIN_WILSON', 'NAZEM_KADRI', 'PHILIPP_GRUBAUER', 'MATT_CALVERT', 'MIKKO_RANTANEN', 'ANDRE_BURAKOVSKY', 'CALE_MAKAR']"
DAL,"['MARTIN_HANZAL', 'ALEXANDER_RADULOV']"
DET,"['DAN_DEKEYSER', 'FILIP_ZADINA', 'ADAM_ERNE']"
EDM,"['JOAKIM_NYGARD', 'MIKE_GREEN', 'CONNOR_MCDAVID']"
FLA,"['BRIAN_BOYLE', 'SERGEI_BOBROVSKY']"
LAK,['JEFF_CARTER']
MIN,"['CARSON_SOUCY', 'ERIC_STAAL']"
MTL,"['NOAH_JUULSEN', 'VICTOR_METE', 'JONATHAN_DROUIN', 'TOMAS_TATAR']"
NJD,"['WILL_BUTCHER', 'FREDRIK_CLAESSON']"
NSH,['DAN_HAMHUIS']
NYI,"['CASEY_CIZIKAS', 'ADAM_PELECH', 'JOHNNY_BOYCHUK']"
NYR,"['MICHEAL_HALEY', 'CHRIS_KREIDER']"
OTT,"['ANDERS_NILSSON', 'MARK_BOROWIECKI', 'ARTEM_ANISIMOV']"
PHI,"['NOLAN_PATRICK', 'OSKAR_LINDBLOM', 'SAMUEL_MORIN', 'JAMES_VAN_RIEMSDYK', 'PHILIPPE_MYERS']"
PIT,"['JAKE_GUENTZEL', 'ZACH_ASTON-REESE', 'NICK_BJUGSTAD']"
SJS,"['DALTON_PROUT', 'TOMAS_HERTL', 'ERIK_KARLSSON', 'JACOB_MIDDLETON', 'MARIO_FERRARO']"
STL,"['VLADIMIR_TARASENKO', 'JAY_BOUWMEESTER', 'JORDAN_KYROU', 'JUSTIN_FAULK']"
TBL,"['JAN_RUTTA', 'STEVEN_STAMKOS', 'VICTOR_HEDMAN']"
TOR,"['MORGAN_RIELLY', 'ILYA_MIKHEYEV', 'JAKE_MUZZIN', 'ANDREAS_JOHNSSON']"
VAN,"['MICHEAL_FERLAND', 'JOSH_LEIVO', 'TYLER_GRAOVAC', 'JACOB_MARKSTROM']"
VGK,"['ALEX_TUCH', 'MARK_STONE']"
WPG,"['DUSTIN_BYFUGLIEN', 'BRYAN_LITTLE', 'LUCA_SBISA', 'MARK_LETESTU', 'SAMI_NIKU', 'ANTHONY_BITETTO']"
WSH,[]
