first_name;last_name;yob;season_year;league;gp;g;a
lean;bergmann;1998;2015;USHL;28;5;7
lean;bergmann;1998;2016;USHL;41;7;9
lean;bergmann;1998;2017;USHL;56;11;14
lean;bergmann;1998;2018;DEL;50;20;9
joachim;blichfeld;1998;2016;WHL;63;28;30
joachim;blichfeld;1998;2017;WHL;56;24;32
joachim;blichfeld;1998;2018;WHL;68;53;61
rourke;chartier;1996;2012;WHL;58;13;17
rourke;chartier;1996;2013;WHL;72;24;34
rourke;chartier;1996;2014;WHL;58;48;34
rourke;chartier;1996;2015;WHL;42;25;21
rourke;chartier;1996;2016;AHL;67;17;18
rourke;chartier;1996;2017;AHL;28;7;14
rourke;chartier;1996;2018;AHL;26;6;12
ivan;chekovich;1999;2016;QMJHL;60;26;33
ivan;chekovich;1999;2017;QMJHL;65;29;31
ivan;chekovich;1999;2018;QMJHL;68;44;64
alexander;chmelevski;1999;2015;OHL;34;11;8
alexander;chmelevski;1999;2016;OHL;58;21;22
alexander;chmelevski;1999;2017;OHL;68;35;41
alexander;chmelevski;1999;2018;OHL;56;35;40
karlis;cukste;1997;2015;USHL;44;4;11
karlis;cukste;1997;2016;NCAA;38;5;10
karlis;cukste;1997;2017;NCAA;38;3;10
karlis;cukste;1997;2018;NCAA;38;2;18
jonathan;dahlen;1997;2014;SUPERELIT;40;25;25
jonathan;dahlen;1997;2015;ALLSVENSKAN;51;15;14
jonathan;dahlen;1997;2016;ALLSVENSKAN;45;25;19
jonathan;dahlen;1997;2017;ALLSVENSKAN;44;23;21
jonathan;dahlen;1997;2018;AHL;57;14;19
nick;desimone;1994;2016;NCAA;38;9;10
nick;desimone;1994;2017;AHL;59;6;14
nick;desimone;1994;2018;AHL;63;13;32
mario;ferraro;1998;2017;NCAA;39;4;19
mario;ferraro;1998;2018;NCAA;39;2;11
matt;fonteyne;1997;2013;WHL;61;4;5
matt;fonteyne;1997;2014;WHL;69;7;8
matt;fonteyne;1997;2015;WHL;72;16;32
matt;fonteyne;1997;2016;WHL;64;20;27
matt;fonteyne;1997;2017;WHL;73;35;53
matt;fonteyne;1997;2018;AHL;40;5;6
dylan;gambrell;1996;2015;NCAA;41;17;30
dylan;gambrell;1996;2016;NCAA;38;13;29
dylan;gambrell;1996;2017;NCAA;41;13;30
dylan;gambrell;1996;2018;AHL;48;19;25
barcley;goodrow;1993;2009;OHL;63;6;13
barcley;goodrow;1993;2010;OHL;65;24;15
barcley;goodrow;1993;2011;OHL;60;26;26
barcley;goodrow;1993;2012;OHL;62;38;14
barcley;goodrow;1993;2013;OHL;63;33;34
barcley;goodrow;1993;2014;NHL;60;4;8
barcley;goodrow;1993;2015;AHL;57;20;19
barcley;goodrow;1993;2016;AHL;61;25;20
barcley;goodrow;1993;2017;NHL;47;7;7
barcley;goodrow;1993;2018;NHL;82;7;9
thomas;gregoire;1998;2017;QMJHL;67;12;57
thomas;gregoire;1998;2018;AHL;24;2;6
noah;gregor;1998;2014;WHL;10;2;4
noah;gregor;1998;2015;WHL;72;28;45
noah;gregor;1998;2016;WHL;52;27;34
noah;gregor;1998;2017;WHL;60;29;36
noah;gregor;1998;2018;WHL;63;43;45
jayden;halbgewachs;1997;2014;WHL;59;4;4
jayden;halbgewachs;1997;2015;WHL;69;15;26
jayden;halbgewachs;1997;2016;WHL;71;50;51
jayden;halbgewachs;1997;2017;WHL;72;70;59
jayden;halbgewachs;1997;2018;AHL;61;13;20
tomas;hertl;1993;2011;CZECH;38;12;13
tomas;hertl;1993;2012;CZECH;43;18;12
tomas;hertl;1993;2013;NHL;37;15;10
tomas;hertl;1993;2014;NHL;82;13;18
tomas;hertl;1993;2015;NHL;81;21;25
tomas;hertl;1993;2016;NHL;49;10;12
tomas;hertl;1993;2017;NHL;79;22;24
