id,player_name,team,position,age,dob,birth_city,birth_state,birth_country,nationality,height,weight,draft_year,draft_team,draft_round,draft_round_pick,total_draft_pick
1,Martin Brodeur,STL,G,47,1972-05-06,Montreal,-,CAN,-,74,220,1990,N.J,1,20,20
2,Evgeni Nabokov,T.B,G,44,1975-07-25,Kamenogorsk,-,KAZ,-,72,202,1994,S.J,9,11,219
3,Roberto Luongo,FLA,G,41,1979-04-04,Montreal,-,CAN,-,75,215,1997,NYI,1,4,4
4,Scott Clemmensen,N.J,G,42,1977-07-23,Des Moines,-,USA,-,74,200,1997,N.J,8,25,215
5,Jason LaBarbera,ANA,G,40,1980-01-18,Burnaby,-,CAN,-,75,232,1998,NYR,3,8,66
6,Craig Anderson,OTT,G,38,1981-05-21,Park Ridge,-,USA,-,74,186,2001,CHI,3,10,73
7,Rob Zepp,PHI,G,38,1981-09-07,Scarborough,-,CAN,-,74,198,2001,CAR,4,14,110
8,Ryan Miller,VAN,G,39,1980-07-17,East Lansing,-,USA,-,75,170,1999,BUF,5,12,138
9,Ilya Bryzgalov,ANA,G,39,1980-06-22,Togliatti,-,RUS,-,75,213,2000,ANA,2,14,44
10,Dan Ellis,FLA,G,39,1980-06-19,Saskatoon,-,CAN,-,73,195,2000,DAL,2,30,60
11,Henrik Lundqvist,NYR,G,38,1982-03-02,Are,-,SWE,-,73,182,2000,NYR,7,8,205
12,Ray Emery,PHI,G,37,1982-09-28,Hamilton,-,CAN,-,74,196,2001,OTT,4,3,99
13,Mike Smith,ARI,G,38,1982-03-22,Kingston,-,CAN,-,76,220,2001,DAL,5,30,161
14,Mike McKenna,ARI,G,37,1983-04-11,St. Louis,-,USA,-,74,183,2002,NSH,6,6,172
15,Kari Lehtonen,DAL,G,36,1983-11-16,Helsinki,-,FIN,-,76,209,2002,ATL,1,2,2
16,Curtis McElhinney,CBJ,G,36,1983-05-23,London,-,CAN,-,74,204,2002,CGY,6,10,176
17,Cam Ward,CAR,G,36,1984-02-29,Saskatoon,-,CAN,-,73,194,2002,CAR,1,25,25
18,Marc-Andre Fleury,PIT,G,35,1984-11-28,Sorel,-,CAN,-,74,185,2003,PIT,1,1,1
19,Corey Crawford,CHI,G,35,1984-12-31,Montreal,-,CAN,-,74,216,2003,CHI,2,22,52
20,Jimmy Howard,DET,G,36,1984-03-26,Syracuse,-,USA,-,73,218,2003,DET,2,34,64
21,Jaroslav Halak,NYI,G,34,1985-05-13,Bratislava,-,SVK,-,71,185,2003,MTL,9,10,271
22,Brian Elliott,STL,G,35,1985-04-09,Newmarket,-,CAN,-,74,209,2003,OTT,9,30,291
23,Al Montoya,FLA,G,35,1985-02-13,Chicago,-,USA,-,74,200,2004,NYR,1,6,6
24,Devan Dubnyk,"ARI, MIN",G,33,1986-05-04,Regina,-,CAN,-,78,224,2004,EDM,1,14,14
25,Cory Schneider,N.J,G,34,1986-03-18,Marblehead,-,USA,-,75,200,2004,VAN,1,26,26
26,Justin Peters,WSH,G,33,1986-08-30,Blyth,-,CAN,-,73,210,2004,CAR,2,8,38
27,Thomas Greiss,PIT,G,34,1986-01-29,Fussen,-,DEU,-,73,232,2004,S.J,3,29,94
28,Karri Ramo,CGY,G,33,1986-07-01,Asikkala,-,FIN,-,74,206,2004,T.B,6,28,191
29,Anton Khudobin,CAR,G,33,1986-05-07,Ust-Kamenogorsk,-,KAZ,-,71,195,2004,MIN,7,13,206
30,Pekka Rinne,NSH,G,37,1982-11-03,Kempele,-,FIN,-,77,217,2004,NSH,8,31,258
31,Carey Price,MTL,G,32,1987-08-16,Anahim Lake,-,CAN,-,75,217,2005,MTL,1,5,5
32,Tuukka Rask,BOS,G,33,1987-03-10,Savonlinna,-,FIN,-,75,176,2005,TOR,1,21,21
33,Ondrej Pavelec,WPG,G,32,1987-08-31,Kladno,-,CZE,-,75,212,2005,ATL,2,11,41
34,Jonathan Quick,L.A,G,34,1986-01-21,Milford,-,USA,-,73,216,2005,L.A,3,11,72
35,Ben Bishop,T.B,G,33,1986-11-21,Denver,-,USA,-,79,210,2005,STL,3,24,85
36,Alex Stalock,S.J,G,32,1987-07-28,St. Paul,-,USA,-,72,200,2005,S.J,4,21,112
37,Niklas Backstrom,MIN,G,42,1978-02-13,Helsinki,-,FIN,-,74,192,-,-,-,-,-
38,Chad Johnson,NYI,G,33,1986-06-10,Saskatoon,-,CAN,-,75,197,2006,PIT,5,2,125
39,Steve Mason,PHI,G,31,1988-05-29,Oakville,-,CAN,-,76,188,2006,CBJ,3,6,69
40,Reto Berra,COL,G,33,1987-01-03,Bulach,-,CHE,-,76,218,2006,STL,4,13,106
41,James Reimer,TOR,G,32,1988-03-15,Morweena,-,CAN,-,74,220,2006,TOR,4,6,99
42,Jhonas Enroth,"BUF, DAL",G,31,1988-06-25,Stockholm,-,SWE,-,70,175,2006,BUF,2,16,46
43,Jonathan Bernier,TOR,G,31,1988-08-07,Laval,-,CAN,-,72,185,2006,L.A,1,11,11
44,Jeff Zatkoff,PIT,G,32,1987-06-09,Detroit,-,USA,-,74,186,2006,L.A,3,11,74
45,Semyon Varlamov,COL,G,31,1988-04-27,Samara,-,RUS,-,74,205,2006,WSH,1,23,23
46,Michal Neuvirth,"BUF, NYI",G,32,1988-03-23,Ústí nad Labem,-,CZE,-,73,209,2006,WSH,2,4,34
47,Richard Bachman,EDM,G,32,1987-07-25,Salt Lake City,-,USA,-,70,183,2006,DAL,4,27,120
48,Jonas Hiller,CGY,G,38,1982-02-12,Felben Wellhausen,-,CHE,-,74,191,-,-,-,-,-
49,Scott Darling,CHI,G,31,1988-12-22,Newport News,-,USA,-,78,226,2007,PHX,6,2,153
50,John Curry,MIN,G,36,1984-02-27,Shorewood,-,USA,-,71,185,-,-,-,-,-
51,Antti Niemi,S.J,G,36,1983-08-29,Vantaa,-,FIN,-,74,209,-,-,-,-,-
52,Tom McCollum,DET,G,30,1989-12-07,Amherst,-,USA,-,74,220,2008,DET,1,30,30
53,Jacob Markstrom,VAN,G,30,1990-01-31,Gävle,-,SWE,-,78,206,2008,FLA,2,1,31
54,Jake Allen,STL,G,29,1990-08-07,Fredericton,-,CAN,-,74,203,2008,STL,2,4,34
55,Michael Hutchinson,WPG,G,30,1990-03-02,Barrie,-,CAN,-,75,198,2008,BOS,3,16,77
56,Braden Holtby,WSH,G,30,1989-09-16,Lloydminster,-,CAN,-,74,214,2008,WSH,4,2,93
57,Dustin Tokarski,MTL,G,30,1989-09-16,Watson,-,CAN,-,72,198,2008,T.B,5,1,122
58,Kevin Poulin,NYI,G,30,1990-04-12,Montreal,-,CAN,-,74,206,2008,NYI,5,5,126
59,Anders Lindback,"BUF, DAL",G,31,1988-05-03,Gävle,-,SWE,-,78,215,2008,NSH,7,26,207
60,Martin Jones,L.A,G,30,1990-01-10,North Vancouver,-,CAN,-,76,190,-,-,-,-,-
61,Robin Lehner,OTT,G,28,1991-07-24,Gothenburg,-,SWE,-,76,240,2009,OTT,2,16,46
62,Matt Hackett,BUF,G,30,1990-03-07,London,-,CAN,-,74,179,2009,MIN,3,16,77
63,Joni Ortio,CGY,G,29,1991-04-16,Turku,-,FIN,-,73,190,2009,CGY,6,20,171
64,Darcy Kuemper,MIN,G,29,1990-05-05,Saskatoon,-,CAN,-,77,215,2009,MIN,6,10,161
65,Jonas Gustavsson,DET,G,35,1984-10-24,Danderyd,-,SWE,-,76,201,-,-,-,-,-
