id,player_name,team,gp,toi,sa,sv,ga,sv_pcg,gaa,gsaa,xga,hdsa,hdsv,hdga,hdsv_pcg,hdgaa,hdgsaa,mdsa,mdsv,mdga,mdsv_pcg,mdgaa,mdgsaa,ldsa,ldsv,ldga,ldsv_pcg,ldgaa,ldgsaa,rush_attempts_against,rebound_attempts_against,avg_shot_dist,avg_goal_dist
1,Roberto Luongo,FLA,62,2811.0666666667,1377,1287,90,0.935,1.92,13.37,99.49,354,301,53,0.850,1.13,5.88,348,325,23,0.934,0.49,3.71,632,618,14,0.978,0.30,2.98,61,119,36.15,22.72
2,Craig Anderson,OTT,60,2791.5166666667,1510,1397,113,0.925,2.43,0.35,104.55,365,306,59,0.838,1.27,1.71,388,347,41,0.894,0.88,-11.22,710,697,13,0.982,0.28,6.08,67,134,35.86,20.58
3,Ryan Miller,VAN,51,2426.6,1267,1178,89,0.930,2.20,6.11,94.77,345,289,56,0.838,1.38,1.38,388,365,23,0.941,0.57,6.78,498,488,10,0.980,0.25,3.38,52,90,33.28,20.09
4,Michael Leighton,CHI,1,32.3,11,10,1,0.909,1.86,-0.17,0.66,3,3,0,1.000,0.00,0.50,3,3,0,1.000,0.00,0.23,4,3,1,0.750,1.86,-0.89,1,0,33.73,30.00
5,Henrik Lundqvist,NYR,65,3020.8333333333,1532,1435,97,0.937,1.93,18.00,126.05,426,359,67,0.843,1.33,3.85,366,347,19,0.948,0.38,9.09,676,665,11,0.984,0.22,7.16,69,139,33.13,18.67
6,Peter Budaj,L.A,1,54.183333333333,23,20,3,0.870,3.32,-1.27,1.58,9,7,2,0.778,2.21,-0.50,3,3,0,1.000,0.00,0.23,9,9,0,1.000,0.00,0.24,0,1,32.48,37.67
7,Mike Smith,ARI,32,1358.35,705,661,44,0.938,1.94,8.92,52.18,163,139,24,0.853,1.06,3.11,193,178,15,0.922,0.66,-0.19,332,328,4,0.988,0.18,4.92,28,54,33.89,21.52
8,Kari Lehtonen,DAL,43,1825.3333333333,879,799,80,0.909,2.63,-14.02,69.81,243,194,49,0.798,1.61,-8.58,223,206,17,0.924,0.56,0.11,373,359,14,0.962,0.46,-3.98,26,84,35.42,23.54
9,Curtis McElhinney,CBJ,18,647.95,305,272,33,0.892,3.06,-10.10,23.93,83,63,20,0.759,1.85,-6.20,76,66,10,0.868,0.93,-4.17,136,134,2,0.985,0.19,1.65,14,34,35.82,23.18
10,Cam Ward,CAR,52,2485.4,1086,997,89,0.918,2.15,-7.48,87.86,277,227,50,0.819,1.21,-3.93,280,261,19,0.932,0.46,2.49,495,475,20,0.960,0.48,-6.70,42,97,35.10,22.02
11,Marc-Andre Fleury,PIT,58,2748.4,1293,1206,87,0.933,1.90,10.06,92.9,334,287,47,0.859,1.03,8.55,348,322,26,0.925,0.57,0.71,572,558,14,0.976,0.31,1.37,57,115,34.89,22.75
12,Corey Crawford,CHI,58,2672.4166666667,1332,1243,89,0.933,2.00,10.99,103.59,385,335,50,0.870,1.12,14.03,291,266,25,0.914,0.56,-2.67,618,604,14,0.977,0.31,2.60,44,138,33.19,20.61
13,Jimmy Howard,DET,37,1546.1833333333,761,700,61,0.920,2.37,-3.87,59.05,228,188,40,0.825,1.55,-2.08,191,179,12,0.937,0.47,2.66,315,306,9,0.971,0.35,-0.54,35,79,34.07,18.57
14,Jaroslav Halak,NYI,36,1708.4166666667,806,743,63,0.922,2.21,-2.50,67.17,251,212,39,0.845,1.37,2.75,210,193,17,0.919,0.60,-0.88,301,295,6,0.980,0.21,2.09,44,82,31.05,20.00
15,Brian Elliott,STL,42,1747.2333333333,808,758,50,0.938,1.72,10.65,63.23,237,209,28,0.882,0.96,11.42,211,198,13,0.938,0.45,3.19,336,327,9,0.973,0.31,0.03,53,63,32.29,20.14
16,Yann Danis,N.J,2,34.95,15,12,3,0.800,5.15,-1.87,2.65,7,5,2,0.714,3.43,-0.84,3,2,1,0.667,1.72,-0.77,5,5,0,1.000,0.00,0.13,1,4,24.40,15.33
17,Al Montoya,FLA,25,1052.9666666667,469,434,35,0.925,1.99,0.21,35.08,114,90,24,0.789,1.37,-5.04,115,107,8,0.930,0.46,0.83,219,216,3,0.986,0.17,2.88,24,36,36.95,18.91
18,Devan Dubnyk,MIN,67,3100.6333333333,1431,1335,96,0.933,1.86,11.42,99.13,358,305,53,0.852,1.03,6.54,317,295,22,0.931,0.43,2.33,699,679,20,0.971,0.39,-1.22,64,127,37.13,24.70
19,Cory Schneider,N.J,58,2658.3,1178,1095,83,0.930,1.87,5.43,87.67,291,250,41,0.859,0.93,7.40,296,273,23,0.922,0.52,-0.28,549,531,18,0.967,0.41,-3.25,48,96,35.92,24.95
20,Thomas Greiss,NYI,41,1826,931,869,62,0.933,2.04,7.89,72.01,281,246,35,0.875,1.15,11.74,266,254,12,0.955,0.39,8.42,342,329,13,0.962,0.43,-3.81,38,70,33.84,27.58
21,Karri Ramo,CGY,37,1761,859,789,70,0.919,2.39,-5.52,65.9,229,183,46,0.799,1.57,-7.91,205,188,17,0.917,0.58,-1.27,389,382,7,0.982,0.24,3.45,41,76,34.97,17.03
22,Anton Khudobin,ANA,9,287.96666666667,133,120,13,0.902,2.71,-3.02,11.66,47,40,7,0.851,1.46,0.82,31,26,5,0.839,1.04,-2.62,50,49,1,0.980,0.21,0.34,15,16,33.78,33.31
23,Pekka Rinne,NSH,66,3103.9666666667,1370,1261,109,0.920,2.11,-6.16,93.01,302,235,67,0.778,1.30,-16.77,337,314,23,0.932,0.44,2.86,661,642,19,0.971,0.37,-1.24,51,100,36.88,20.07
24,Carey Price,MTL,12,547.48333333333,279,262,17,0.939,1.86,3.94,19.33,55,48,7,0.873,0.77,2.15,79,73,6,0.924,0.66,0.06,127,123,4,0.969,0.44,-0.59,18,26,38.32,24.53
25,Tuukka Rask,BOS,64,2944.6666666667,1464,1356,108,0.926,2.20,1.90,104.59,346,282,64,0.815,1.30,-6.45,380,353,27,0.929,0.55,2.16,680,664,16,0.976,0.33,2.27,73,115,36.91,21.74
26,Ondrej Pavelec,WPG,33,1486.45,686,630,56,0.918,2.26,-4.50,53.8,201,162,39,0.806,1.57,-5.57,164,153,11,0.933,0.44,1.59,300,294,6,0.980,0.24,2.06,37,65,35.01,17.66
27,Jonathan Quick,L.A,68,3192.7,1368,1270,98,0.928,1.84,4.69,103.54,337,289,48,0.858,0.90,8.05,374,348,26,0.930,0.49,2.70,595,571,24,0.960,0.45,-8.01,63,124,35.82,27.02
28,Ben Bishop,T.B,61,2817.6166666667,1282,1192,90,0.930,1.92,6.23,88.65,322,269,53,0.835,1.13,0.56,338,315,23,0.932,0.49,2.94,578,565,13,0.978,0.28,2.53,54,98,37.23,24.69
29,Alex Stalock,S.J,13,520.88333333333,216,192,24,0.889,2.76,-7.79,14.89,58,45,13,0.776,1.50,-3.35,58,51,7,0.879,0.81,-2.55,92,89,3,0.967,0.35,-0.53,9,13,34.53,21.54
30,Niklas Backstrom,CGY,4,184.98333333333,82,73,9,0.890,2.92,-2.84,6.26,26,21,5,0.808,1.62,-0.68,18,15,3,0.833,0.97,-1.62,38,37,1,0.974,0.32,0.02,4,6,29.82,14.22
31,Chad Johnson,BUF,45,2062.9166666667,991,917,74,0.925,2.15,0.39,72.78,236,194,42,0.822,1.22,-2.75,236,215,21,0.911,0.61,-2.89,496,485,11,0.978,0.32,2.33,42,67,36.54,19.84
32,Steve Mason,PHI,54,2445.8333333333,1268,1186,82,0.935,2.01,13.18,92.48,315,263,52,0.835,1.28,0.39,324,304,20,0.938,0.49,4.87,572,562,10,0.983,0.25,5.37,56,136,36.12,19.88
33,Reto Berra,COL,14,567.08333333333,292,276,16,0.945,1.69,5.92,21.43,62,57,5,0.919,0.53,5.31,79,72,7,0.911,0.74,-0.94,133,129,4,0.970,0.42,-0.43,16,33,35.41,23.88
34,James Reimer,"S.J, TOR",40,1787.1333333333,887,834,53,0.940,1.78,13.58,58.47,184,162,22,0.880,0.74,8.60,254,237,17,0.933,0.57,2.49,425,411,14,0.967,0.47,-2.58,46,50,37.14,27.26
