id,player_name,team,gp,toi,sa,sv,ga,sv_pcg,gaa,gsaa,xga,hdsa,hdsv,hdga,hdsv_pcg,hdgaa,hdgsaa,mdsa,mdsv,mdga,mdsv_pcg,mdgaa,mdgsaa,ldsa,ldsv,ldga,ldsv_pcg,ldgaa,ldgsaa,rush_attempts_against,rebound_attempts_against,avg_shot_dist,avg_goal_dist
1,Roberto Luongo,FLA,43,162.85,104,93,11,0.894,4.05,2.68,14.39,26,22,4,0.846,1.47,1.35,36,30,6,0.833,2.21,-0.88,42,41,1,0.976,0.37,2.05,1,11,31.11,22.64
2,Craig Anderson,OTT,50,220.25,220,197,23,0.895,6.27,5.93,23.1,50,43,7,0.860,1.91,3.29,47,38,9,0.809,2.45,-2.31,121,114,7,0.942,1.91,1.79,1,19,35.20,26.83
3,Ryan Miller,ANA,20,112.48333333333,83,71,12,0.855,6.40,-1.08,10.5,29,21,8,0.724,4.27,-2.03,22,20,2,0.909,1.07,1.13,32,30,2,0.938,1.07,0.33,1,12,33.30,36.25
4,Henrik Lundqvist,NYR,52,266.25,248,207,41,0.835,9.24,-8.38,32.72,82,65,17,0.793,3.83,-0.12,83,69,14,0.831,3.15,-2.19,83,73,10,0.880,2.25,-3.97,1,28,31.40,34.37
5,Peter Budaj,L.A,3,7.3666666666667,9,7,2,0.778,16.29,-0.82,1.39,4,2,2,0.500,16.29,-1.18,2,2,0,1.000,0.00,0.28,3,3,0,1.000,0.00,0.22,0,1,28.00,14.50
6,Mike Smith,CGY,42,178.01666666667,126,105,21,0.833,7.08,-4.43,19.71,54,42,12,0.778,4.04,-0.88,37,30,7,0.811,2.36,-1.74,35,33,2,0.943,0.67,0.54,1,24,26.92,20.48
7,Mike McKenna,"OTT, PHI",11,36.766666666667,47,43,4,0.915,6.53,2.18,4.56,9,8,1,0.889,1.63,0.85,7,7,0,1.000,0.00,1.00,31,28,3,0.903,4.90,-0.75,0,4,35.60,24.75
8,Curtis McElhinney,CAR,33,139.91666666667,109,94,15,0.862,6.43,-0.66,14.15,43,33,10,0.767,4.29,-1.15,18,14,4,0.778,1.72,-1.44,43,43,0,1.000,0.00,3.12,0,16,35.71,27.40
9,Cam Ward,CHI,33,128.5,143,114,29,0.797,13.54,-10.19,15.99,42,29,13,0.690,6.07,-4.35,33,24,9,0.727,4.20,-4.31,68,61,7,0.897,3.27,-2.06,1,14,32.06,24.14
10,Marc-Andre Fleury,VGK,61,286.06666666667,250,222,28,0.888,5.87,4.88,30.21,75,58,17,0.773,3.57,-1.56,68,61,7,0.897,1.47,2.67,104,100,4,0.962,0.84,3.56,2,37,31.38,19.82
11,Corey Crawford,CHI,39,154.93333333333,162,145,17,0.895,6.58,4.31,21.52,50,43,7,0.860,2.71,3.29,47,43,4,0.915,1.55,2.69,65,59,6,0.908,2.32,-1.28,1,25,30.71,24.82
12,Jimmy Howard,DET,55,253.8,232,191,41,0.823,9.69,-10.49,32.36,78,61,17,0.782,4.02,-0.94,59,46,13,0.780,3.07,-4.61,93,82,11,0.882,2.60,-4.24,1,33,30.81,27.76
13,Jaroslav Halak,BOS,40,183.43333333333,167,141,26,0.844,8.50,-4.04,18.61,48,36,12,0.750,3.93,-2.12,46,41,5,0.891,1.64,1.54,71,63,8,0.887,2.62,-2.84,0,18,33.98,28.96
14,Brian Elliott,PHI,26,103.3,93,77,16,0.828,9.29,-3.77,12.65,32,22,10,0.688,5.81,-3.41,26,21,5,0.808,2.90,-1.30,33,32,1,0.970,0.58,1.40,0,14,31.59,28.69
15,Devan Dubnyk,MIN,67,297.56666666667,266,238,28,0.895,5.65,6.98,28.49,47,40,7,0.851,1.41,2.68,84,72,12,0.857,2.42,-0.05,133,124,9,0.932,1.81,0.66,4,23,36.98,35.61
16,Cory Schneider,N.J,26,119.65,83,74,9,0.892,4.51,1.92,11.29,19,16,3,0.842,1.50,0.91,30,26,4,0.867,2.01,0.27,34,32,2,0.941,1.00,0.47,3,8,31.94,26.44
17,Thomas Greiss,NYI,43,151.2,158,134,24,0.848,9.52,-3.22,20.98,61,47,14,0.770,5.56,-1.44,43,37,6,0.860,2.38,0.12,53,49,4,0.925,1.59,-0.15,1,31,29.94,22.29
18,Anton Khudobin,DAL,41,168.25,172,151,21,0.878,7.49,1.62,20.06,51,43,8,0.843,2.85,2.50,45,39,6,0.867,2.14,0.40,74,67,7,0.905,2.50,-1.62,0,18,32.84,24.14
19,Pekka Rinne,NSH,56,251.11666666667,200,172,28,0.860,6.69,-1.70,23.9,52,40,12,0.769,2.87,-1.29,65,53,12,0.815,2.87,-2.75,81,77,4,0.951,0.96,1.89,2,26,33.06,24.71
20,Carey Price,MTL,66,321.03333333333,263,237,26,0.901,4.86,8.59,31.81,77,67,10,0.870,1.87,5.85,73,61,12,0.836,2.24,-1.61,112,108,4,0.964,0.75,4.14,6,37,30.86,24.46
21,Tuukka Rask,BOS,46,190,156,136,20,0.872,6.32,0.52,17.72,37,28,9,0.757,2.84,-1.38,56,49,7,0.875,2.21,0.97,60,56,4,0.933,1.26,0.36,3,12,34.49,24.90
22,Jonathan Quick,L.A,46,173.5,144,121,23,0.840,7.95,-4.06,17.62,34,29,5,0.853,1.73,2.00,47,38,9,0.809,3.11,-2.31,62,53,9,0.855,3.11,-4.50,3,15,32.26,31.96
23,Ben Bishop,DAL,46,203.11666666667,151,137,14,0.907,4.14,5.86,19.25,37,33,4,0.892,1.18,3.62,52,46,6,0.885,1.77,1.40,60,56,4,0.933,1.18,0.36,1,14,31.46,23.43
24,Alex Stalock,MIN,21,84.683333333333,79,66,13,0.835,9.21,-2.61,9.27,20,14,6,0.700,4.25,-1.88,25,19,6,0.760,4.25,-2.44,34,33,1,0.971,0.71,1.47,1,7,32.59,20.08
25,Chad Johnson,"ANA, STL",19,75.5,66,58,8,0.879,6.36,0.68,7.6,19,17,2,0.895,1.59,1.91,21,16,5,0.762,3.97,-2.01,26,25,1,0.962,0.79,0.89,1,6,31.14,30.50
26,James Reimer,FLA,36,141.56666666667,101,86,15,0.851,6.36,-1.72,10.99,24,20,4,0.833,1.70,0.94,21,16,5,0.762,2.12,-2.01,55,49,6,0.891,2.54,-2.00,1,7,35.49,29.67
