id,player_name,team,position,age,dob,birth_city,birth_state,birth_country,nationality,height,weight,draft_year,draft_team,draft_round,draft_round_pick,total_draft_pick
1,Matt Cullen,PIT,C,43,1976-11-02,Virginia,-,USA,-,73,202,1996,ANA,2,9,35
2,Zdeno Chara,BOS,D,42,1977-03-18,Trencin,-,SVK,-,81,250,1996,NYI,3,4,56
3,Joe Thornton,S.J,C,40,1979-07-02,London,-,CAN,-,76,220,1997,BOS,1,1,1
4,Patrick Marleau,TOR,C,40,1979-09-15,Aneroid,-,CAN,-,74,215,1997,S.J,1,2,2
5,Derek MacKenzie,FLA,C,38,1981-06-11,Sudbury,-,CAN,-,71,177,1999,ATL,5,2,128
6,Ron Hainsey,TOR,D,38,1981-03-24,Bolton,-,USA,-,75,201,2000,MTL,1,13,13
7,Brooks Orpik,WSH,D,39,1980-09-26,San Francisco,-,USA,-,75,217,2000,PIT,1,18,18
8,Justin Williams,CAR,R,38,1981-10-04,Cobourg,-,CAN,-,73,184,2000,PHI,1,28,28
9,Niklas Kronwall,DET,D,38,1981-01-12,Stockholm,-,SWE,-,72,194,2000,DET,1,29,29
10,Matt Hendricks,"MIN, WPG",C,38,1981-06-17,Blaine,-,USA,-,72,211,2000,NSH,5,1,131
11,Deryk Engelland,VGK,D,37,1982-04-03,Edmonton,-,CAN,-,74,212,2000,N.J,6,27,194
12,Ilya Kovalchuk,L.A,L,36,1983-04-15,Tver,-,RUS,-,75,222,2001,ATL,1,1,1
13,Jason Spezza,DAL,C,36,1983-06-13,Toronto,-,CAN,-,75,216,2001,OTT,1,2,2
14,Mikko Koivu,MIN,C,36,1983-03-12,Turku,-,FIN,-,75,213,2001,MIN,1,6,6
15,Dan Hamhuis,NSH,D,36,1982-12-13,Smithers,-,CAN,-,73,204,2001,NSH,1,12,12
16,Chris Thorburn,STL,R,36,1983-06-03,Sault Ste. Marie,-,CAN,-,75,235,2001,BUF,2,20,50
17,Jason Pominville,BUF,R,37,1982-11-30,Repentigny,-,CAN,-,72,180,2001,BUF,2,25,55
18,Tomas Plekanec,MTL,C,37,1982-10-31,Kladno,-,CZE,-,71,190,2001,MTL,3,8,71
19,Valtteri Filppula,NYI,C,35,1984-03-20,Vantaa,-,FIN,-,72,189,2002,DET,3,32,95
20,Trevor Daley,DET,D,36,1983-10-09,Toronto,-,CAN,-,71,199,2002,DAL,2,13,43
21,Frans Nielsen,DET,C,35,1984-04-24,Herning,-,DNK,-,73,186,2002,NYI,3,24,87
22,Jay Bouwmeester,STL,D,36,1983-09-27,Edmonton,-,CAN,-,76,206,2002,FLA,1,3,3
23,Johnny Boychuk,NYI,D,35,1984-01-19,Edmonton,-,CAN,-,74,227,2002,COL,2,31,61
24,Alexander Steen,STL,L,35,1984-03-01,Winnipeg,-,CAN,-,72,211,2002,TOR,1,24,24
25,Duncan Keith,CHI,D,36,1983-07-16,Winnipeg,-,CAN,-,73,192,2002,CHI,2,24,54
26,Jonathan Ericsson,DET,D,35,1984-03-02,Karlskrona,-,SWE,-,76,218,2002,DET,9,31,291
27,Chris Kunitz,CHI,L,40,1979-09-26,Regina,-,CAN,-,72,188,-,-,-,-,-
28,Eric Staal,MIN,C,35,1984-10-29,Thunder Bay,-,CAN,-,76,206,2003,CAR,1,2,2
29,Thomas Vanek,DET,L,35,1984-01-19,Vienna,-,AUT,-,74,214,2003,BUF,1,5,5
30,Ryan Suter,MIN,D,34,1985-01-21,Madison,-,USA,-,74,206,2003,NSH,1,7,7
31,Braydon Coburn,T.B,D,34,1985-02-27,Shaunavon,-,CAN,-,77,223,2003,ATL,1,8,8
32,Dion Phaneuf,L.A,D,34,1985-04-10,Edmonton,-,CAN,-,75,222,2003,CGY,1,9,9
33,Jeff Carter,L.A,C,34,1985-01-01,London,-,CAN,-,75,219,2003,PHI,1,11,11
34,Dustin Brown,L.A,R,35,1984-11-04,Ithaca,-,USA,-,72,210,2003,L.A,1,13,13
35,Brent Seabrook,CHI,D,34,1985-04-20,Richmond,-,CAN,-,75,220,2003,CHI,1,14,14
36,Zach Parise,MIN,L,35,1984-07-28,Minneapolis,-,USA,-,71,195,2003,N.J,1,17,17
37,Eric Fehr,MIN,C,34,1985-09-07,Winkler,-,CAN,-,76,209,2003,WSH,1,18,18
38,Ryan Getzlaf,ANA,C,34,1985-05-10,Regina,-,CAN,-,76,228,2003,ANA,1,19,19
39,Brent Burns,S.J,D,34,1985-03-09,Barrie,-,CAN,-,77,230,2003,MIN,1,20,20
40,Ryan Kesler,ANA,C,35,1984-08-31,Livonia,-,USA,-,74,206,2003,VAN,1,23,23
