id,player_name,team,position,gp,toi,goals,assist,first_assist,second_assit,total_points,ipp,sf,sh_pcg,ixg,icf,iff,iscf,ihdcf,rush_attempts,rebounds_created,pim,total_penalties,minor,major,misconduct,penalties_drawn,giveaways,takeaways,hits,hits_taken,shots_blocked,faceoffs_won,faceoffs_lost,faceoffs_won_pcg
1,Jaromir Jagr,FLA,R,79,1090.0333333333,20,30,16,14,50,74.63,101,19.80,10.54,181,149,127,57,6,7,36,17,17,0,0,11,38,32,30,49,16,0,1,0.00
2,Patrik Elias,N.J,C,16,171.4,2,3,2,1,5,71.43,15,13.33,0.97,23,18,14,6,1,0,6,3,3,0,0,3,5,4,9,15,0,5,10,33.33
3,Eric Boulton,NYI,L,6,51.983333333333,0,0,0,0,0,0.00,3,0.00,0.4,5,3,3,1,0,0,0,0,0,0,0,0,2,1,13,3,0,0,0,-
4,Shane Doan,ARI,R,72,947.46666666667,14,13,9,4,27,65.85,108,12.96,9.31,190,153,108,58,4,13,28,14,14,0,0,7,21,23,86,64,13,64,56,53.33
5,Jarome Iginla,COL,R,82,1007.8333333333,8,18,12,6,26,74.29,104,7.69,8.72,192,135,98,46,8,16,20,10,10,0,0,12,15,21,64,60,41,47,42,52.81
6,Dainius Zubrus,S.J,C,50,522.56666666667,3,2,0,2,5,29.41,33,9.09,3.56,65,48,46,20,3,5,16,8,8,0,0,4,13,14,66,44,12,15,10,60.00
7,Matt Cullen,PIT,C,82,871.25,13,11,7,4,24,80.00,99,13.13,9.57,157,127,106,62,4,5,14,7,7,0,0,10,20,12,31,72,28,441,309,58.80
8,Zdeno Chara,BOS,D,80,1464.4833333333,6,16,8,8,22,36.67,112,5.36,3.44,231,155,44,3,2,11,53,24,23,1,0,15,74,19,103,107,84,0,0,-
9,Michal Rozsival,CHI,D,51,745.58333333333,0,9,6,3,9,30.00,33,0.00,1.17,80,46,12,2,2,5,14,7,7,0,0,3,22,6,78,133,55,0,0,-
10,Willie Mitchell,FLA,D,46,731.03333333333,1,4,0,4,5,18.52,31,3.23,1.04,74,48,10,2,0,2,14,7,7,0,0,6,13,5,60,70,44,0,0,-
