"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","ixG","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"406","Nikita Kucherov","T.B","R","82","1229.9833333333","24","45","26","19","69","84.15","167","14.37","12.51","336","239","175","43","9","15","34","16","16","0","0","19","62","50","38","85","27","0","0","-"
"165","Patrick Kane","CHI","R","81","1414.8666666667","26","40","25","15","66","78.57","216","12.04","15.97","375","287","200","68","11","19","16","8","8","0","0","20","44","36","19","80","17","0","3","0.00"
"692","Connor McDavid","EDM","C","78","1362.65","24","40","28","12","64","83.12","157","15.29","16.91","281","215","197","85","7","14","14","7","7","0","0","22","68","89","31","89","25","392","445","46.83"
"78","Sidney Crosby","PIT","C","79","1253.2666666667","19","42","31","11","61","74.39","157","12.10","17.68","254","210","177","101","6","22","22","10","10","0","0","13","47","45","82","78","37","744","620","54.55"
"238","John Tavares","TOR","C","82","1254.8333333333","33","27","16","11","60","72.29","200","16.50","22.12","350","279","250","122","12","24","30","14","14","0","0","17","57","49","51","107","49","617","556","52.60"
"371","Johnny Gaudreau","CGY","L","82","1265.65","23","37","24","13","60","82.19","185","12.43","16.09","319","251","176","79","9","17","10","5","5","0","0","32","96","55","11","55","11","0","2","0.00"
"614","Leon Draisaitl","EDM","C","82","1377.95","28","31","17","14","59","79.73","140","20.00","13.02","243","188","151","63","10","14","32","16","16","0","0","21","84","53","54","108","20","454","429","51.42"
"743","Artemi Panarin","CBJ","L","79","1264.5666666667","19","40","29","11","59","75.64","129","14.73","10.35","232","167","123","37","4","9","8","4","4","0","0","15","50","29","11","36","14","1","1","50.00"
"729","Mitchell Marner","TOR","C, R","82","1212.5666666667","16","42","36","6","58","73.42","155","10.32","12.48","309","213","198","52","11","18","14","7","7","0","0","15","55","59","26","83","36","1","3","25.00"
"537","Jake Guentzel","PIT","C, L","82","1280.65","31","26","13","13","57","73.08","182","17.03","16.78","294","232","199","95","7","19","18","9","9","0","0","17","35","40","100","151","44","6","10","37.50"
"583","Max Domi","MTL","C, L","82","1134.05","22","31","20","11","53","79.10","152","14.47","13.31","267","206","163","61","8","24","53","21","19","1","1","15","59","41","51","71","39","348","447","43.77"
"655","Brayden Point","T.B","C","79","1134.6333333333","19","33","25","8","52","72.22","130","14.62","16.3","213","171","168","94","9","17","18","9","9","0","0","14","21","31","27","84","38","348","332","51.18"
"119","Claude Giroux","PHI","C","82","1230.8","16","34","23","11","50","73.53","150","10.67","9.9","281","207","132","44","3","12","14","7","7","0","0","11","40","36","21","42","15","405","322","55.71"
"56","Alex Ovechkin","WSH","L","81","1229.8333333333","28","21","14","7","49","65.33","200","14.00","16.5","382","279","195","72","10","18","28","14","14","0","0","12","51","34","204","57","32","1","3","25.00"
"577","Sean Monahan","CGY","C","78","1139.75","20","29","21","8","49","75.38","141","14.18","14.06","247","183","161","76","9","14","8","4","4","0","0","14","50","65","34","49","23","349","326","51.70"
"107","Brad Marchand","BOS","L","79","1083.9","18","30","16","14","48","78.69","154","11.69","13.47","283","221","163","74","19","15","39","18","17","1","0","25","63","43","39","61","10","32","43","42.67"
"184","Steven Stamkos","T.B","C","82","1076.8","22","26","19","7","48","81.36","129","17.05","10.54","233","178","149","50","6","14","16","8","8","0","0","19","45","25","66","72","32","370","336","52.41"
"255","Tomas Tatar","MTL","L","80","1081.2833333333","20","28","18","10","48","80.00","144","13.89","13.27","255","199","157","72","14","18","26","13","13","0","0","8","35","46","74","75","29","9","28","24.32"
"573","Aleksander Barkov","FLA","C","82","1251.6833333333","18","30","21","9","48","68.57","146","12.33","13.26","225","195","130","60","7","12","6","3","3","0","0","29","46","75","22","118","49","722","593","54.90"
"68","David Krejci","BOS","C","81","1140.45","12","35","23","12","47","82.46","109","11.01","9.56","175","149","115","43","10","8","8","4","4","0","0","15","37","44","26","69","20","454","496","47.79"
"409","Jonathan Huberdeau","FLA","L","82","1152.8666666667","16","31","25","6","47","81.03","153","10.46","13.57","244","204","149","73","8","19","20","10","10","0","0","16","61","37","52","71","39","9","7","56.25"
"572","Nathan MacKinnon","COL","C","82","1363.6666666667","23","24","15","9","47","70.15","230","10.00","16.02","359","278","215","85","7","22","16","8","8","0","0","32","48","46","48","77","29","431","570","43.06"
"693","Jack Eichel","BUF","C","77","1161.7333333333","16","31","20","11","47","75.81","202","7.92","14.56","302","249","157","78","9","19","16","8","8","0","0","17","61","29","63","99","45","439","528","45.40"
"698","Timo Meier","S.J","R","78","1091.0333333333","22","25","16","9","47","75.81","202","10.89","19.84","370","284","244","112","16","30","37","16","15","1","0","23","34","41","91","97","37","4","10","28.57"
"777","Auston Matthews","TOR","C","68","1020.1333333333","23","24","15","9","47","85.45","175","13.14","17.96","321","253","224","86","12","19","12","6","6","0","0","11","54","48","25","92","52","455","413","52.42"
"240","Matt Duchene","CBJ, OTT","C","73","1095.3","22","23","15","8","45","72.58","132","16.67","13.28","204","167","143","69","7","13","0","0","0","0","0","12","51","45","28","97","37","538","433","55.41"
"330","Tyler Seguin","DAL","C","82","1280.9166666667","19","26","20","6","45","75.00","205","9.27","17.64","357","270","207","100","5","35","14","7","7","0","0","12","41","42","68","23","36","519","440","54.12"
"352","Mark Stone","OTT, VGK","R","77","1176.5833333333","22","23","14","9","45","64.29","139","15.83","13.84","246","199","162","76","9","17","18","9","9","0","0","16","46","102","59","61","63","21","26","44.68"
"461","Tomas Hertl","S.J","C","77","1035.5666666667","17","28","16","12","45","71.43","118","14.41","13.8","209","158","140","76","7","12","8","4","4","0","0","12","34","33","46","93","50","430","398","51.93"
"167","Evgenii Dadonov","FLA","R","82","1142.5833333333","16","28","13","15","44","69.84","138","11.59","13.93","243","189","147","71","11","15","6","3","3","0","0","15","43","43","29","112","39","2","0","100.00"
"219","Cam Atkinson","CBJ","R","80","1157.0666666667","25","19","9","10","44","64.71","197","12.69","17.41","341","287","193","86","12","20","10","5","5","0","0","7","41","34","23","25","21","22","49","30.99"
"328","Brett Connolly","WSH","R","81","992.63333333333","21","23","13","10","44","77.19","127","16.54","12.87","222","170","145","66","5","12","22","11","11","0","0","9","23","33","50","58","25","9","18","33.33"
"784","Alex DeBrincat","CHI","L, R","82","1117.8333333333","24","20","7","13","44","66.67","157","15.29","12.68","290","215","176","53","10","6","6","3","3","0","0","8","41","44","32","82","24","13","17","43.33"
"804","Pierre-Luc Dubois","CBJ","C","82","1187.9666666667","20","24","14","10","44","57.89","148","13.51","14.97","259","208","193","78","7","17","46","23","23","0","0","20","42","43","111","113","51","399","533","42.81"
