id,player_name,team,position,gp,toi,goals,assist,first_assist,second_assit,total_points,ipp,sf,sh_pcg,ixg,icf,iff,iscf,ihdcf,rush_attempts,rebounds_created,pim,total_penalties,minor,major,misconduct,penalties_drawn,giveaways,takeaways,hits,hits_taken,shots_blocked,faceoffs_won,faceoffs_lost,faceoffs_won_pcg
1,Jaromir Jagr,N.J,R,82,1.7,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-
2,Teemu Selanne,ANA,R,64,2.5166666666667,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
3,Ray Whitney,DAL,L,69,0.95,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
4,Sergei Gonchar,DAL,D,76,18.433333333333,0,0,0,0,0,-,0,-,0.06,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
5,Saku Koivu,ANA,C,65,100.8,1,3,3,0,4,100.00,8,12.50,0.59,8,8,5,3,0,2,2,1,1,0,0,2,1,5,1,2,5,43,53,44.79
6,Todd Bertuzzi,DET,R,59,0.78333333333333,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
7,Hal Gill,PHI,D,6,8.6333333333333,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
8,Kimmo Timonen,PHI,D,77,255.56666666667,0,1,0,1,1,33.33,12,0.00,0.3,15,13,4,0,0,0,2,1,1,0,0,1,9,1,21,8,29,0,0,-
9,Ed Jovanovski,FLA,D,37,70.316666666667,0,1,0,1,1,50.00,2,0.00,0.13,2,2,0,0,0,0,12,2,1,0,1,1,0,2,6,1,4,0,0,-
10,Ryan Smyth,EDM,L,72,117.8,0,0,0,0,0,-,5,0.00,0.36,6,6,3,0,0,0,4,2,2,0,0,3,2,11,3,1,4,1,5,16.67
11,Patrik Elias,N.J,C,65,115.85,1,4,3,1,5,100.00,2,50.00,0.15,7,5,2,0,1,0,2,1,1,0,0,0,2,7,0,2,1,13,28,31.71
12,Daniel Alfredsson,DET,R,68,11.8,0,0,0,0,0,-,0,-,0.05,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,-
13,Bryce Salvador,N.J,D,40,153.78333333333,0,0,0,0,0,0.00,0,-,0,0,0,0,0,0,0,0,0,0,0,0,1,4,4,9,4,20,0,0,-
14,Eric Boulton,NYI,L,23,0.81666666666667,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,5,1,0,1,0,8,0,0,0,0,0,0,0,-
15,Shane Doan,PHX,R,69,5.4833333333333,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.00
16,Radek Dvorak,CAR,R,60,56.183333333333,0,0,0,0,0,-,1,0.00,0.05,1,1,0,0,0,0,12,2,1,0,1,2,1,3,1,1,2,2,1,66.67
17,Jarome Iginla,BOS,R,78,30.816666666667,0,0,0,0,0,-,4,0.00,0.09,9,4,3,0,1,0,4,2,2,0,0,3,0,1,0,0,2,1,6,14.29
18,Michal Handzus,CHI,C,59,145.86666666667,1,1,1,0,2,66.67,5,20.00,0.44,5,5,2,1,1,0,4,2,2,0,0,1,4,5,3,2,24,52,67,43.70
19,Stephane Robidas,"ANA, DAL",D,38,82.566666666667,0,0,0,0,0,0.00,0,-,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,8,2,7,0,0,-
20,Chris Phillips,OTT,D,70,198.06666666667,0,0,0,0,0,0.00,3,0.00,0.08,3,3,0,0,0,0,0,0,0,0,0,1,10,3,27,5,18,0,0,-
21,Derek Morris,PHX,D,63,106.78333333333,0,0,0,0,0,0.00,4,0.00,0.02,5,4,0,0,0,1,2,1,1,0,0,2,5,3,9,0,9,0,0,-
22,Daniel Briere,MTL,C,69,1.1,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
23,Dainius Zubrus,N.J,C,82,175.66666666667,0,0,0,0,0,-,7,0.00,0.49,8,7,6,1,2,1,0,0,0,0,0,2,4,1,7,2,10,45,39,53.57
24,Cory Sarich,COL,D,54,89.283333333333,0,0,0,0,0,-,1,0.00,0,2,1,0,0,0,0,0,0,0,0,0,0,1,2,8,2,14,0,0,-
25,Matt Cullen,NSH,C,77,35.116666666667,0,0,0,0,0,-,1,0.00,0.08,1,1,1,0,0,0,0,0,0,0,0,1,1,2,1,0,0,14,16,46.67
26,Zdeno Chara,BOS,D,77,230.31666666667,0,1,0,1,1,50.00,4,0.00,0,5,5,0,0,0,0,4,2,2,0,0,6,9,2,22,7,29,0,0,-
27,Michal Rozsival,CHI,D,42,33.2,0,0,0,0,0,0.00,0,-,0,0,0,0,0,0,0,4,2,2,0,0,1,1,1,4,1,5,0,0,-
28,Craig Adams,PIT,R,82,236.56666666667,0,0,0,0,0,0.00,2,0.00,0.27,6,6,4,1,1,0,4,2,2,0,0,5,4,6,13,0,24,12,17,41.38
29,Willie Mitchell,L.A,D,76,209.86666666667,0,0,0,0,0,0.00,1,0.00,0,1,1,0,0,0,0,0,0,0,0,0,3,9,1,12,6,21,0,0,-
30,Sami Salo,T.B,D,71,144.66666666667,0,0,0,0,0,0.00,5,0.00,0.16,5,5,2,0,0,0,2,1,1,0,0,1,3,0,9,1,15,0,0,-
31,Francis Bouillon,MTL,D,52,25.316666666667,0,0,0,0,0,0.00,0,-,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,2,0,0,-
32,Matt Cooke,MIN,L,82,199.15,1,1,1,0,2,100.00,8,12.50,0.9,12,11,8,3,3,1,6,3,3,0,0,4,1,7,21,8,13,5,5,50.00
33,Joe Thornton,S.J,C,82,28.1,0,1,1,0,1,100.00,0,-,0,0,0,0,0,0,0,0,0,0,0,0,4,5,4,0,0,1,39,30,56.52
34,Patrick Marleau,S.J,"C, L",82,134.51666666667,2,0,0,0,2,66.67,8,25.00,0.87,10,9,9,5,2,0,0,0,0,0,0,0,2,6,1,3,6,25,38,39.68
35,Olli Jokinen,WPG,C,82,40.616666666667,0,0,0,0,0,-,2,0.00,0.21,2,2,2,1,2,0,2,1,1,0,0,0,1,0,1,0,4,23,29,44.23
36,Eric Brewer,T.B,D,77,175.83333333333,0,2,0,2,2,40.00,1,0.00,0.05,1,1,1,0,0,0,0,0,0,0,0,3,5,1,12,6,21,0,0,-
37,Marian Hossa,CHI,R,72,95.233333333333,3,1,1,0,4,80.00,8,37.50,1.16,14,12,11,7,0,0,2,1,1,0,0,0,4,11,1,0,3,1,1,50.00
38,Daniel Cleary,DET,R,52,80.35,0,1,1,0,1,50.00,3,0.00,0.26,3,3,2,2,1,0,2,1,1,0,0,1,1,4,3,4,3,1,1,50.00
39,Scott Hannan,S.J,D,56,102.36666666667,0,1,1,0,1,25.00,0,-,0,1,0,1,0,0,0,9,3,2,1,0,2,1,2,3,1,11,0,0,-
40,Brenden Morrow,STL,L,71,5.2666666666667,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,10,1,0,0,1,3,0,0,0,0,1,0,0,-
41,Henrik Tallinder,BUF,D,64,140.96666666667,0,0,0,0,0,0.00,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,2,3,15,0,0,-
42,Joe Corvo,OTT,D,25,0.96666666666667,0,0,0,0,0,-,1,0.00,0.02,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
43,Jason Chimera,WSH,L,82,143.83333333333,0,1,1,0,1,50.00,7,0.00,0.58,11,9,5,3,0,2,2,1,1,0,0,2,3,2,6,2,12,23,30,43.40
44,Brian Campbell,FLA,D,82,150.51666666667,0,2,2,0,2,50.00,1,0.00,0,2,1,0,0,0,0,2,1,1,0,0,2,5,4,8,2,10,0,0,-
45,Mike Mottau,FLA,D,8,10.383333333333,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,-
46,Andrew Ference,EDM,D,71,190.5,0,0,0,0,0,-,0,-,0,1,0,0,0,0,0,9,3,2,1,0,4,10,3,14,2,20,0,0,-
47,Martin St. Louis,"NYR, T.B",R,81,93.233333333333,1,1,1,0,2,100.00,9,11.11,0.88,13,13,10,5,0,0,0,0,0,0,0,2,0,5,3,3,8,2,8,20.00
48,Pascal Dupuis,PIT,R,39,74.933333333333,0,0,0,0,0,-,2,0.00,0.05,3,2,1,0,0,0,2,1,1,0,0,1,0,1,1,0,5,1,2,33.33
49,Dan Boyle,S.J,D,75,19.683333333333,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,-
50,Vincent Lecavalier,PHI,C,69,2.75,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,5,1,0,1,0,0,0,0,0,0,0,2,2,50.00
51,David Legwand,"DET, NSH",C,83,10.216666666667,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,5,7,41.67
