id,player_name,team,position,gp,toi,goals,assist,first_assist,second_assit,total_points,ipp,sf,sh_pcg,ixg,icf,iff,iscf,ihdcf,rush_attempts,rebounds_created,pim,total_penalties,minor,major,misconduct,penalties_drawn,giveaways,takeaways,hits,hits_taken,shots_blocked,faceoffs_won,faceoffs_lost,faceoffs_won_pcg
1,Jaromir Jagr,N.J,R,82,229.86666666667,5,10,6,4,15,55.56,33,15.15,4.49,57,43,38,12,0,2,2,1,1,0,0,1,10,1,0,8,0,0,0,-
2,Teemu Selanne,ANA,R,64,144.8,3,3,3,0,6,66.67,36,8.33,5.45,61,53,47,21,0,5,4,2,2,0,0,2,6,2,4,13,0,12,20,37.50
3,Ray Whitney,DAL,L,69,191.7,3,12,6,6,15,71.43,39,7.69,5.09,93,63,41,15,1,6,2,1,1,0,0,0,14,1,1,2,0,0,0,-
4,Sergei Gonchar,DAL,D,76,182.91666666667,1,12,4,8,13,72.22,22,4.55,1.19,43,28,7,0,0,4,4,2,2,0,0,3,8,1,3,4,1,0,0,-
5,Saku Koivu,ANA,C,65,39.333333333333,0,0,0,0,0,0.00,0,-,0.28,5,4,2,1,0,0,0,0,0,0,0,0,3,1,2,0,0,22,14,61.11
6,Todd Bertuzzi,DET,R,59,162.18333333333,6,1,1,0,7,41.18,33,18.18,5.16,40,39,38,31,0,5,8,4,4,0,0,0,7,1,4,3,0,0,1,0.00
7,Kimmo Timonen,PHI,D,77,250.6,1,16,12,4,17,51.52,43,2.33,3.53,98,69,19,1,3,11,6,3,3,0,0,0,2,2,7,2,8,0,0,-
8,Ed Jovanovski,FLA,D,37,58.866666666667,0,1,0,1,1,100.00,8,0.00,0.53,22,11,6,0,0,0,0,0,0,0,0,0,2,1,0,2,0,0,0,-
9,Ryan Smyth,EDM,L,72,176.7,4,2,1,1,6,35.29,22,18.18,4.37,32,30,30,25,0,2,6,3,3,0,0,1,5,2,1,10,0,17,12,58.62
10,Patrik Elias,N.J,C,65,152.91666666667,3,9,3,6,12,63.16,17,17.65,1.57,26,19,16,6,0,0,2,1,1,0,0,1,8,0,3,5,1,31,35,46.97
11,Daniel Alfredsson,DET,R,68,206.75,3,12,6,6,15,51.72,41,7.32,4.21,83,56,27,6,0,3,0,0,0,0,0,0,8,3,4,2,1,0,0,-
12,Bryce Salvador,N.J,D,40,2.4666666666667,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,4,2,2,0,0,1,0,0,0,0,0,0,0,-
13,Eric Boulton,NYI,L,23,0.71666666666667,0,0,0,0,0,-,2,0.00,0.19,2,2,1,0,0,1,9,3,2,1,0,0,0,0,0,0,0,0,0,-
