id,player_name,team,position,gp,toi,goals,assist,first_assist,second_assit,total_points,ipp,sf,sh_pcg,ixg,icf,iff,iscf,ihdcf,rush_attempts,rebounds_created,pim,total_penalties,minor,major,misconduct,penalties_drawn,giveaways,takeaways,hits,hits_taken,shots_blocked,faceoffs_won,faceoffs_lost,faceoffs_won_pcg
1,Zdeno Chara,BOS,D,25,4.0833333333333,0,0,0,0,0,0.00,0,-,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4.0833333333333,0,0,0,-
2,Joe Thornton,S.J,C,26,46.416666666667,0,1,1,0,1,33.33,5,0.00,0.38,12,7,9,1,0,2,0,0,0,0,0,0,3,1,0,46.416666666667,0,9,9,50.00
3,Patrick Marleau,S.J,C,22,34.783333333333,1,0,0,0,1,33.33,6,16.67,0.84,6,6,5,5,0,0,0,0,0,0,0,0,0,0,1,34.783333333333,0,3,2,60.00
4,Ron Hainsey,OTT,D,25,10.6,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10.6,0,0,0,-
5,Deryk Engelland,VGK,D,22,0.73333333333333,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.73333333333333,0,0,0,-
6,Ilya Kovalchuk,L.A,L,17,42.983333333333,1,1,1,0,2,100.00,14,7.14,1.28,17,16,9,2,0,2,2,1,1,0,0,0,2,0,0,42.983333333333,2,0,1,0.00
7,Jason Spezza,TOR,C,16,21.916666666667,0,2,2,0,2,100.00,6,0.00,0.39,8,7,2,1,0,2,0,0,0,0,0,0,1,1,0,21.916666666667,0,6,6,50.00
8,Mikko Koivu,MIN,C,25,69.1,1,4,3,1,5,50.00,12,8.33,1.09,13,12,7,6,0,3,0,0,0,0,0,0,2,0,2,69.1,0,40,26,60.61
9,Dan Hamhuis,NSH,D,22,0.38333333333333,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.38333333333333,0,0,0,-
10,Valtteri Filppula,DET,C,27,47.35,0,1,0,1,1,50.00,2,0.00,0.51,5,4,2,2,0,0,2,1,1,0,0,0,2,0,1,47.35,0,26,16,61.90
11,Trevor Daley,DET,D,11,1.05,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.05,0,0,0,-
12,Frans Nielsen,DET,C,23,10.766666666667,0,0,0,0,0,-,1,0.00,0.06,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,10.766666666667,0,1,4,20.00
13,Jay Bouwmeester,STL,D,26,1.5666666666667,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5666666666667,0,0,0,-
14,Johnny Boychuk,NYI,D,22,2.1166666666667,1,0,0,0,1,100.00,1,100.00,0.04,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2.1166666666667,0,0,0,-
15,Alexander Steen,STL,L,17,0.78333333333333,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.78333333333333,0,0,0,-
16,Duncan Keith,CHI,D,24,44.616666666667,0,2,1,1,2,40.00,5,0.00,0.34,12,7,1,0,0,2,0,0,0,0,0,0,1,1,0,44.616666666667,0,0,0,-
17,Jonathan Ericsson,DET,D,7,0.2,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,-
18,Eric Staal,MIN,C,25,67.933333333333,2,2,1,1,4,66.67,17,11.76,1.96,22,19,12,7,0,2,0,0,0,0,0,0,7,1,1,67.933333333333,0,27,35,43.55
19,Ryan Suter,MIN,D,25,75.35,1,7,3,4,8,88.89,9,11.11,0.56,19,11,7,0,0,1,2,1,1,0,0,0,0,0,0,75.35,3,0,0,-
20,Jeff Carter,L.A,C,25,63.116666666667,1,1,1,0,2,66.67,13,7.69,1.65,18,16,10,6,0,1,2,1,1,0,0,0,1,1,3,63.116666666667,0,26,19,57.78
21,Dustin Brown,L.A,L,25,80.333333333333,0,1,0,1,1,16.67,8,0.00,1.56,18,15,12,6,0,1,2,1,1,0,0,0,2,1,0,80.333333333333,0,0,0,-
22,Brent Seabrook,CHI,D,22,15,1,0,0,0,1,100.00,4,25.00,0.31,5,4,2,1,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,-
23,Zach Parise,MIN,L,25,72.216666666667,4,0,0,0,4,50.00,14,28.57,2.56,20,20,19,17,0,0,2,1,1,0,0,0,0,0,3,72.216666666667,0,3,1,75.00
24,Ryan Getzlaf,ANA,C,26,67.916666666667,2,1,0,1,3,50.00,15,13.33,1.22,28,20,8,3,1,0,4,2,2,0,0,0,4,0,2,67.916666666667,0,26,9,74.29
25,Brent Burns,S.J,D,26,78.916666666667,2,6,2,4,8,100.00,21,9.52,1.23,37,23,13,0,0,4,4,2,2,0,0,0,1,0,0,78.916666666667,0,0,0,-
26,Brian Boyle,FLA,C,17,7.5333333333333,0,0,0,0,0,-,0,-,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,7.5333333333333,0,1,2,33.33
27,Corey Perry,DAL,R,19,41.3,0,2,1,1,2,40.00,5,0.00,0.57,9,6,5,2,0,1,4,2,2,0,0,0,2,0,0,41.3,1,1,0,100.00
28,Loui Eriksson,VAN,L,14,0.31666666666667,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.31666666666667,0,0,0,-
29,Patrice Bergeron,BOS,C,21,72.8,3,6,3,3,9,56.25,23,13.04,2.74,38,32,28,5,0,2,0,0,0,0,0,0,2,1,0,72.8,0,48,38,55.81
30,Shea Weber,MTL,D,25,61.733333333333,2,1,0,1,3,100.00,13,15.38,1,31,18,9,2,0,3,4,2,2,0,0,0,2,1,1,61.733333333333,1,0,0,-
31,David Backes,BOS,R,8,1.8333333333333,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,1.8333333333333,0,0,1,0.00
32,Brad Richardson,ARI,R,19,2.45,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,2.45,0,2,2,50.00
33,Nate Thompson,MTL,C,25,1.95,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.95,0,2,2,50.00
34,Joe Pavelski,DAL,C,26,70.5,2,2,0,2,4,66.67,15,13.33,2.76,30,23,20,13,0,1,4,2,2,0,0,0,1,4,2,70.5,0,19,16,54.29
35,Mark Giordano,CGY,D,28,85.866666666667,1,3,1,2,4,40.00,21,4.76,1.44,41,30,9,2,0,4,2,1,1,0,0,0,2,2,2,85.866666666667,3,0,0,-
36,Alex Ovechkin,WSH,L,26,108.21666666667,7,0,0,0,7,50.00,31,22.58,2.91,66,48,20,3,0,2,2,1,1,0,0,0,3,3,1,108.21666666667,0,0,0,-
37,Evgeni Malkin,PIT,C,14,43.1,2,4,1,3,6,100.00,12,16.67,0.98,23,16,10,1,1,5,0,0,0,0,0,0,2,2,2,43.1,0,17,8,68.00
38,Blake Wheeler,WPG,R,25,77.116666666667,0,3,2,1,3,33.33,11,0.00,1.4,23,19,10,1,0,2,2,1,1,0,0,0,2,0,2,77.116666666667,2,6,6,50.00
39,Alexander Radulov,DAL,R,26,63.533333333333,3,1,1,0,4,66.67,19,15.79,2.14,29,19,19,11,1,6,2,1,1,0,0,0,3,0,4,63.533333333333,0,0,0,-
40,Travis Zajac,N.J,C,24,16.3,0,0,0,0,0,-,1,0.00,0.1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,16.3,1,10,6,62.50
