id,player_name,team,position,gp,toi,toi_per_gp,cf_60_rel,ca_60_rel,cf_pcg_rel,ff_60_rel,fa_60_rel,ff_pcg_rel,sf_60_rel,sa_60_rel,sf_pcg_rel,gf_60_rel,ga_60_rel,gf_pcg_rel,xgf_60_rel,xga_60_rel,xgf_pcg_rel,scf_60_rel,sca_60_rel,scf_pcg_rel,hdcf_60_rel,hdca_60_rel,hdcf_pcg_rel,hdgf_60_rel,hdga_60_rel,hdgf_pcg_rel,mdcf_60_rel,mdca_60_rel,mdcf_pcg_rel,mdgf_60_rel,mdga_60_rel,mdgf_pcg_rel,ldcf_60_rel,ldca_60_rel,ldcf_pcg_rel,ldgf_60_rel,ldga_60_rel,ldgf_pcg_rel,on_ice_sh_pcg,on_ice_sv_pcg,pdo,ozs_60,nzs_60,dzs_60,on_the_fly_starts_60,ozs_pcg,ozfo_60,nzfo_60,dzfo_60,ozfo_pcg
1,Jaromir Jagr,N.J,R,82,1248.35,15.223780487805,6.97,-5.98,7.07,5.88,-3.57,6.70,4.37,-2.94,7.17,0.99,-0.52,18.81,0.52,-0.14,8.03,5.62,-0.59,6.24,2.69,-0.69,8.83,0.36,-0.49,21.17,3.91,0.12,4.63,0.69,0.15,14.09,3.26,-6.11,8.31,0.09,-0.29,16.67,8.73,92.29,1.010,13.36,13.94,6.44,37.97,67.48,20.96,19.85,15.38,57.67
2,Teemu Selanne,ANA,R,64,736.55,11.50859375,1.28,-0.17,0.64,1.91,0.6,0.73,1.12,1.64,-0.55,-0.29,-0.44,2.85,0.25,-0.04,2.83,2.32,-0.05,2.07,0.53,0.33,0.27,-0.18,-0.33,3.75,2.39,-0.5,3.38,-0.26,-0.12,-4.17,-0.32,1.39,-1.17,0.13,-0.03,8.27,8.21,93.85,1.021,11.08,11.97,5.87,43.34,65.38,19.79,19.96,16.13,55.10
3,Ray Whitney,DAL,L,69,739.4,10.715942028986,-4.21,-4.32,0.07,-3.17,-2.53,-0.34,-2.77,-1.67,-0.91,-0.99,-0.38,-7.15,-0.28,-0.16,-1.17,-4.94,0.48,-5.08,-2.07,-0.19,-4.58,-0.69,-0.13,-9.79,-3.83,0.89,-5.45,-0.38,-0.1,-10.12,-0.19,-4.67,3.32,0.01,-0.37,17.74,6.05,92.82,0.989,11.77,12.01,6.49,49.26,64.44,20.37,19.48,15.5,56.79
4,Sergei Gonchar,DAL,D,76,1085.1,14.277631578947,-0.94,4.06,-2.19,-1.11,4.77,-3.47,-2.04,2.19,-3.56,-0.68,-0.05,-6.87,0,0.19,-2.04,-0.82,2.76,-3.29,-0.1,1.26,-3.01,-0.12,0.12,-4.32,-0.96,1.99,-3.45,-0.52,0.16,-22.97,-0.62,1.96,-1.81,-0.21,-0.38,3.46,6.95,92.65,0.996,10.28,12.39,6.69,45.56,60.59,21.4,19.85,15.92,57.33
5,Saku Koivu,ANA,C,65,784.65,12.071538461538,-6.68,4.97,-5.23,-5.57,3.84,-5.64,-4.63,2.93,-6.45,-0.89,0.47,-12.81,-0.59,0.29,-9.48,-7.05,2.66,-9.29,-3.07,0.79,-8.54,-0.63,0.45,-15.80,-5.31,2.49,-9.76,-0.04,-0.06,1.33,0.45,2.06,-1.04,-0.33,0.1,-19.78,9.07,92.04,1.011,10.71,17.97,12.46,41.9,46.20,20.03,24.7,24.24,45.25
6,Todd Bertuzzi,DET,R,59,676.35,11.463559322034,-3.63,0.36,-1.98,-3.28,1.49,-3.07,-3.35,0.79,-3.70,-0.14,1.27,-13.64,-0.08,0.22,-3.76,-1.27,3.24,-4.93,-0.74,0.67,-3.95,-0.15,0.84,-16.97,-0.71,3.43,-5.69,-0.04,0.31,-8.62,-1.46,-3.69,1.81,0.06,0.27,-9.56,8.16,88.86,0.970,13.93,15.17,9.31,44.8,59.92,20.49,20.67,17.74,53.60
7,Hal Gill,PHI,D,6,80.416666666667,13.402777777778,-6.71,-1.93,-2.57,-4.17,-5.9,1.04,-3.97,-6,1.61,0.69,-0.55,14.29,0.14,-0.27,5.96,1.4,0.22,1.45,0.78,0.66,0.21,0.25,1.18,-30.00,0.83,-0.58,2.15,0.58,-2.06,83.33,-6.57,-10.67,2.35,0,0.18,0.00,9.38,90.91,1.003,6.72,13.43,5.97,62.67,52.94,15.67,20.89,15.67,50.00
8,Kimmo Timonen,PHI,D,77,963.21666666667,12.509307359307,4.42,-9.72,6.39,5.4,-5.9,6.82,3.94,-3.43,6.11,-0.08,-0.18,1.04,0.16,-0.33,5.84,1.42,-3.84,5.56,0.12,-0.68,2.21,-0.1,-0.09,-0.35,1.72,-4.21,7.67,-0.36,-0.17,-4.69,3.98,-7.63,7.64,0.4,0,16.58,7.03,91.99,0.990,13.27,20.74,11.27,51.33,54.06,24.79,28.22,20.31,54.97
9,Ed Jovanovski,FLA,D,37,452.18333333333,12.221171171171,0.93,13.83,-5.89,-0.76,11.61,-7.09,-1.55,7.98,-7.39,0.5,0.47,1.47,-0.14,0.47,-6.46,-1.51,3.64,-5.00,0.67,1.6,-1.91,0.23,-0.11,6.65,-2.9,2.71,-6.90,0.08,0.32,-5.46,1.67,12.12,-7.17,0.37,0.49,-1.71,8.41,91.30,0.997,9.69,13.27,7.3,62.89,57.03,17.91,20.96,17.52,50.56
10,Ryan Smyth,EDM,L,72,782.46666666667,10.867592592593,0.77,-3.28,1.73,-0.49,-1.08,0.24,-1.31,-1.91,0.22,-0.69,-0.68,-3.01,-0.03,-0.15,1.10,1,-1.73,2.55,1.07,-0.94,4.88,-0.51,-0.84,5.38,-0.1,-1.04,0.97,-0.33,0.29,-17.96,0.22,-0.26,0.34,0.1,-0.08,9.20,5.88,92.79,0.987,8.36,15.34,14.65,45.93,36.33,13.73,20.24,24.77,35.66
11,Patrik Elias,N.J,C,65,812.61666666667,12.501794871795,0.82,-0.7,0.84,-0.73,-0.41,-0.19,-1.3,-0.09,-1.18,0.5,0.79,-2.05,-0.01,0.13,-2.01,0.12,1.29,-1.49,0.64,0.79,-1.07,0.41,0.28,3.25,-0.69,0.68,-1.93,0.13,0.3,-5.56,-0.26,-1.97,1.62,0.02,0.44,-8.92,9.17,88.27,0.974,11.59,14.99,6.72,46.44,63.31,19.86,23.63,14.77,57.36
