"","Player","Team","Position","Age","Date of Birth","Birth City","Birth State/Province","Birth Country","Nationality","Height (in)","Weight (lbs)","Draft Year","Draft Team","Draft Round","Round Pick","Overall Draft Position"
"1066","A.J. Greer","COL","L","24","1996-12-14","Joliette","QC","CAN","CAN","75","210","2015","COL","2","9","39"
"982","Aaron Ekblad","FLA","D","25","1996-02-07","Windsor","ON","CAN","CAN","76","215","2014","FLA","1","1","1"
"401","Aaron Ness","WSH","D","30","1990-05-18","Roseau","MN","USA","USA","70","184","2008","NYI","2","10","40"
"702","Adam Clendening","ARI, EDM, NYR, PIT","D","28","1992-10-26","Niagara Falls","NY","USA","USA","72","196","2011","CHI","2","6","36"
"207","Adam Cracknell","DAL, EDM, NYR, VAN","R","35","1985-07-15","Prince Albert","SK","CAN","CAN","74","209","2004","CGY","9","21","279"
"908","Adam Erne","T.B","L","25","1995-04-20","New Haven","CT","USA","USA","73","212","2013","T.B","2","3","33"
"1119","Adam Gaudette","VAN","C","24","1996-10-03","Braintree","MA","USA","USA","73","170","2015","VAN","5","28","149"
"413","Adam Henrique","ANA, N.J","C","31","1990-02-06","Brantford","ON","CAN","CAN","72","188","2008","N.J","3","21","82"
"723","Adam Larsson","EDM, N.J","D","28","1992-11-12","Skellefteå","","SWE","SWE","75","208","2011","N.J","1","4","4"
"676","Adam Lowry","WPG","C, L","27","1993-03-29","St. Louis","MO","USA","USA","77","210","2011","WPG","3","6","67"
"232","Adam McQuaid","BOS","D","34","1986-10-12","Charlottetown","PE","CAN","CAN","76","210","2005","CBJ","2","25","55"
"201","Adam Pardy","EDM, NSH, WPG","D","36","1984-03-29","Bonavista","NL","CAN","CAN","76","227","2004","CGY","6","10","173"
"813","Adam Pelech","NYI","D","26","1994-08-16","Toronto","ON","CAN","CAN","75","205","2012","NYI","3","4","65"
"1009","Adrian Kempe","L.A","L","24","1996-09-13","Kramfors","","SWE","SWE","74","201","2014","L.A","1","29","29"
"688","Alan Quine","NYI","C","28","1993-02-25","Belleville","ON","CAN","CAN","72","203","2013","NYI","6","15","166"
"365","Alec Martinez","L.A","D","33","1987-07-26","Rochester Hills","MI","USA","USA","73","209","2007","L.A","4","4","95"
"931","Aleksander Barkov","FLA","C","25","1995-09-02","Tampere","","FIN","FIN","75","215","2013","FLA","1","2","2"
"67","Ales Hemsky","DAL, MTL","R","37","1983-08-13","Pardubice","","CZE","CZE","72","177","2001","EDM","1","13","13"
"263","Alex Biega","VAN","D","32","1988-04-04","Montreal","QC","CAN","CAN","70","199","2006","BUF","5","24","147"
"643","Alex Broadhurst","CBJ","C","28","1993-03-07","New Lenox","IL","USA","USA","72","178","2011","CHI","7","18","199"
"457","Alex Chiasson","CGY, OTT, WSH","R","30","1990-10-01","Montreal","QC","CAN","CAN","76","208","2009","DAL","2","8","38"
"1138","Alex DeBrincat","CHI","R","23","1997-12-18","Farmington Hills","MI","USA","USA","67","165","2016","CHI","2","9","39"
"1175","Alex Formenton","OTT","L","21","1999-09-13","Barrie","ON","CAN","CAN","74","165","2017","OTT","2","16","47"
