id,player_name,team,position,age,dob,birth_city,birth_state,birth_country,nationality,height,weight,draft_year,draft_team,draft_round,draft_round_pick,total_draft_pick
1,Craig Anderson,OTT,G,40,1981-05-21,Park Ridge,-,USA,-,74,186,2001,CHI,3,10,73
2,Ryan Miller,ANA,G,41,1980-07-17,East Lansing,-,USA,-,75,170,1999,BUF,5,12,138
3,Henrik Lundqvist,NYR,G,39,1982-03-02,Are,-,SWE,-,73,182,2000,NYR,7,8,205
4,Mike Smith,EDM,G,39,1982-03-22,Kingston,-,CAN,-,76,220,2001,DAL,5,30,161
5,Curtis McElhinney,T.B,G,38,1983-05-23,London,-,CAN,-,74,210,2002,CGY,6,10,176
6,Marc-Andre Fleury,VGK,G,36,1984-11-28,Sorel,-,CAN,-,74,185,2003,PIT,1,1,1
7,Corey Crawford,CHI,G,36,1984-12-31,Montreal,-,CAN,-,74,216,2003,CHI,2,22,52
8,Jimmy Howard,DET,G,37,1984-03-26,Syracuse,-,USA,-,73,218,2003,DET,2,34,64
9,Jaroslav Halak,BOS,G,36,1985-05-13,Bratislava,-,SVK,-,71,185,2003,MTL,9,10,271
10,Brian Elliott,PHI,G,36,1985-04-09,Newmarket,-,CAN,-,74,209,2003,OTT,9,30,291
11,Devan Dubnyk,MIN,G,35,1986-05-04,Regina,-,CAN,-,78,224,2004,EDM,1,14,14
12,Cory Schneider,N.J,G,35,1986-03-18,Marblehead,-,USA,-,75,200,2004,VAN,1,26,26
13,Thomas Greiss,NYI,G,35,1986-01-29,Fussen,-,DEU,-,73,232,2004,S.J,3,29,94
14,Anton Khudobin,DAL,G,35,1986-05-07,Ust-Kamenogorsk,-,KAZ,-,71,195,2004,MIN,7,13,206
15,Pekka Rinne,NSH,G,38,1982-11-03,Kempele,-,FIN,-,77,217,2004,NSH,8,31,258
16,Carey Price,MTL,G,34,1987-08-16,Anahim Lake,-,CAN,-,75,220,2005,MTL,1,5,5
17,Tuukka Rask,BOS,G,34,1987-03-10,Savonlinna,-,FIN,-,75,176,2005,TOR,1,21,21
18,Jonathan Quick,L.A,G,35,1986-01-21,Milford,-,USA,-,73,216,2005,L.A,3,11,72
19,Ben Bishop,DAL,G,34,1986-11-21,Denver,-,USA,-,79,210,2005,STL,3,24,85
20,Alex Stalock,MIN,G,34,1987-07-28,St. Paul,-,USA,-,72,170,2005,S.J,4,21,112
21,James Reimer,CAR,G,33,1988-03-15,Morweena,-,CAN,-,74,220,2006,TOR,4,6,99
22,Jonathan Bernier,DET,G,33,1988-08-07,Laval,-,CAN,-,72,185,2006,L.A,1,11,11
23,Semyon Varlamov,NYI,G,33,1988-04-27,Samara,-,RUS,-,74,215,2006,WSH,1,23,23
24,Jacob Markstrom,VAN,G,31,1990-01-31,Gävle,-,SWE,-,78,206,2008,FLA,2,1,31
25,Jake Allen,STL,G,31,1990-08-07,Fredericton,-,CAN,-,74,190,2008,STL,2,4,34
26,Michael Hutchinson,"COL, TOR",G,31,1990-03-02,Barrie,-,CAN,-,75,198,2008,BOS,3,16,77
27,Braden Holtby,WSH,G,31,1989-09-16,Lloydminster,-,CAN,-,74,214,2008,WSH,4,2,93
28,Martin Jones,S.J,G,31,1990-01-10,North Vancouver,-,CAN,-,76,190,-,-,-,-,-
29,Mikko Koskinen,EDM,G,33,1988-07-18,Vantaa,-,FIN,-,78,202,2009,NYI,2,1,31
30,Anders Nilsson,OTT,G,31,1990-03-19,Lulea,-,SWE,-,78,232,2009,NYI,3,1,62
31,Robin Lehner,"CHI, VGK",G,30,1991-07-24,Gothenburg,-,SWE,-,76,250,2009,OTT,2,16,46
32,Darcy Kuemper,ARI,G,31,1990-05-05,Saskatoon,-,CAN,-,77,215,2009,MIN,6,10,161
33,Carter Hutton,BUF,G,35,1985-12-19,Thunder Bay,-,CAN,-,73,208,-,-,-,-,-
34,Cam Talbot,CGY,G,34,1987-07-05,Caledonia,-,CAN,-,76,193,-,-,-,-,-
35,Sergei Bobrovsky,FLA,G,32,1988-09-20,Novokuznetsk,-,RUS,-,74,182,-,-,-,-,-
36,Calvin Pickard,DET,G,29,1992-04-15,Moncton,-,CAN,-,73,210,2010,COL,2,19,49
37,Jack Campbell,"L.A, TOR",G,29,1992-01-09,Port Huron,-,USA,-,74,197,2010,DAL,1,11,11
38,Philipp Grubauer,COL,G,29,1991-11-25,Rosenheim,-,DEU,-,73,188,2010,WSH,4,22,112
39,Louis Domingue,"N.J, VAN",G,29,1992-03-06,St-Hyacinthe,-,CAN,-,75,208,2010,PHX,5,18,138
40,Petr Mrazek,CAR,G,29,1992-02-14,Ostrava,-,CZE,-,74,190,2010,DET,5,21,141
41,Frederik Andersen,TOR,G,31,1989-10-02,Herning,-,DNK,-,76,238,2012,ANA,3,26,87
42,Keith Kinkaid,MTL,G,32,1989-07-04,Farmingville,-,USA,-,75,186,-,-,-,-,-
43,Laurent Brossoit,WPG,G,28,1993-03-23,Port Alberni,-,CAN,-,75,204,2011,CGY,6,13,164
44,Anton Forsberg,CAR,G,28,1992-11-27,Härnösand,-,SWE,-,75,176,2011,CBJ,7,7,188
45,Garret Sparks,VGK,G,28,1993-06-28,Elmhurst,-,USA,-,74,201,2011,TOR,7,9,190
46,Jordan Binnington,STL,G,28,1993-07-11,Richmond Hill,-,CAN,-,73,174,2011,STL,3,27,88
47,John Gibson,ANA,G,28,1993-07-14,Pittsburgh,-,USA,-,75,207,2011,ANA,2,9,39
48,Oscar Dansk,VGK,G,27,1994-02-28,Stockholm,-,SWE,-,75,204,2012,CBJ,2,1,31
49,Malcolm Subban,"CHI, VGK",G,27,1993-12-21,Toronto,-,CAN,-,74,215,2012,BOS,1,24,24
50,Andrei Vasilevskiy,T.B,G,27,1994-07-25,Tyumen,-,RUS,-,75,225,2012,T.B,1,19,19
51,Matt Murray,PIT,G,27,1994-05-25,Thunder Bay,-,CAN,-,76,178,2012,PIT,3,22,83
52,Chris Driedger,FLA,G,27,1994-05-18,Winnipeg,-,CAN,-,76,208,2012,OTT,3,15,76
53,Joonas Korpisalo,CBJ,G,27,1994-04-28,Pori,-,FIN,-,75,192,2012,CBJ,3,1,62
54,Anthony Stolarz,ANA,G,27,1994-01-20,Edison,-,USA,-,78,230,2012,PHI,2,15,45
55,Connor Hellebuyck,WPG,G,28,1993-05-19,Commerce,-,USA,-,76,207,2012,WPG,5,9,130
56,Linus Ullmark,BUF,G,28,1993-07-31,Lugnvik,-,SWE,-,76,215,2012,BUF,6,12,163
57,Aaron Dell,S.J,G,32,1989-05-04,Airdrie,-,CAN,-,72,209,-,-,-,-,-
58,Antti Raanta,ARI,G,32,1989-05-12,Rauma,-,FIN,-,72,195,-,-,-,-,-
59,Antoine Bibeau,COL,G,27,1994-05-01,Victoriaville,-,CAN,-,75,205,2013,TOR,6,21,172
60,Cal Petersen,L.A,G,26,1994-10-19,Waterloo,-,USA,-,73,185,2013,BUF,5,8,129
61,Marcus Hogberg,OTT,G,26,1994-11-25,Orebro,-,SWE,-,77,222,2013,OTT,3,17,78
62,Juuse Saros,NSH,G,26,1995-04-19,Forssa,-,FIN,-,71,180,2013,NSH,4,8,99
63,Tristan Jarry,PIT,G,26,1995-04-29,Surrey,-,CAN,-,74,194,2013,PIT,2,14,44
64,Eric Comrie,DET,G,26,1995-07-06,Edmonton,-,CAN,-,73,175,2013,WPG,2,29,59
65,Thatcher Demko,VAN,G,25,1995-12-08,San Diego,-,USA,-,76,192,2014,VAN,2,6,36
66,Alex Nedeljkovic,CAR,G,25,1996-01-07,Parma,-,USA,-,72,189,2014,CAR,2,7,37
67,Jonas Johansson,BUF,G,25,1995-09-19,Gävle,-,SWE,-,77,220,2014,BUF,3,1,61
68,Elvis Merzlikins,CBJ,G,27,1994-04-13,Riga,-,LVA,-,75,185,2014,CBJ,3,16,76
69,Kaapo Kahkonen,MIN,G,25,1996-08-16,Helsinki,-,FIN,-,74,215,2014,MIN,4,19,109
70,Igor Shesterkin,NYR,G,25,1995-12-30,Moscow,-,RUS,-,73,182,2014,NYR,4,28,118
71,Mackenzie Blackwood,N.J,G,24,1996-12-09,Thunder Bay,-,CAN,-,76,225,2015,N.J,2,12,42
72,Sam Montembeault,FLA,G,24,1996-10-30,Bécancour,-,CAN,-,75,199,2015,FLA,3,16,77
73,Ilya Samsonov,WSH,G,24,1997-02-22,Magnitogorsk,-,RUS,-,75,200,2015,WSH,1,22,22
74,Adin Hill,ARI,G,25,1996-05-11,Comox,-,CAN,-,78,202,2015,ARI,3,15,76
75,David Ayres,CAR,G,-,-,-,-,-,-,-,-,-,-,-,-,-
