id,player_name,team,gp,toi,sa,sv,ga,sv_pcg,gaa,gsaa,xga,hdsa,hdsv,hdga,hdsv_pcg,hdgaa,hdgsaa,mdsa,mdsv,mdga,mdsv_pcg,mdgaa,mdgsaa,ldsa,ldsv,ldga,ldsv_pcg,ldgaa,ldgsaa,rush_attempts_against,rebound_attempts_against,avg_shot_dist,avg_goal_dist
1,Roberto Luongo,FLA,35,1596.7666666667,905,845,60,0.934,2.25,10.14,64.89,224,192,32,0.857,1.20,6.11,220,203,17,0.923,0.64,0.94,399,388,11,0.972,0.41,0.41,37,81,38.43,20.83
2,Craig Anderson,OTT,58,2586.8666666667,1395,1257,138,0.901,3.20,-29.88,100.6,349,275,74,0.788,1.72,-14.63,347,308,39,0.888,0.90,-10.70,606,581,25,0.959,0.58,-7.68,51,129,38.08,23.56
3,Ryan Miller,ANA,28,1066.4,532,501,31,0.942,1.74,10.23,40.99,131,114,17,0.870,0.96,5.28,141,131,10,0.929,0.56,1.50,230,226,4,0.983,0.23,2.57,19,43,37.04,24.00
4,Henrik Lundqvist,NYR,63,2818.1166666667,1636,1508,128,0.922,2.73,-1.20,121.4,424,361,63,0.851,1.34,9.13,411,361,50,0.878,1.06,-16.48,712,697,15,0.979,0.32,5.35,57,151,36.27,24.29
5,Peter Budaj,T.B,8,322.88333333333,158,144,14,0.911,2.60,-1.75,10.25,38,29,9,0.763,1.67,-2.54,44,40,4,0.909,0.74,-0.41,69,68,1,0.986,0.19,0.97,9,12,35.76,21.79
6,Mike Smith,CGY,55,2505.7333333333,1282,1188,94,0.927,2.25,5.36,95.92,311,261,50,0.839,1.20,2.90,349,329,20,0.943,0.48,8.46,552,530,22,0.960,0.53,-6.22,74,120,36.42,28.52
7,Mike McKenna,DAL,2,91.15,41,37,4,0.902,2.63,-0.82,3.17,11,7,4,0.636,2.63,-2.13,12,12,0,1.000,0.00,0.98,15,15,0,1.000,0.00,0.43,0,3,36.71,12.25
8,Kari Lehtonen,DAL,37,1559.15,716,669,47,0.934,1.81,8.49,50.44,145,125,20,0.862,0.77,4.67,191,172,19,0.901,0.73,-3.42,329,321,8,0.976,0.31,1.40,21,62,39.63,26.15
9,Curtis McElhinney,TOR,18,797.3,406,386,20,0.951,1.51,11.47,29.14,98,91,7,0.929,0.53,9.67,107,100,7,0.935,0.53,1.73,184,178,6,0.967,0.45,-0.74,11,21,37.00,25.70
10,Cam Ward,CAR,43,2038.6333333333,988,906,82,0.917,2.41,-5.43,74.2,257,214,43,0.833,1.27,0.72,227,204,23,0.899,0.68,-4.49,448,434,14,0.969,0.41,-1.19,44,95,38.01,24.96
11,Marc-Andre Fleury,VGK,46,2148.0333333333,1121,1045,76,0.932,2.12,10.88,80.86,281,234,47,0.833,1.31,0.80,311,293,18,0.942,0.50,7.36,461,451,10,0.978,0.28,3.18,65,93,36.82,21.12
12,Corey Crawford,CHI,28,1221.65,651,607,44,0.932,2.16,6.45,49.45,188,163,25,0.867,1.23,6.98,142,130,12,0.915,0.59,-0.42,298,291,7,0.977,0.34,1.52,30,58,34.03,22.05
13,Jimmy Howard,DET,60,2686.3333333333,1386,1277,109,0.921,2.43,-1.58,101.31,334,270,64,0.808,1.43,-7.18,396,365,31,0.922,0.69,1.30,578,564,14,0.976,0.31,2.52,63,125,37.69,23.62
14,Jaroslav Halak,NYI,54,2404.7166666667,1356,1252,104,0.923,2.59,1.09,102.26,412,348,64,0.845,1.60,6.09,393,372,21,0.947,0.52,11.05,502,483,19,0.962,0.47,-4.65,51,112,34.13,23.91
15,Brian Elliott,PHI,43,2004.45,949,884,65,0.932,1.95,8.55,73.47,225,189,36,0.840,1.08,2.28,247,230,17,0.931,0.51,3.15,431,420,11,0.974,0.33,1.32,49,106,36.55,22.94
16,Al Montoya,"EDM, MTL",13,553.15,272,252,20,0.926,2.17,1.08,21.54,69,58,11,0.841,1.19,0.74,84,77,7,0.917,0.76,-0.15,107,105,2,0.981,0.22,1.06,12,32,35.89,22.25
17,Devan Dubnyk,MIN,60,2811.3166666667,1408,1310,98,0.930,2.09,11.12,92.33,308,264,44,0.857,0.94,8.39,297,270,27,0.909,0.58,-2.78,724,697,27,0.963,0.58,-6.31,36,119,39.34,25.21
18,Cory Schneider,N.J,40,1805.15,933,854,79,0.915,2.63,-6.69,70.26,228,186,42,0.816,1.40,-3.21,268,245,23,0.914,0.76,-1.14,387,374,13,0.966,0.43,-1.94,35,74,37.81,25.66
19,Jeff Glass,CHI,15,665.13333333333,359,330,29,0.919,2.62,-1.18,29.74,113,98,15,0.867,1.35,4.22,99,89,10,0.899,0.90,-1.93,127,123,4,0.969,0.36,-0.37,26,31,33.87,21.86
20,Thomas Greiss,NYI,27,1244.2833333333,705,639,66,0.906,3.18,-11.36,54.34,184,140,44,0.761,2.12,-12.70,189,173,16,0.915,0.77,-0.59,303,297,6,0.980,0.29,2.66,26,64,35.68,20.18
21,Anton Khudobin,BOS,31,1396.1666666667,647,598,49,0.924,2.11,1.14,48.74,170,142,28,0.835,1.20,0.92,176,161,15,0.915,0.64,-0.65,262,256,6,0.977,0.26,1.49,31,55,36.85,22.35
22,Daniel Taylor,OTT,1,48.25,31,28,3,0.903,3.73,-0.60,2.08,6,5,1,0.833,1.24,0.02,15,13,2,0.867,2.49,-0.78,8,8,0,1.000,0.00,0.23,2,0,36.29,23.33
23,Pekka Rinne,NSH,59,2685.9,1369,1283,86,0.937,1.92,20.10,94.77,343,297,46,0.866,1.03,12.35,361,341,20,0.945,0.45,9.44,583,566,17,0.971,0.38,-0.34,68,104,37.07,26.28
24,Carey Price,MTL,49,2299.4166666667,1166,1065,101,0.913,2.64,-10.63,76.86,248,190,58,0.766,1.51,-15.81,284,260,24,0.915,0.63,-0.84,558,539,19,0.966,0.50,-3.05,55,87,39.46,20.63
25,Tuukka Rask,BOS,54,2547.9,1152,1063,89,0.923,2.10,0.28,82.91,301,253,48,0.841,1.13,3.20,297,274,23,0.923,0.54,1.22,476,459,17,0.964,0.40,-3.39,74,85,38.13,26.13
26,Ondrej Pavelec,NYR,19,732.15,408,375,33,0.919,2.70,-1.38,32.95,115,97,18,0.843,1.48,1.56,103,91,12,0.883,0.98,-3.60,167,165,2,0.988,0.16,2.77,17,41,35.62,23.94
27,Jonathan Quick,L.A,64,2934.2,1441,1338,103,0.929,2.11,8.68,114.15,375,314,61,0.837,1.25,2.79,347,325,22,0.937,0.45,6.30,626,608,18,0.971,0.37,-0.11,52,158,36.69,24.90
