id,player_name,team,gp,toi,sa,sv,ga,sv_pcg,gaa,gsaa,xga,hdsa,hdsv,hdga,hdsv_pcg,hdgaa,hdgsaa,mdsa,mdsv,mdga,mdsv_pcg,mdgaa,mdgsaa,ldsa,ldsv,ldga,ldsv_pcg,ldgaa,ldgsaa,rush_attempts_against,rebound_attempts_against,avg_shot_dist,avg_goal_dist
1,Martin Brodeur,N.J,39,200.45,153,136,17,0.889,5.09,1.05,20.66,50,42,8,0.840,2.39,2.48,41,34,7,0.829,2.10,-1.97,58,56,2,0.966,0.60,1.37,0,23,33.46,23.65
2,Nikolai Khabibulin,CHI,4,13.9,12,9,3,0.750,12.95,-1.58,2.09,5,4,1,0.800,4.32,0.05,1,1,0,1.000,0.00,0.12,6,4,2,0.667,8.63,-1.65,0,4,34.83,40.33
3,Tim Thomas,"DAL, FLA",48,200.38333333333,204,179,25,0.877,7.49,-0.93,24.11,67,48,19,0.716,5.69,-4.95,53,50,3,0.943,0.90,3.50,80,77,3,0.963,0.90,1.65,0,31,33.09,21.44
4,Evgeni Nabokov,NYI,40,184.33333333333,136,112,24,0.824,7.81,-7.95,17.76,46,34,12,0.739,3.91,-2.36,45,36,9,0.800,2.93,-3.48,42,39,3,0.929,0.98,-0.56,1,12,34.74,31.13
5,Jean-Sebastien Giguere,COL,22,110.11666666667,96,84,12,0.875,6.54,-0.67,12.64,35,27,8,0.771,4.36,-0.66,17,16,1,0.941,0.54,1.09,44,41,3,0.932,1.63,-0.44,1,11,30.49,18.67
6,Martin Biron,NYR,2,5.8666666666667,4,1,3,0.250,30.68,-2.53,0.45,1,0,1,0.000,10.23,-0.79,1,0,1,0.000,10.23,-0.88,2,1,1,0.500,10.23,-0.88,0,0,25.00,23.00
7,Roberto Luongo,"FLA, VAN",56,266.31666666667,218,191,27,0.876,6.08,-1.28,26,58,42,16,0.724,3.60,-3.84,60,53,7,0.883,1.58,0.36,98,94,4,0.959,0.90,1.70,1,27,34.57,20.78
8,Scott Clemmensen,FLA,17,71.783333333333,68,52,16,0.765,13.37,-7.98,7.17,18,12,6,0.667,5.02,-2.23,17,12,5,0.706,4.18,-2.91,32,27,5,0.844,4.18,-3.14,0,5,35.66,29.19
9,Jason LaBarbera,EDM,7,29.95,32,25,7,0.781,14.02,-3.22,3.43,6,5,1,0.833,2.00,0.26,6,3,3,0.500,6.01,-2.26,20,17,3,0.850,6.01,-1.84,0,1,36.41,31.00
10,Craig Anderson,OTT,53,283.16666666667,225,187,38,0.831,8.05,-11.45,24.82,54,34,20,0.630,4.24,-8.68,46,36,10,0.783,2.12,-4.36,122,114,8,0.934,1.70,-0.90,1,19,36.08,22.58
11,Ryan Miller,"BUF, STL",59,331.88333333333,301,269,32,0.894,5.79,3.52,36.79,89,74,15,0.831,2.71,3.66,79,71,8,0.899,1.45,1.69,131,122,9,0.931,1.63,-1.38,4,34,33.88,23.66
12,Ilya Bryzgalov,"EDM, MIN",32,158.35,133,115,18,0.865,6.82,-2.31,17.46,45,36,9,0.800,3.41,0.43,31,26,5,0.839,1.89,-1.20,57,53,4,0.930,1.52,-0.68,3,11,35.70,27.67
13,Dan Ellis,"DAL, FLA",20,87.466666666667,76,66,10,0.868,6.86,-1.03,10.12,24,19,5,0.792,3.43,0.03,18,15,3,0.833,2.06,-0.79,33,31,2,0.939,1.37,-0.08,0,14,33.58,19.50
14,Henrik Lundqvist,NYR,63,264.43333333333,226,202,24,0.894,5.45,2.67,26.89,67,54,13,0.806,2.95,1.05,52,51,1,0.981,0.23,5.38,105,95,10,0.905,2.27,-3.89,0,25,33.98,26.92
15,Peter Budaj,MTL,24,129.08333333333,91,81,10,0.890,4.65,0.74,11.16,23,17,6,0.739,2.79,-1.18,31,29,2,0.935,0.93,1.80,37,35,2,0.946,0.93,0.15,1,10,32.32,21.30
