id,player_name,team,gp,toi,sa,sv,ga,sv_pcg,gaa,gsaa,xga,hdsa,hdsv,hdga,hdsv_pcg,hdgaa,hdgsaa,mdsa,mdsv,mdga,mdsv_pcg,mdgaa,mdgsaa,ldsa,ldsv,ldga,ldsv_pcg,ldgaa,ldgsaa,rush_attempts_against,rebound_attempts_against,avg_shot_dist,avg_goal_dist
1,Craig Anderson,BUF,31,137.93333333333,29,27,2,0.931,0.87,0.41,3.24,10,8,2,0.800,0.87,0.07,4,4,0,1.000,0.00,0.37,7,7,0,1.000,0.00,0.18,3,4,56.14,11.00
2,Mike Smith,EDM,28,105.78333333333,18,15,3,0.833,1.70,-1.51,1.27,4,2,2,0.500,1.13,-1.17,5,4,1,0.800,0.57,-0.54,2,2,0,1.000,0.00,0.05,3,0,73.28,15.67
3,Marc-Andre Fleury,"CHI, MIN",56,275.58333333333,49,45,4,0.918,0.87,0.07,4.33,16,13,3,0.813,0.65,0.31,10,10,0,1.000,0.00,0.92,5,4,1,0.800,0.22,-0.87,13,1,69.73,27.00
4,Jaroslav Halak,VAN,17,52.066666666667,7,7,0,1.000,0.00,0.58,0.53,3,3,0,1.000,0.00,0.62,1,1,0,1.000,0.00,0.09,2,2,0,1.000,0.00,0.05,1,0,46.86,-
5,Brian Elliott,T.B,19,82.066666666667,12,11,1,0.917,0.73,0.00,1.13,5,4,1,0.800,0.73,0.03,1,1,0,1.000,0.00,0.09,1,1,0,1.000,0.00,0.03,3,0,73.25,12.00
6,Cory Schneider,NYI,1,4.35,0,0,0,-,0.00,0.00,0,0,0,0,-,0.00,0.00,0,0,0,-,0.00,0.00,0,0,0,-,0.00,0.00,0,0,-,-
7,Thomas Greiss,DET,31,109.51666666667,21,19,2,0.905,1.10,-0.26,1.77,6,5,1,0.833,0.55,0.24,4,3,1,0.750,0.55,-0.63,7,7,0,1.000,0.00,0.18,1,1,51.05,18.50
8,Anton Khudobin,DAL,9,32.183333333333,4,4,0,1.000,0.00,0.33,0.25,1,1,0,1.000,0.00,0.21,0,0,0,-,0.00,0.00,0,0,0,-,0.00,0.00,1,0,100.25,-
9,Carey Price,MTL,5,22.233333333333,2,1,1,0.500,2.70,-0.83,0.48,2,1,1,0.500,2.70,-0.59,0,0,0,-,0.00,0.00,0,0,0,-,0.00,0.00,0,1,7.00,9.00
10,Tuukka Rask,BOS,4,14.166666666667,4,3,1,0.750,4.24,-0.67,0.39,2,1,1,0.500,4.24,-0.59,0,0,0,-,0.00,0.00,1,1,0,1.000,0.00,0.03,1,0,52.50,11.00
11,Jonathan Quick,L.A,46,215.78333333333,39,35,4,0.897,1.11,-0.76,2.87,11,8,3,0.727,0.83,-0.73,8,8,0,1.000,0.00,0.74,5,4,1,0.800,0.28,-0.87,5,2,68.72,15.25
12,Alex Stalock,S.J,1,2.5666666666667,1,1,0,1.000,0.00,0.08,0.19,1,1,0,1.000,0.00,0.21,0,0,0,-,0.00,0.00,0,0,0,-,0.00,0.00,0,0,11.00,-
13,James Reimer,S.J,48,177.43333333333,30,26,4,0.867,1.35,-1.51,3.64,10,6,4,0.600,1.35,-1.93,10,10,0,1.000,0.00,0.92,5,5,0,1.000,0.00,0.13,7,0,41.53,14.75
14,Jonathan Bernier,N.J,10,39.85,11,10,1,0.909,1.51,-0.09,1.06,4,3,1,0.750,1.51,-0.17,3,3,0,1.000,0.00,0.28,1,1,0,1.000,0.00,0.03,1,0,61.18,13.00
15,Semyon Varlamov,NYI,31,130.66666666667,26,24,2,0.923,0.92,0.16,2.7,9,7,2,0.778,0.92,-0.14,5,5,0,1.000,0.00,0.46,3,3,0,1.000,0.00,0.08,3,3,67.73,7.50
16,Jacob Markstrom,CGY,63,289.55,58,57,1,0.983,0.21,3.81,3.91,10,9,1,0.900,0.21,1.07,7,7,0,1.000,0.00,0.64,15,15,0,1.000,0.00,0.40,17,1,84.88,6.00
17,Jake Allen,MTL,35,143.45,21,18,3,0.857,1.25,-1.26,1.66,8,6,2,0.750,0.84,-0.35,4,3,1,0.750,0.42,-0.63,1,1,0,1.000,0.00,0.03,5,1,71.62,14.33
18,Michael Hutchinson,TOR,2,5.0833333333333,1,1,0,1.000,0.00,0.08,0.18,1,1,0,1.000,0.00,0.21,0,0,0,-,0.00,0.00,0,0,0,-,0.00,0.00,1,0,23.00,-
19,Braden Holtby,DAL,24,106.9,27,26,1,0.963,0.56,1.24,1.88,7,6,1,0.857,0.56,0.45,6,6,0,1.000,0.00,0.55,3,3,0,1.000,0.00,0.08,6,1,72.67,8.00
20,Harri Sateri,ARI,6,24.016666666667,6,6,0,1.000,0.00,0.50,1.06,4,4,0,1.000,0.00,0.83,0,0,0,-,0.00,0.00,1,1,0,1.000,0.00,0.03,3,1,25.50,-
21,Dustin Tokarski,BUF,29,121.83333333333,27,25,2,0.926,0.98,0.24,2.39,9,8,1,0.889,0.49,0.86,7,7,0,1.000,0.00,0.64,4,3,1,0.750,0.49,-0.89,5,1,60.67,31.50
22,Martin Jones,PHI,35,163.16666666667,38,35,3,0.921,1.10,0.15,2.42,7,5,2,0.714,0.74,-0.55,11,10,1,0.909,0.37,0.01,7,7,0,1.000,0.00,0.18,6,0,68.03,14.67
23,Mikko Koskinen,EDM,45,205.51666666667,29,27,2,0.931,0.58,0.41,3.56,11,9,2,0.818,0.58,0.27,5,5,0,1.000,0.00,0.46,2,2,0,1.000,0.00,0.05,9,2,66.41,11.00
24,Robin Lehner,VGK,44,173.46666666667,35,33,2,0.943,0.69,0.91,3.24,9,7,2,0.778,0.69,-0.14,10,10,0,1.000,0.00,0.92,1,1,0,1.000,0.00,0.03,11,2,70.63,19.00
25,J-F Berube,CBJ,6,23,4,4,0,1.000,0.00,0.33,0.14,0,0,0,-,0.00,0.00,1,1,0,1.000,0.00,0.09,0,0,0,-,0.00,0.00,1,0,134.00,-
26,Darcy Kuemper,COL,57,284.5,44,43,1,0.977,0.21,2.65,4.04,10,9,1,0.900,0.21,1.07,9,9,0,1.000,0.00,0.83,3,3,0,1.000,0.00,0.08,8,4,89.45,8.00
27,Carter Hutton,ARI,3,13.533333333333,2,2,0,1.000,0.00,0.17,0.09,0,0,0,-,0.00,0.00,0,0,0,-,0.00,0.00,0,0,0,-,0.00,0.00,1,0,145.50,-
28,Cam Talbot,MIN,49,220.23333333333,49,47,2,0.959,0.54,2.07,3.08,11,10,1,0.909,0.27,1.27,10,9,1,0.900,0.27,-0.08,11,11,0,1.000,0.00,0.29,12,0,71.00,18.50
29,Sergei Bobrovsky,FLA,54,245.53333333333,46,41,5,0.891,1.22,-1.18,4.15,13,9,4,0.692,0.98,-1.31,6,5,1,0.833,0.24,-0.45,7,7,0,1.000,0.00,0.18,10,2,71.96,13.20
30,Calvin Pickard,DET,3,11.15,0,0,0,-,0.00,0.00,0,0,0,0,-,0.00,0.00,0,0,0,-,0.00,0.00,0,0,0,-,0.00,0.00,0,0,-,-
