id,player_name,team,position,age,dob,birth_city,birth_state,birth_country,nationality,height,weight,draft_year,draft_team,draft_round,draft_round_pick,total_draft_pick
1,Zdeno Chara,WSH,D,44,1977-03-18,Trencin,-,SVK,-,81,250,1996,NYI,3,4,56
2,Joe Thornton,TOR,C,42,1979-07-02,London,-,CAN,-,76,220,1997,BOS,1,1,1
3,Patrick Marleau,S.J,C,41,1979-09-15,Aneroid,-,CAN,-,74,215,1997,S.J,1,2,2
4,Jason Spezza,TOR,C,38,1983-06-13,Toronto,-,CAN,-,75,216,2001,OTT,1,2,2
5,Mikko Koivu,CBJ,C,38,1983-03-12,Turku,-,FIN,-,75,213,2001,MIN,1,6,6
6,Valtteri Filppula,DET,C,37,1984-03-20,Vantaa,-,FIN,-,72,189,2002,DET,3,32,95
7,Frans Nielsen,DET,C,37,1984-04-24,Herning,-,DNK,-,73,186,2002,NYI,3,24,87
8,Duncan Keith,CHI,D,37,1983-07-16,Winnipeg,-,CAN,-,73,192,2002,CHI,2,24,54
9,Eric Staal,"BUF, MTL",C,36,1984-10-29,Thunder Bay,-,CAN,-,76,195,2003,CAR,1,2,2
10,Ryan Suter,MIN,D,36,1985-01-21,Madison,-,USA,-,74,205,2003,NSH,1,7,7
11,Braydon Coburn,"NYI, OTT",D,36,1985-02-27,Shaunavon,-,CAN,-,77,224,2003,ATL,1,8,8
12,Jeff Carter,"L.A, PIT",C,36,1985-01-01,London,-,CAN,-,75,219,2003,PHI,1,11,11
13,Dustin Brown,L.A,R,36,1984-11-04,Ithaca,-,USA,-,72,210,2003,L.A,1,13,13
14,Zach Parise,MIN,L,36,1984-07-28,Minneapolis,-,USA,-,71,193,2003,N.J,1,17,17
15,Ryan Getzlaf,ANA,C,36,1985-05-10,Regina,-,CAN,-,76,228,2003,ANA,1,19,19
16,Brent Burns,S.J,D,36,1985-03-09,Barrie,-,CAN,-,77,230,2003,MIN,1,20,20
17,Corey Perry,MTL,R,36,1985-05-16,Peterborough,-,CAN,-,75,206,2003,ANA,1,28,28
18,Loui Eriksson,VAN,L,35,1985-07-17,Gothenburg,-,SWE,-,74,179,2003,DAL,2,3,33
19,Patrice Bergeron,BOS,C,35,1985-07-24,Ancienne-Lorette,-,CAN,-,73,195,2003,BOS,2,15,45
20,Shea Weber,MTL,D,35,1985-08-14,Sicamous,-,CAN,-,76,229,2003,NSH,2,19,49
21,David Backes,ANA,R,37,1984-05-01,Minneapolis,-,USA,-,75,215,2003,STL,2,32,62
22,Brad Richardson,NSH,R,36,1985-02-04,Belleville,-,CAN,-,72,190,2003,COL,5,27,163
23,Nate Thompson,WPG,C,36,1984-10-05,Anchorage,-,USA,-,72,205,2003,BOS,6,16,183
24,Joe Pavelski,DAL,C,37,1984-07-11,Plover,-,USA,-,71,195,2003,S.J,7,8,205
25,Mark Giordano,CGY,D,37,1983-10-03,Toronto,-,CAN,-,72,200,-,-,-,-,-
26,Alex Ovechkin,WSH,L,35,1985-09-17,Moscow,-,RUS,-,75,238,2004,WSH,1,1,1
27,Evgeni Malkin,PIT,C,34,1986-07-31,Magnitogorsk,-,RUS,-,75,195,2004,PIT,1,2,2
28,Blake Wheeler,WPG,R,34,1986-08-31,Plymouth,-,USA,-,77,225,2004,PHX,1,5,5
29,Alexander Radulov,DAL,R,35,1986-07-05,Nizhny Tagil,-,RUS,-,73,205,2004,NSH,1,15,15
30,Travis Zajac,"N.J, NYI",C,36,1985-05-13,Winnipeg,-,CAN,-,74,185,2004,N.J,1,20,20
31,Blake Comeau,DAL,L,35,1986-02-18,Meadow Lake,-,CAN,-,73,200,2004,NYI,2,17,47
32,Carl Soderberg,"CHI, COL",C,35,1985-10-12,Malmö,-,SWE,-,75,210,2004,STL,2,19,49
33,Alex Goligoski,ARI,D,35,1985-07-30,Grand Rapids,-,USA,-,71,185,2004,PIT,2,31,61
34,David Krejci,BOS,C,35,1986-04-28,Sternberk,-,CZE,-,72,188,2004,BOS,2,33,63
35,Andrej Sekera,DAL,D,35,1986-06-08,Bojnice,-,SVK,-,72,195,2004,BUF,3,6,71
36,Alexander Edler,VAN,D,35,1986-04-21,Ostersund,-,SWE,-,75,212,2004,VAN,3,26,91
37,Paul Stastny,WPG,C,35,1985-12-27,Quebec City,-,CAN,-,72,193,2005,COL,2,14,44
