id,player_name,team,position,age,dob,birth_city,birth_state,birth_country,nationality,height,weight,draft_year,draft_team,draft_round,draft_round_pick,total_draft_pick
1,Zdeno Chara,NYI,D,44,1977-03-18,Trencin,-,SVK,-,81,250,1996,NYI,3,4,56
2,Joe Thornton,FLA,C,42,1979-07-02,London,-,CAN,-,76,220,1997,BOS,1,1,1
3,Jason Spezza,TOR,C,38,1983-06-13,Toronto,-,CAN,-,75,219,2001,OTT,1,2,2
4,Duncan Keith,EDM,D,38,1983-07-16,Winnipeg,-,CAN,-,73,192,2002,CHI,2,24,54
5,Ryan Suter,DAL,D,37,1985-01-21,Madison,-,USA,-,73,200,2003,NSH,1,7,7
6,Jeff Carter,PIT,C,37,1985-01-01,London,-,CAN,-,75,219,2003,PHI,1,11,11
7,Dustin Brown,L.A,R,37,1984-11-04,Ithaca,-,USA,-,72,205,2003,L.A,1,13,13
8,Zach Parise,NYI,L,37,1984-07-28,Minneapolis,-,USA,-,71,193,2003,N.J,1,17,17
9,Ryan Getzlaf,ANA,C,36,1985-05-10,Regina,-,CAN,-,76,220,2003,ANA,1,19,19
10,Brent Burns,S.J,D,36,1985-03-09,Barrie,-,CAN,-,77,230,2003,MIN,1,20,20
11,Brian Boyle,PIT,C,37,1984-12-18,Hingham,-,USA,-,78,245,2003,L.A,1,26,26
12,Corey Perry,T.B,R,36,1985-05-16,Peterborough,-,CAN,-,75,206,2003,ANA,1,28,28
13,Loui Eriksson,ARI,L,36,1985-07-17,Gothenburg,-,SWE,-,74,179,2003,DAL,2,3,33
14,Patrice Bergeron,BOS,C,36,1985-07-24,Ancienne-Lorette,-,CAN,-,73,197,2003,BOS,2,15,45
15,Brad Richardson,CGY,R,36,1985-02-04,Belleville,-,CAN,-,72,190,2003,COL,5,27,163
16,Nate Thompson,PHI,C,37,1984-10-05,Anchorage,-,USA,-,73,205,2003,BOS,6,16,183
17,Joe Pavelski,DAL,C,37,1984-07-11,Plover,-,USA,-,71,195,2003,S.J,7,8,205
18,Mark Giordano,SEA,D,38,1983-10-03,Toronto,-,CAN,-,73,200,-,-,-,-,-
19,Alex Ovechkin,WSH,L,36,1985-09-17,Moscow,-,RUS,-,75,238,2004,WSH,1,1,1
20,Evgeni Malkin,PIT,C,35,1986-07-31,Magnitogorsk,-,RUS,-,75,195,2004,PIT,1,2,2
21,Andrew Ladd,ARI,L,36,1985-12-12,Maple Ridge,-,CAN,-,75,205,2004,CAR,1,4,4
22,Blake Wheeler,WPG,R,35,1986-08-31,Plymouth,-,USA,-,77,225,2004,PHX,1,5,5
23,Alexander Radulov,DAL,R,35,1986-07-05,Nizhny Tagil,-,RUS,-,73,200,2004,NSH,1,15,15
24,Blake Comeau,DAL,L,35,1986-02-18,Meadow Lake,-,CAN,-,73,200,2004,NYI,2,17,47
25,Alex Goligoski,MIN,D,36,1985-07-30,Grand Rapids,-,USA,-,71,173,2004,PIT,2,31,61
26,Andrej Sekera,DAL,D,35,1986-06-08,Bojnice,-,SVK,-,72,200,2004,BUF,3,6,71
27,Alexander Edler,L.A,D,35,1986-04-21,Ostersund,-,SWE,-,76,210,2004,VAN,3,26,91
28,Paul Stastny,WPG,C,36,1985-12-27,Quebec City,-,CAN,-,72,193,2005,COL,2,14,44
29,Sidney Crosby,PIT,C,34,1987-08-07,Cole Harbour,-,CAN,-,71,200,2005,PIT,1,1,1
30,Jack Johnson,COL,D,35,1987-01-13,Indianapolis,-,USA,-,73,227,2005,CAR,1,3,3
31,Anze Kopitar,L.A,C,34,1987-08-24,Jesenice,-,SVN,-,75,225,2005,L.A,1,11,11
32,Marc Staal,DET,D,35,1987-01-13,Thunder Bay,-,CAN,-,76,208,2005,NYR,1,12,12
33,T.J. Oshie,WSH,R,35,1986-12-23,Everett,-,USA,-,72,187,2005,STL,1,24,24
34,Andrew Cogliano,S.J,C,34,1987-06-14,Toronto,-,CAN,-,70,179,2005,EDM,1,25,25
35,James Neal,STL,L,34,1987-09-03,Whitby,-,CAN,-,75,212,2005,DAL,2,3,33
36,Marc-Edouard Vlasic,S.J,D,34,1987-03-30,Montreal,-,CAN,-,73,205,2005,S.J,2,5,35
37,Kris Letang,PIT,D,34,1987-04-24,Montreal,-,CAN,-,72,201,2005,PIT,3,1,62
38,Kris Russell,EDM,D,34,1987-05-02,Caroline,-,CAN,-,70,170,2005,CBJ,3,6,67
39,Keith Yandle,PHI,D,35,1986-09-09,Boston,-,USA,-,73,192,2005,PHX,4,14,105
40,Darren Helm,COL,C,35,1987-01-21,St. Andrews,-,CAN,-,72,192,2005,DET,5,7,132
41,Ryan Reaves,NYR,R,35,1987-01-20,Winnipeg,-,CAN,-,74,225,2005,STL,5,31,156
42,Anton Stralman,ARI,D,35,1986-08-01,Tibro,-,SWE,-,71,193,2005,TOR,7,22,216
43,Patric Hornqvist,FLA,R,35,1987-01-01,Sollentuna,-,SWE,-,71,189,2005,NSH,7,36,230
44,Andy Greene,NYI,D,39,1982-10-30,Trenton,-,USA,-,71,190,-,-,-,-,-
45,Alex Biega,TOR,D,33,1988-04-04,Montreal,-,CAN,-,70,195,2006,BUF,5,24,147
46,Brad Marchand,BOS,L,33,1988-05-11,Halifax,-,CAN,-,69,181,2006,BOS,3,8,71
47,Nick Foligno,BOS,L,34,1987-10-31,Buffalo,-,USA,-,72,210,2006,OTT,1,28,28
48,Erik Johnson,COL,D,33,1988-03-21,Bloomington,-,USA,-,76,225,2006,STL,1,1,1
49,Kyle Okposo,BUF,R,33,1988-04-16,St. Paul,-,USA,-,72,218,2006,NYI,1,7,7
50,Trevor Lewis,CGY,C,35,1987-01-08,Salt Lake City,-,USA,-,73,202,2006,L.A,1,17,17
51,Leo Komarov,NYI,R,35,1987-01-23,Narva,-,EST,-,71,205,2006,TOR,6,27,180
52,Milan Lucic,CGY,L,33,1988-06-07,Vancouver,-,CAN,-,75,231,2006,BOS,2,20,50
53,Cal Clutterbuck,NYI,R,34,1987-11-18,Welland,-,CAN,-,72,212,2006,MIN,3,9,72
54,Jeff Petry,MTL,D,34,1987-12-09,Ann Arbor,-,USA,-,75,209,2006,EDM,2,15,45
55,Claude Giroux,PHI,C,34,1988-01-12,Hearst,-,CAN,-,71,185,2006,PHI,1,22,22
56,Jordan Staal,CAR,C,33,1988-09-10,Thunder Bay,-,CAN,-,76,220,2006,PIT,1,2,2
57,Derick Brassard,PHI,C,34,1987-09-22,Hull,-,CAN,-,73,202,2006,CBJ,1,6,6
58,Phil Kessel,ARI,R,34,1987-10-02,Madison,-,USA,-,72,223,2006,BOS,1,5,5
59,Nicklas Backstrom,WSH,C,34,1987-11-23,Gävle,-,SWE,-,73,202,2006,WSH,1,4,4
60,Jonathan Toews,CHI,C,33,1988-04-29,Winnipeg,-,CAN,-,74,201,2006,CHI,1,3,3
61,Mathieu Perreault,MTL,C,34,1988-01-05,Drummondville,-,CAN,-,70,189,2006,WSH,6,24,177
62,Alex Killorn,T.B,L,32,1989-09-14,Halifax,-,CAN,-,73,199,2007,T.B,3,16,77
63,Jamie Benn,DAL,L,32,1989-07-18,Victoria,-,CAN,-,74,210,2007,DAL,5,8,129
64,Nick Bonino,S.J,C,33,1988-04-20,Hartford,-,USA,-,73,195,2007,S.J,6,22,173
65,Ian Cole,CAR,D,32,1989-02-21,Ann Arbor,-,USA,-,73,225,2007,STL,1,18,18
66,Justin Braun,PHI,D,34,1987-02-10,Minneapolis,-,USA,-,74,205,2007,S.J,7,20,201
67,Kevin Shattenkirk,ANA,D,33,1989-01-29,New Rochelle,-,USA,-,72,212,2007,COL,1,14,14
68,Pat Maroon,T.B,L,33,1988-04-23,St. Louis,-,USA,-,75,238,2007,PHI,6,10,161
