id,player_name,team,position,gp,toi,goals,assist,first_assist,second_assist,total_points,ipp,sf,sh_pcg,ixg,icf,iff,iscf,ihdcf,rush_attempts,rebounds_created,pim,total_penalties,minor,major,misconduct,penalties_drawn,giveaways,takeaways,hits,hits_taken,shots_blocked,faceoffs_won,faceoffs_lost,faceoffs_won_pcg
1,Zdeno Chara,WSH,D,55,810.26666666667,2,8,4,4,10,28.57,63,3.17,1.84,139,89,33,0,2,7,35,11,9,1,1,3,24,9,79,29,45,0,0,-
2,Joe Thornton,TOR,C,44,508.73333333333,4,9,4,5,13,52.00,31,12.90,2.29,47,41,33,13,3,2,12,6,6,0,0,4,27,11,31,26,10,22,18,55.00
3,Patrick Marleau,S.J,C,56,624.63333333333,2,3,1,2,5,29.41,47,4.26,5.33,80,68,57,33,5,7,4,2,2,0,0,2,7,22,37,34,18,126,144,46.67
4,Jason Spezza,TOR,C,54,463.53333333333,8,16,11,5,24,100.00,60,13.33,6,104,84,54,28,4,8,2,1,1,0,0,5,25,15,24,40,9,168,123,57.73
5,Mikko Koivu,CBJ,C,7,77.15,1,1,1,0,2,50.00,3,33.33,0.14,7,4,5,0,0,0,2,1,1,0,0,0,2,2,10,2,1,29,33,46.77
6,Valtteri Filppula,DET,C,38,495.33333333333,6,6,2,4,12,57.14,20,30.00,2.73,32,27,25,15,2,2,12,6,6,0,0,4,6,6,8,16,15,86,109,44.10
7,Frans Nielsen,DET,C,29,294.66666666667,1,5,3,2,6,66.67,23,4.35,2.44,34,32,19,10,1,4,0,0,0,0,0,2,4,5,23,22,8,18,18,50.00
8,Duncan Keith,CHI,D,54,929.58333333333,3,5,3,2,8,21.62,77,3.90,2.69,155,98,31,4,1,11,26,12,12,0,0,0,50,23,30,61,73,0,0,-
9,Eric Staal,"BUF, MTL",C,53,680.26666666667,3,6,2,4,9,90.00,66,4.55,6.54,126,93,72,32,3,9,8,4,4,0,0,2,23,16,21,34,14,235,238,49.68
10,Ryan Suter,MIN,D,56,949.98333333333,2,8,4,4,10,20.41,58,3.45,1.97,145,87,39,4,1,9,8,4,4,0,0,3,12,7,34,26,52,0,0,-
11,Braydon Coburn,"NYI, OTT",D,19,250.08333333333,0,1,1,0,1,11.11,16,0.00,0.55,36,25,5,2,0,3,10,5,5,0,0,1,12,2,24,20,17,0,0,-
12,Jeff Carter,"L.A, PIT",C,54,673.33333333333,15,8,4,4,23,69.70,122,12.30,9.65,177,150,100,48,11,16,10,5,5,0,0,1,15,19,33,36,18,117,120,49.37
13,Dustin Brown,L.A,R,49,670.45,6,12,8,4,18,69.23,94,6.38,6.34,158,122,73,29,3,6,10,5,5,0,0,12,24,10,75,51,10,1,2,33.33
14,Zach Parise,MIN,L,45,515.43333333333,7,8,4,4,15,51.72,70,10.00,6.48,96,89,64,40,3,6,4,2,2,0,0,8,11,10,18,31,17,16,21,43.24
15,Ryan Getzlaf,ANA,C,48,646.2,2,11,5,6,13,59.09,53,3.77,4.72,99,71,50,21,3,5,27,9,6,3,0,4,36,19,61,23,40,279,257,52.05
16,Brent Burns,S.J,D,56,1067.7166666667,5,12,9,3,17,37.78,89,5.62,4.51,201,131,57,12,3,23,28,14,14,0,0,3,35,30,24,27,65,0,0,-
17,Corey Perry,MTL,R,49,548.96666666667,6,5,4,1,11,73.33,46,13.04,4.26,81,62,48,22,3,4,28,7,4,2,1,10,14,12,55,41,14,0,6,0.00
18,Loui Eriksson,VAN,L,7,57.433333333333,0,0,0,0,0,-,5,0.00,0.26,6,5,3,0,0,0,0,0,0,0,0,1,0,3,1,5,0,1,0,100.00
19,Patrice Bergeron,BOS,C,54,653.21666666667,12,15,7,8,27,58.70,114,10.53,9.22,182,158,107,44,9,5,10,5,5,0,0,3,7,29,45,27,22,448,289,60.79
