id,player_name,team,position,gp,toi,goals,assist,first_assist,second_assit,total_points,ipp,sf,sh_pcg,ixg,icf,iff,iscf,ihdcf,rush_attempts,rebounds_created,pim,total_penalties,minor,major,misconduct,penalties_drawn,giveaways,takeaways,hits,hits_taken,shots_blocked,faceoffs_won,faceoffs_lost,faceoffs_won_pcg
1,Jaromir Jagr,FLA,R,79,0.46666666666667,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
2,Patrik Elias,N.J,C,16,11,0,0,0,0,0,-,0,-,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,2,33.33
3,Eric Boulton,NYI,L,6,2,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-
4,Shane Doan,ARI,R,72,48.983333333333,0,0,0,0,0,-,2,0.00,0.13,3,3,2,0,1,0,0,0,0,0,0,2,0,6,5,1,1,2,2,50.00
5,Jarome Iginla,COL,R,82,3.35,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,-
6,Dainius Zubrus,S.J,C,50,48.8,0,0,0,0,0,0.00,0,-,0,0,0,0,0,0,0,2,1,1,0,0,0,2,1,2,0,3,0,1,0.00
7,Matt Cullen,PIT,C,82,200.36666666667,3,2,2,0,5,100.00,14,21.43,0.89,17,15,10,3,2,0,6,3,3,0,0,4,0,4,6,3,8,96,122,44.04
8,Zdeno Chara,BOS,D,80,252.2,0,2,1,1,2,33.33,3,0.00,0.13,4,4,1,0,0,0,2,1,1,0,0,6,6,4,26,3,27,0,0,-
9,Michal Rozsival,CHI,D,51,30.4,0,1,0,1,1,50.00,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,1,7,0,0,-
10,Willie Mitchell,FLA,D,46,136,0,0,0,0,0,-,2,0.00,0.16,2,2,2,0,0,0,4,2,2,0,0,0,4,0,7,3,21,0,0,-
11,Joe Thornton,S.J,C,82,3.5833333333333,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,2,1,1,0,0,2,0,0,0,0,0,1,0,100.00
12,Patrick Marleau,S.J,"C, L",82,102.93333333333,1,0,0,0,1,100.00,6,16.67,0.51,7,7,3,2,0,0,2,1,1,0,0,0,1,6,1,0,1,25,23,52.08
13,Marian Hossa,CHI,R,64,97.383333333333,3,1,1,0,4,80.00,15,20.00,1.68,21,18,17,7,3,0,0,0,0,0,0,4,3,5,0,1,6,0,0,-
14,Jason Chimera,WSH,L,82,80.7,2,0,0,0,2,100.00,6,33.33,0.84,12,8,5,3,1,1,2,1,1,0,0,3,2,2,1,4,1,4,10,28.57
15,Brian Campbell,FLA,D,82,125.85,1,0,0,0,1,100.00,1,100.00,0.03,2,1,1,0,0,0,0,0,0,0,0,0,7,3,3,5,6,0,0,-
16,Andrew Ference,EDM,D,6,6.5,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,-
17,Pascal Dupuis,PIT,R,18,40.716666666667,0,0,0,0,0,-,1,0.00,0.04,1,1,0,0,0,0,0,0,0,0,0,0,1,2,0,1,3,2,1,66.67
18,Dan Boyle,NYR,D,74,50.433333333333,0,0,0,0,0,-,0,-,0.04,2,1,1,0,0,0,0,0,0,0,0,1,0,0,2,1,9,0,0,-
19,Vincent Lecavalier,"L.A, PHI",C,49,22.6,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,22,11,66.67
20,David Legwand,BUF,C,79,178.51666666667,1,1,1,0,2,66.67,12,8.33,0.88,16,15,6,4,4,1,2,1,1,0,0,1,2,5,4,1,6,25,32,43.86
21,Brad Stuart,COL,D,6,5.1166666666667,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,-
22,Alex Tanguay,"ARI, COL",L,70,36.85,0,1,0,1,1,100.00,0,-,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,2,1,0,100.00
23,Scott Gomez,"OTT, STL",C,34,1.1,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
24,Mike Fisher,NSH,C,70,117.35,0,1,1,0,1,100.00,5,0.00,0.26,6,6,3,0,0,0,0,0,0,0,0,3,0,5,3,0,12,52,54,49.06
25,Mike Ribeiro,NSH,C,81,2.8666666666667,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,10,1,0,0,1,0,0,0,0,0,0,0,2,0.00
26,Brad Richards,DET,C,68,0.65,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
27,Francois Beauchemin,COL,D,82,280.71666666667,0,2,1,1,2,50.00,5,0.00,0.12,10,8,1,0,0,0,4,2,2,0,0,1,6,4,10,4,57,0,0,-
28,Brian Gionta,BUF,R,79,111.76666666667,0,0,0,0,0,0.00,11,0.00,0.55,13,13,4,2,3,0,2,1,1,0,0,1,0,3,0,1,5,8,9,47.06
29,Shawn Horcoff,ANA,C,59,93.7,1,1,1,0,2,66.67,2,50.00,0.59,6,5,6,4,0,1,4,2,2,0,0,0,0,2,3,1,6,33,36,47.83
30,Rob Scuderi,"CHI, L.A, PIT",D,63,105.96666666667,0,0,0,0,0,0.00,0,-,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,1,1,8,0,1,0.00
31,Chris Neil,OTT,R,80,0.71666666666667,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,17,3,1,1,1,8,0,0,1,0,0,0,0,-
32,Andrei Markov,MTL,D,82,184.9,0,0,0,0,0,0.00,4,0.00,0.13,5,4,1,0,1,0,0,0,0,0,0,2,9,6,9,1,14,0,0,-
33,Pavel Datsyuk,DET,C,66,2.7666666666667,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3,25.00
