id,player_name,team,position,gp,toi,goals,assist,first_assist,second_assist,total_points,ipp,sf,sh_pcg,ixg,icf,iff,iscf,ihdcf,rush_attempts,rebounds_created,pim,total_penalties,minor,major,misconduct,penalties_drawn,giveaways,takeaways,hits,hits_taken,shots_blocked,faceoffs_won,faceoffs_lost,faceoffs_won_pcg
1,Zdeno Chara,NYI,D,72,118.91666666667,0,0,0,0,0,0.00,2,0.00,0.22,5,5,2,0,0,0,0,0,0,0,0,0,1,2,6,1,8,0,0,-
2,Joe Thornton,FLA,C,34,0.5,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
3,Jason Spezza,TOR,C,71,9.45,0,0,0,0,0,-,0,-,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,13,21,38.24
4,Duncan Keith,EDM,D,64,105.28333333333,0,0,0,0,0,0.00,4,0.00,0.01,4,4,0,0,0,0,0,0,0,0,0,0,4,5,4,1,11,0,0,-
5,Ryan Suter,DAL,D,82,129.68333333333,0,0,0,0,0,0.00,2,0.00,0.2,4,4,2,0,1,0,6,3,3,0,0,0,4,1,3,0,10,0,0,-
6,Jeff Carter,PIT,C,76,107,1,0,0,0,1,100.00,13,7.69,0.85,16,15,5,4,5,0,4,2,2,0,0,3,1,7,5,0,8,49,60,44.95
7,Dustin Brown,L.A,R,64,1.4,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
8,Zach Parise,NYI,L,82,122.35,2,0,0,0,2,100.00,11,18.18,1.16,14,13,8,4,2,0,0,0,0,0,0,2,1,1,2,0,9,3,1,75.00
9,Ryan Getzlaf,ANA,C,56,31.966666666667,0,0,0,0,0,0.00,0,-,0,0,0,0,0,0,0,4,2,2,0,0,0,0,1,2,0,1,39,39,50.00
10,Brent Burns,S.J,D,82,219.66666666667,0,1,0,1,1,33.33,10,0.00,0.03,10,10,0,0,1,0,2,1,1,0,0,1,8,7,8,4,19,0,0,-
11,Brian Boyle,PIT,C,66,118.38333333333,1,0,0,0,1,100.00,5,20.00,0.25,5,5,2,1,0,0,2,1,1,0,0,0,4,10,2,3,12,23,41,35.94
12,Corey Perry,T.B,R,82,1.8666666666667,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.00
13,Loui Eriksson,ARI,L,73,91.833333333333,1,0,0,0,1,100.00,7,14.29,0.55,10,9,3,2,1,0,0,0,0,0,0,0,3,5,3,1,6,1,2,33.33
14,Patrice Bergeron,BOS,C,73,110.18333333333,0,3,1,2,3,100.00,13,0.00,1.11,16,15,10,4,2,2,8,4,4,0,0,1,0,2,6,1,10,79,81,49.38
15,Brad Richardson,"CGY, VAN",R,44,35.05,0,0,0,0,0,-,2,0.00,0.38,2,2,2,2,0,1,4,2,2,0,0,1,0,0,2,1,0,3,11,21.43
16,Nate Thompson,PHI,C,33,69.25,0,0,0,0,0,-,3,0.00,0.78,5,5,5,5,1,0,0,0,0,0,0,0,2,3,1,1,5,25,20,55.56
17,Joe Pavelski,DAL,C,82,41.3,0,0,0,0,0,-,1,0.00,0.12,2,2,2,1,0,0,0,0,0,0,0,0,1,2,0,0,2,10,15,40.00
18,Mark Giordano,"SEA, TOR",D,75,114.31666666667,2,0,0,0,2,40.00,4,50.00,0.37,6,6,3,2,0,0,2,1,1,0,0,0,4,4,3,4,19,0,0,-
