id,player_name,team,position,gp,toi,goals,assist,first_assist,second_assit,total_points,ipp,sf,sh_pcg,ixg,icf,iff,iscf,ihdcf,rush_attempts,rebounds_created,pim,total_penalties,minor,major,misconduct,penalties_drawn,giveaways,takeaways,hits,hits_taken,shots_blocked,faceoffs_won,faceoffs_lost,faceoffs_won_pcg
1,Jaromir Jagr,FLA,R,82,216.05,7,5,3,2,12,52.17,38,18.42,6.42,55,47,39,27,1,4,4,2,2,0,0,2,8,0,0,8,0,0,0,-
2,Shane Doan,ARI,R,74,113.28333333333,2,0,0,0,2,40.00,17,11.76,2.78,27,23,21,12,0,2,6,3,3,0,0,0,5,1,7,5,0,21,25,45.65
3,Jarome Iginla,"COL, L.A",R,80,164.83333333333,4,3,2,1,7,53.85,41,9.76,4.28,63,53,22,6,2,4,18,6,4,2,0,2,5,1,8,5,1,2,3,40.00
4,Matt Cullen,PIT,C,72,27.783333333333,2,2,1,1,4,80.00,3,66.67,1.23,6,5,5,5,0,1,2,1,1,0,0,1,1,0,0,0,0,14,10,58.33
5,Zdeno Chara,BOS,D,75,28.066666666667,1,1,1,0,2,66.67,4,25.00,0.35,13,7,3,0,0,0,2,1,1,0,0,0,0,0,0,0,1,0,0,-
6,Michal Rozsival,CHI,D,22,3.2666666666667,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,-
7,Shawn Thornton,FLA,L,50,7.6666666666667,0,0,0,0,0,-,1,0.00,0.08,1,1,0,0,0,0,24,5,2,2,1,1,0,0,0,0,0,0,0,-
8,Joe Thornton,S.J,C,79,240.3,1,15,4,11,16,61.54,15,6.67,1.64,31,23,13,4,0,1,2,1,1,0,0,3,11,5,1,3,0,81,72,52.94
9,Patrick Marleau,S.J,"C, L",82,229.95,6,7,2,5,13,50.00,32,18.75,4.75,60,46,39,21,1,3,6,3,3,0,0,0,10,4,2,8,0,15,9,62.50
10,Marian Hossa,CHI,R,73,121.73333333333,3,5,4,1,8,88.89,24,12.50,2.63,48,37,21,4,0,1,0,0,0,0,0,1,5,1,4,4,1,0,1,0.00
11,Jason Chimera,NYI,L,82,11.966666666667,0,0,0,0,0,-,2,0.00,0.18,2,2,2,0,0,1,5,1,0,1,0,0,0,0,0,0,0,0,0,-
12,Brian Campbell,CHI,D,80,129.46666666667,2,3,1,2,5,50.00,16,12.50,1.64,35,19,14,4,0,2,0,0,0,0,0,0,4,0,1,7,1,0,0,-
13,Mike Fisher,NSH,C,72,163.7,6,10,6,4,16,76.19,18,33.33,2.75,28,25,22,15,0,1,12,3,1,2,0,0,1,2,4,3,0,99,68,59.28
14,Mike Ribeiro,NSH,C,46,112.71666666667,2,4,2,2,6,60.00,6,33.33,1.09,12,6,8,5,1,1,0,0,0,0,0,0,10,0,0,4,1,28,39,41.79
15,Francois Beauchemin,COL,D,81,85.716666666667,0,3,1,2,3,60.00,16,0.00,0.82,25,20,5,0,0,0,4,2,2,0,0,0,2,0,2,1,1,0,0,-
16,Brian Gionta,BUF,R,82,123.76666666667,3,4,2,2,7,58.33,13,23.08,2.12,17,15,13,10,0,2,2,1,1,0,0,0,3,1,2,9,0,23,13,63.89
17,Chris Neil,OTT,R,53,1.4666666666667,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,9,3,2,1,0,1,0,0,0,0,0,0,0,-
18,Andrei Markov,MTL,D,62,157.41666666667,1,11,10,1,12,80.00,17,5.88,1.01,40,24,10,1,0,3,0,0,0,0,0,0,4,2,1,3,2,0,0,-
19,Daniel Sedin,VAN,L,82,227.83333333333,3,8,4,4,11,73.33,37,8.11,4.98,58,50,41,22,0,2,2,1,1,0,0,1,7,0,2,12,0,0,1,0.00
20,Henrik Sedin,VAN,C,82,232.85,1,11,4,7,12,80.00,9,11.11,1.43,19,16,11,4,0,1,0,0,0,0,0,0,10,0,0,6,0,66,50,56.90
21,Chris Kelly,OTT,C,82,3.0166666666667,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,5,1,0,1,0,0,0,0,1,0,0,0,0,-
22,Derek MacKenzie,FLA,C,82,12.8,0,0,0,0,0,-,2,0.00,0.13,3,3,0,0,0,0,4,2,2,0,0,0,0,0,2,1,0,7,2,77.78
23,Henrik Zetterberg,DET,L,82,223.03333333333,1,8,6,2,9,50.00,32,3.13,3.61,64,48,34,9,0,1,2,1,1,0,0,0,6,1,4,2,1,101,68,59.76
24,Radim Vrbata,ARI,R,81,204.05,4,9,7,2,13,56.52,62,6.45,5.68,112,88,43,16,0,4,2,1,1,0,0,0,6,2,2,3,1,6,6,50.00
25,Joel Ward,S.J,R,78,96.016666666667,1,2,1,1,3,75.00,11,9.09,2.31,23,20,21,15,1,1,0,0,0,0,0,0,2,0,2,3,1,16,17,48.48
26,Mark Streit,"PHI, PIT",D,68,146.26666666667,1,9,3,6,10,62.50,23,4.35,1.97,48,33,8,3,0,2,4,2,2,0,0,0,4,3,0,2,4,0,0,-
27,Marian Gaborik,L.A,R,56,80.416666666667,3,2,2,0,5,45.45,11,27.27,1.07,15,12,11,4,0,2,2,1,1,0,0,1,2,0,0,0,0,0,0,-
28,Scott Hartnell,CBJ,L,78,109.03333333333,2,1,1,0,3,60.00,10,20.00,2.89,17,17,15,13,0,2,2,1,1,0,0,0,6,1,2,4,1,0,0,-
29,Ron Hainsey,"CAR, PIT",D,72,12.9,0,0,0,0,0,-,1,0.00,0.11,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-
30,Brooks Orpik,WSH,D,79,1.65,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,5,1,0,1,0,0,0,0,0,0,0,0,0,-
31,Steve Ott,"DET, MTL",C,53,3.7666666666667,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,33,9,4,5,0,1,0,0,0,0,0,2,2,50.00
32,Justin Williams,WSH,R,80,161.73333333333,4,4,0,4,8,44.44,24,16.67,4.57,52,44,37,20,0,4,6,3,3,0,0,0,5,3,4,1,0,43,28,60.56
33,Niklas Kronwall,DET,D,57,136.53333333333,0,5,2,3,5,50.00,21,0.00,1.74,51,29,19,3,1,2,4,2,2,0,0,0,2,1,0,1,3,0,0,-
34,Nick Schultz,PHI,D,28,1.15,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
35,Antoine Vermette,ANA,C,72,131.53333333333,5,6,2,4,11,73.33,12,41.67,3.18,23,21,18,14,0,0,6,3,3,0,0,1,4,0,0,5,2,79,48,62.20
36,Paul Martin,S.J,D,81,12.933333333333,0,0,0,0,0,-,1,0.00,0.04,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-
37,Dominic Moore,BOS,C,82,18.6,0,0,0,0,0,-,2,0.00,0.35,3,3,2,2,0,1,2,1,1,0,0,0,0,0,1,1,0,11,8,57.89
38,Matt Hendricks,EDM,"C, L",42,2.6,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,9,3,2,1,0,0,0,0,0,0,0,1,0,100.00
39,John-Michael Liles,BOS,D,36,57,0,3,2,1,3,42.86,5,0.00,0.41,18,9,3,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,-
40,Deryk Engelland,CGY,D,81,2.0666666666667,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,16,5,3,2,0,1,0,0,0,0,0,0,0,-
41,Jason Spezza,DAL,C,68,173.93333333333,1,16,5,11,17,62.96,28,3.57,3.93,56,49,27,14,0,3,5,1,0,1,0,0,8,2,1,4,0,59,48,55.14
42,Mikko Koivu,MIN,C,80,171.76666666667,2,17,7,10,19,70.37,27,7.41,4.27,49,37,28,18,0,5,0,0,0,0,0,0,4,1,2,2,0,109,59,64.88
43,Dan Hamhuis,DAL,D,79,118.3,1,0,0,0,1,20.00,10,10.00,0.64,22,12,10,1,0,1,5,1,0,1,0,0,1,1,4,3,2,0,0,-
44,Ales Hemsky,DAL,R,15,21.883333333333,1,1,1,0,2,100.00,6,16.67,1.29,11,9,5,4,0,1,0,0,0,0,0,0,2,0,0,1,0,0,0,-
