id,player_name,team,position,gp,toi,goals,assist,first_assist,second_assist,total_points,ipp,sf,sh_pcg,ixg,icf,iff,iscf,ihdcf,rush_attempts,rebounds_created,pim,total_penalties,minor,major,misconduct,penalties_drawn,giveaways,takeaways,hits,hits_taken,shots_blocked,faceoffs_won,faceoffs_lost,faceoffs_won_pcg
1,Zdeno Chara,NYI,D,72,4.75,0,0,0,0,0,0.00,0,-,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
2,Joe Thornton,FLA,C,34,43.816666666667,3,0,0,0,3,75.00,6,50.00,0.89,12,9,8,3,0,0,2,1,1,0,0,0,0,1,1,0,0,6,7,46.15
3,Jason Spezza,TOR,C,71,98.716666666667,3,7,5,2,10,76.92,17,17.65,1.84,33,22,15,2,0,5,6,3,3,0,0,0,3,0,0,1,0,41,35,53.95
4,Duncan Keith,EDM,D,64,41.116666666667,0,2,0,2,2,66.67,3,0.00,0.25,8,5,2,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,-
5,Ryan Suter,DAL,D,82,171.11666666667,4,9,2,7,13,72.22,24,16.67,1.79,42,30,12,3,1,2,4,2,2,0,0,0,0,1,0,3,0,0,0,-
6,Jeff Carter,PIT,C,76,142.4,3,2,1,1,5,45.45,33,9.09,4.76,55,40,39,20,0,13,2,1,1,0,0,0,10,1,1,7,0,69,46,60.00
7,Dustin Brown,L.A,R,64,133.78333333333,1,2,0,2,3,21.43,25,4.00,6.66,40,37,34,30,1,4,6,3,3,0,0,0,2,0,3,7,1,0,0,-
8,Zach Parise,NYI,L,82,127.73333333333,2,5,4,1,7,36.84,19,10.53,2.99,28,25,24,18,0,2,4,2,2,0,0,0,4,0,3,11,0,2,6,25.00
9,Ryan Getzlaf,ANA,C,56,142.31666666667,2,8,4,4,10,62.50,24,8.33,2.77,44,34,21,7,0,2,0,0,0,0,0,1,12,3,2,2,1,84,51,62.22
10,Brent Burns,S.J,D,82,207.63333333333,3,13,11,2,16,64.00,45,6.67,3.09,95,64,20,1,4,8,0,0,0,0,0,1,9,8,2,3,9,0,0,-
11,Brian Boyle,PIT,C,66,3.6333333333333,0,0,0,0,0,-,2,0.00,0.37,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,50.00
