id,player_name,team,position,gp,toi,cf,ca,cf_pcg,ff,fa,ff_pcg,sf,sa,sf_pcg,goals,ga,gf_pcg,xgf,xga,xgf_pcg,scf,sca,scf_pcg,hdcf,hdca,hdcf_pcg,hdgf,hdga,hdgf_pcg,mdcf,mdca,mdcf_pcg,mdgf,mdga,mdgf_pcg,ldcf,ldca,ldcf_pcg,ldgf,ldga,ldgf_pcg,on_ice_sh_pcg,on_ice_sv_pcg,pdo,ozs,nzs,dzs,on_the_fly_starts,ofz_pcg,ozfo,nzfo,dzfo,ozfo_ocg
1,Zdeno Chara,WSH,D,55,810.26666666667,692,706,49.50,511,546,48.34,373,396,48.50,35,33,51.47,27.25,24.83,52.33,317,297,51.63,124,108,53.45,18,17,51.43,193,189,50.52,11,10,52.38,322,345,48.28,6,5,54.55,9.38,91.67,1.011,72,156,105,651,40.68,148,248,232,38.95
2,Joe Thornton,TOR,C,44,508.73333333333,474,380,55.50,363,285,56.02,259,200,56.43,25,18,58.14,19.84,16.1,55.20,252,195,56.38,89,73,54.94,11,11,50.00,163,122,57.19,10,5,66.67,193,155,55.46,4,2,66.67,9.65,91.00,1.007,114,124,42,415,73.08,188,168,90,67.63
3,Patrick Marleau,S.J,C,56,624.63333333333,529,578,47.79,387,433,47.20,278,318,46.64,17,25,40.48,22.13,24.56,47.40,267,269,49.81,110,121,47.62,12,16,42.86,157,148,51.48,3,6,33.33,224,263,46.00,2,3,40.00,6.12,92.14,0.983,103,122,82,507,55.68,170,167,163,51.05
4,Jason Spezza,TOR,C,54,463.53333333333,415,392,51.43,324,301,51.84,223,210,51.50,24,19,55.81,18.59,16.79,52.54,201,194,50.89,76,78,49.35,13,12,52.00,125,116,51.87,7,5,58.33,192,172,52.75,4,2,66.67,10.76,90.95,1.017,96,69,51,460,65.31,155,100,110,58.49
5,Mikko Koivu,CBJ,C,7,77.15,49,82,37.40,37,62,37.37,29,39,42.65,4,5,44.44,1.75,3.41,33.98,24,36,40.00,5,16,23.81,1,3,25.00,19,20,48.72,2,0,100.00,23,43,34.85,1,2,33.33,13.79,87.18,1.010,11,20,16,57,40.74,18,29,26,40.91
6,Valtteri Filppula,DET,C,38,495.33333333333,333,464,41.78,260,348,42.76,200,243,45.15,21,22,48.84,14.88,19.08,43.81,165,220,42.86,68,79,46.26,16,10,61.54,97,141,40.76,3,10,23.08,139,209,39.94,2,2,50.00,10.50,90.95,1.014,72,93,73,364,49.66,126,137,143,46.84
7,Frans Nielsen,DET,C,29,294.66666666667,211,268,44.05,169,200,45.80,136,143,48.75,9,12,42.86,9.19,10.53,46.60,96,119,44.65,44,46,48.89,5,6,45.45,52,73,41.60,3,4,42.86,93,133,41.15,1,2,33.33,6.62,91.61,0.982,47,54,37,261,55.95,72,77,74,49.32
8,Duncan Keith,CHI,D,54,929.58333333333,791,973,44.84,577,760,43.16,471,577,44.94,37,48,43.53,32.74,45.44,41.88,398,485,45.07,146,215,40.44,17,32,34.69,252,270,48.28,14,12,53.85,327,425,43.48,6,4,60.00,7.86,91.68,0.995,118,176,96,675,55.14,298,287,288,50.85
9,Eric Staal,"BUF, MTL",C,53,680.26666666667,619,594,51.03,471,462,50.48,322,344,48.35,10,32,23.81,24.85,26.88,48.04,298,312,48.85,107,129,45.34,4,20,16.67,191,183,51.07,3,10,23.08,278,248,52.85,3,2,60.00,3.11,90.70,0.938,96,142,75,582,56.14,183,190,174,51.26
10,Ryan Suter,MIN,D,56,949.98333333333,845,921,47.85,646,699,48.03,465,509,47.74,49,41,54.44,36.99,33.14,52.74,409,375,52.17,177,130,57.65,26,23,53.06,232,245,48.64,18,12,60.00,374,472,44.21,4,6,40.00,10.54,91.94,1.025,142,174,102,616,58.20,313,298,283,52.52
11,Braydon Coburn,"NYI, OTT",D,19,250.08333333333,212,281,43.00,165,200,45.21,117,151,43.66,9,13,40.91,9.01,11.35,44.25,88,129,40.55,47,51,47.96,7,6,53.85,41,78,34.45,1,4,20.00,103,130,44.21,1,3,25.00,7.69,91.39,0.991,28,56,30,236,48.28,56,81,85,39.72
12,Jeff Carter,"L.A, PIT",C,54,673.33333333333,585,569,50.69,449,436,50.73,346,334,50.88,33,23,58.93,26.06,26.21,49.86,286,298,48.97,115,115,50.00,21,12,63.64,171,183,48.31,10,6,62.50,255,236,51.93,2,4,33.33,9.54,93.11,1.027,130,147,104,547,55.56,213,196,213,50.00
13,Dustin Brown,L.A,R,49,670.45,600,543,52.49,464,416,52.73,338,291,53.74,26,25,50.98,24.74,23.62,51.16,272,282,49.10,121,115,51.27,18,15,54.55,151,167,47.48,7,9,43.75,281,224,55.64,1,0,100.00,7.69,91.41,0.991,105,166,111,506,48.61,199,221,197,50.25
14,Zach Parise,MIN,L,45,515.43333333333,412,518,44.30,323,373,46.41,235,269,46.63,29,22,56.86,19.99,18.22,52.31,220,205,51.76,105,71,59.66,16,14,53.33,115,134,46.18,11,5,68.75,164,264,38.32,2,3,40.00,12.34,91.82,1.042,72,93,88,354,45.00,139,156,189,42.38
