"","Player","Team","Position","GP","TOI","TOI/GP","CF/60 Rel","CA/60 Rel","CF% Rel","FF/60 Rel","FA/60 Rel","FF% Rel","SF/60 Rel","SA/60 Rel","SF% Rel","GF/60 Rel","GA/60 Rel","GF% Rel","xGF/60 Rel","xGA/60 Rel","xGF% Rel","SCF/60 Rel","SCA/60 Rel","SCF% Rel","HDCF/60 Rel","HDCA/60 Rel","HDCF% Rel","HDGF/60 Rel","HDGA/60 Rel","HDGF% Rel","MDCF/60 Rel","MDCA/60 Rel","MDCF% Rel","MDGF/60 Rel","MDGA/60 Rel","MDGF% Rel","LDCF/60 Rel","LDCA/60 Rel","LDCF% Rel","LDGF/60 Rel","LDGA/60 Rel","LDGF% Rel","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Starts/60","Neu. Zone Starts/60","Def. Zone Starts/60","On The Fly Starts/60","Off. Zone Start %","Off. Zone Faceoffs/60","Neu. Zone Faceoffs/60","Def. Zone Faceoffs/60","Off. Zone Faceoff %"
"857","Justin Kloos","ANA","C","1","7.0666666666667","7.0666666666667","21.41","-33.22","37.96","14.77","-31.38","47.50","22.15","-28.06","70.37","-2.95","-1.48","-","0.37","-1.86","48.52","15.14","-13.66","43.18","11.07","-4.43","42.86","-1.48","-1.48","-","5.41","-12.31","30.00","-1.97","0","-100.00","1.07","-26.13","28.74","0","0","-","0.00","-","0.00","0","0","0","84.91","-","16.98","0","8.49","66.67"
"801","Riley Stillman","FLA","D","1","11.366666666667","11.366666666667","25.06","-43.19","31.25","8.85","-27.73","22.62","16.85","-18.18","32.86","2.19","5.28","-50.00","1.06","0.33","10.86","13.11","-6.72","20.00","8.1","-7.09","36.54","3.73","0","0.00","6.68","0.5","8.82","-2.06","7.04","-100.00","23.02","-43.75","46.39","0","0","-","14.29","66.67","0.810","5.28","5.28","0","89.74","100.00","5.28","10.56","10.56","33.33"
"905","Blake Lizotte","L.A","C","1","11.2","11.2","47.55","-23.54","29.28","39.86","-14.41","31.16","26.06","-11.38","30.98","-4.58","3.83","-75.00","2.39","0.18","17.04","37.55","-2.97","26.87","3.08","-1.5","11.54","-3.05","0","-","45.97","-1.96","31.73","0","5.11","0.00","13.31","-23.1","29.56","-2.21","0","-100.00","0.00","80.00","0.800","10.71","10.71","10.71","42.86","50.00","21.43","10.71","32.14","40.00"
"904","Brogan Rafferty","VAN","D","2","26.666666666667","13.333333333333","25.99","-19.77","21.97","17.24","-18.55","23.87","6.95","-12.97","18.43","0","-0.06","0.00","1.03","-1.31","26.36","18.33","-17.59","32.22","6.56","-4.11","25.38","0","1.48","0.00","15.69","-17.98","36.09","0","-2.06","0.00","12.27","-1.84","11.02","0","0","-","0.00","90.00","0.900","4.5","4.5","11.25","58.5","28.57","15.75","4.5","13.5","53.85"
"852","Ryan Poehling","MTL","C","1","10.166666666667","10.166666666667","40.98","-19.27","19.84","30.85","-29.84","27.09","37.58","-29.02","35.66","16.44","-6.31","83.33","0.23","-3.35","34.81","18.17","-9.64","18.95","-4.61","-14.3","21.84","4.64","-2.53","66.67","30.38","6.22","20.00","15.74","-3.37","100.00","31.72","-13.32","23.19","0","-1.82","0.00","23.08","100.00","1.231","17.7","11.8","0","64.92","100.00","23.61","11.8","5.9","80.00"
"821","Patrick Russell","EDM","R","6","48.583333333333","8.0972222222222","15.18","-23.92","18.25","12.22","-17.42","18.75","10.68","-14.12","22.11","-1.19","-2.62","-","0.61","-1.28","23.63","5.8","-10.32","17.14","3.78","-9.62","37.79","-0.71","-1.67","-","2.69","-0.93","4.59","-0.32","-0.63","-33.33","15.7","-18.53","23.40","0","-0.69","0.00","0.00","100.00","1.000","18.52","12.35","2.47","54.34","88.24","25.93","23.46","11.11","70.00"
"497","Kevin Roy","ANA","L","3","34.866666666667","11.622222222222","10.7","-23.53","16.96","7.16","-19.3","18.69","8.79","-14.23","23.00","-3.26","1.07","-83.33","-0.05","-1.59","18.39","4.09","-8.65","12.70","2.7","-9.39","26.19","-2.6","-0.65","-","1.86","0.99","1.28","0","2.29","0.00","5.58","-21.77","23.91","-0.94","0","-100.00","0.00","87.50","0.875","6.88","13.77","3.44","58.51","66.67","15.49","15.49","13.77","52.94"
"699","Jakub Zboril","BOS","D","2","21.15","10.575","5.07","-22.84","14.55","6.63","-23.3","21.80","0.52","-12.03","13.73","-1.61","-0.81","-","0.06","-1.08","17.00","6.16","-8.41","18.13","-4.01","-4.4","-2.86","-1.61","-0.81","-","13.57","-5.35","27.78","0","0","-","-1.06","-19.14","15.26","0","0","-","0.00","100.00","1.000","2.84","11.35","5.67","93.62","33.33","5.67","14.18","11.35","33.33"
"903","Nico Sturm","MIN","C","2","23.3","11.65","18.81","-12.86","13.59","22.41","-11.83","18.98","16.23","-14.15","23.17","0","-3.09","-","1.23","-0.91","21.46","10.05","-10.29","17.11","9.27","-6.18","27.78","0","-2.32","-","1.03","-5.49","8.20","0","-1.03","0.00","13.4","0.01","8.87","0","0","-","0.00","100.00","1.000","5.15","12.88","5.15","59.23","50.00","18.03","12.88","12.88","58.33"
"645","Andreas Englund","OTT","D","3","37.266666666667","12.422222222222","1","-25.27","13.43","-5.77","-23.09","11.47","-0.5","-18.91","18.68","-2.57","2.26","-50.00","-0.63","-1.61","15.75","0.27","-16.6","24.62","-4.44","-7.53","7.14","-2.57","0.07","-62.50","6.28","-12.1","33.70","0","0.77","0.00","-2.4","-13.55","6.88","0","2.33","0.00","0.00","70.00","0.700","6.44","12.88","1.61","67.62","80.00","9.66","16.1","6.44","60.00"
