id,team_name,gp,toi,w,l,otl,row,points,point_pcg,cf,ca,cf_pcg,ff,fa,ff_pcg,sf,sa,sf_pcg,gf,ga,gf_pcg,xgf,xga,xgf_pcg,scf,sca,scf_pcg,scsf,scsa,scsf_pcg,scgf,scga,scgf_pcg,scsh_pcg,scsv_pcg,hdcf,hdca,hdcf_pcg,hdsf,hdsa,hdsf_pcg,hdgf,hdga,hdgf_pcg,hdsh_pcg,hdsv_pcg,mdcf,mdca,mdcf_pcg,mdsf,mdsa,mdsf_pcg,mdgf,mdga,mdgf_pcg,mdsh_pcg,mdsv_pcg,ldcf,ldca,ldcf_pcg,ldsf,ldsa,ldsf_pcg,ldgf,ldga,ldgf_pcg,ldsh_pcg,ldsv_pcg,sh_pcg,sv_pcg,pdo
1,Pittsburgh Penguins,82,4028.8167,46,25,11,43,103,0.628,3905,3597,52.05,3031,2696,52.92,2257,2047,52.44,180,154,53.89,178.84,156.52,53.33,1968,1731,53.20,1247,1090,53.36,157,138,53.22,12.59,87.34,807,691,53.87,646,547,54.15,108,98,52.43,16.72,82.08,1161,1040,52.75,601,543,52.53,49,40,55.06,8.15,92.63,1700,1622,51.17,909,858,51.44,23,16,58.97,2.53,98.14,7.98,92.48,1.005
2,Tampa Bay Lightning,82,3914.3,51,23,8,49,110,0.671,3552,3434,50.84,2738,2623,51.07,1931,1901,50.39,183,149,55.12,171.08,153.73,52.67,1986,1806,52.37,1154,1069,51.91,158,130,54.86,13.69,87.84,835,689,54.79,583,510,53.34,101,94,51.79,17.32,81.57,1151,1117,50.75,571,559,50.53,57,36,61.29,9.98,93.56,1401,1462,48.93,719,758,48.68,24,19,55.81,3.34,97.49,9.48,92.16,1.016
3,Seattle Kraken,82,4013.1333,27,49,6,24,60,0.366,3538,3455,50.59,2635,2621,50.13,1883,1878,50.07,152,188,44.71,144.73,154.53,48.36,1681,1699,49.73,997,981,50.40,125,162,43.55,12.54,83.49,654,689,48.70,484,501,49.14,77,107,41.85,15.91,78.64,1027,1010,50.42,513,480,51.66,48,55,46.60,9.36,88.54,1622,1530,51.46,827,801,50.80,27,26,50.94,3.26,96.75,8.07,89.99,0.981
4,Vegas Golden Knights,82,4076.3333,43,31,8,39,94,0.573,4147,3742,52.57,3100,2664,53.78,2279,1955,53.83,184,166,52.57,187.02,168.64,52.58,2021,1917,51.32,1205,1092,52.46,152,139,52.23,12.61,87.27,847,787,51.84,615,560,52.34,102,95,51.78,16.59,83.04,1174,1130,50.95,590,532,52.58,50,44,53.19,8.47,91.73,1783,1531,53.80,950,754,55.75,31,26,54.39,3.26,96.55,8.07,91.51,0.996
5,Montreal Canadiens,82,3927.9833,22,49,11,19,55,0.335,3422,3871,46.92,2532,2927,46.38,1902,2167,46.74,154,195,44.13,155.43,183.83,45.81,1681,2044,45.13,975,1221,44.40,129,168,43.43,13.23,86.24,702,849,45.26,495,616,44.55,72,122,37.11,14.55,80.19,979,1195,45.03,480,605,44.24,57,46,55.34,11.88,92.40,1455,1535,48.66,825,842,49.49,25,26,49.02,3.03,96.91,8.10,91.00,0.991
6,Toronto Maple Leafs,82,4020.45,54,21,7,51,115,0.701,4074,3533,53.56,3070,2711,53.10,2232,1993,52.83,208,182,53.33,190.75,154.9,55.19,2239,1771,55.84,1337,1076,55.41,182,160,53.22,13.61,85.13,881,701,55.69,638,508,55.67,112,109,50.68,17.55,78.54,1358,1070,55.93,699,568,55.17,70,51,57.85,10.01,91.02,1635,1522,51.79,818,808,50.31,25,22,53.19,3.06,97.28,9.32,90.87,1.002
7,New York Rangers,82,4040.7333,52,24,6,48,110,0.671,3322,3741,47.03,2514,2796,47.34,1841,2002,47.91,158,148,51.63,151.62,170.68,47.04,1655,1939,46.05,983,1099,47.21,134,128,51.15,13.63,88.35,720,788,47.75,534,565,48.59,92,89,50.83,17.23,84.25,935,1151,44.82,449,534,45.68,42,39,51.85,9.35,92.70,1459,1581,47.99,779,813,48.93,24,20,54.55,3.08,97.54,8.58,92.61,1.012
8,Washington Capitals,82,3979.1,44,26,12,39,100,0.610,3671,3591,50.55,2807,2654,51.40,1995,1878,51.51,179,157,53.27,161.95,158.26,50.58,1821,1792,50.40,1062,1022,50.96,149,130,53.41,14.03,87.28,696,710,49.50,474,501,48.62,88,89,49.72,18.57,82.24,1125,1082,50.97,588,521,53.02,61,41,59.80,10.37,92.13,1594,1528,51.06,837,771,52.05,30,27,52.63,3.58,96.50,8.97,91.64,1.006
9,Chicago Blackhawks,82,4001.4667,28,42,12,22,68,0.415,3347,3932,45.98,2436,2865,45.95,1822,2135,46.04,143,192,42.69,138.68,166.27,45.48,1583,1903,45.41,970,1131,46.17,124,165,42.91,12.78,85.41,586,681,46.25,448,519,46.33,72,101,41.62,16.07,80.54,997,1222,44.93,522,612,46.03,52,64,44.83,9.96,89.54,1542,1793,46.24,778,936,45.39,19,27,41.30,2.44,97.12,7.85,91.01,0.989
10,Colorado Avalanche,82,3905,56,19,7,52,119,0.726,4008,3574,52.86,2926,2712,51.90,2216,2040,52.07,198,153,56.41,168,155.05,52.00,1955,1675,53.86,1173,1038,53.05,164,126,56.55,13.98,87.86,736,735,50.03,550,541,50.41,103,84,55.08,18.73,84.47,1219,940,56.46,623,497,55.63,61,42,59.22,9.79,91.55,1777,1614,52.40,934,903,50.84,34,26,56.67,3.64,97.12,8.94,92.50,1.014
