id,team_name,gp,toi,w,l,otl,row,points,point_pcg,cf,ca,cf_pcg,ff,fa,ff_pcg,sf,sa,sf_pcg,gf,ga,gf_pcg,xgf,xga,xgf_pcg,scf,sca,scf_pcg,scsf,scsa,scsf_pcg,scgf,scga,scgf_pcg,scsh_pcg,scsv_pcg,hdcf,hdca,hdcf_pcg,hdsf,hdsa,hdsf_pcg,hdgf,hdga,hdgf_pcg,hdsh_pcg,hdsv_pcg,mdcf,mdca,mdcf_pcg,mdsf,mdsa,mdsf_pcg,mdgf,mdga,mdgf_pcg,mdsh_pcg,mdsv_pcg,ldcf,ldca,ldcf_pcg,ldsf,ldsa,ldsf_pcg,ldgf,ldga,ldgf_pcg,ldsh_pcg,ldsv_pcg,sh_pcg,sv_pcg,pdo
1,Pittsburgh Penguins,56,245.8,37,16,3,34,77,0.688,56,348,13.86,45,268,14.38,37,203,15.42,4,32,11.11,2.63,23.84,9.93,22,170,11.46,15,117,11.36,4,24,14.29,26.67,79.49,13,76,14.61,11,65,14.47,2,17,10.53,18.18,73.85,9,94,8.74,4,52,7.14,2,7,22.22,50.00,86.54,17,171,9.04,9,84,9.68,0,8,0.00,0.00,90.48,10.81,84.24,0.950
2,Philadelphia Flyers,56,258.9333,25,23,8,22,58,0.518,80,387,17.13,72,297,19.51,57,218,20.73,1,43,2.27,3.16,26.94,10.50,27,197,12.05,17,124,12.06,1,35,2.78,5.88,71.77,11,89,11.00,9,71,11.25,1,25,3.85,11.11,64.79,16,108,12.90,8,53,13.11,0,10,0.00,0.00,81.13,18,182,9.00,8,94,7.84,0,8,0.00,0.00,91.49,1.75,80.28,0.820
3,Chicago Blackhawks,56,246.45,24,25,7,22,55,0.491,60,391,13.30,55,302,15.41,48,237,16.84,2,33,5.71,4.05,26.59,13.23,36,207,14.81,28,133,17.39,2,20,9.09,7.14,84.96,17,78,17.89,16,64,20.00,1,14,6.67,6.25,78.13,19,129,12.84,12,69,14.81,1,6,14.29,8.33,91.30,11,177,5.85,8,104,7.14,0,13,0.00,0.00,87.50,4.17,86.08,0.902
4,Tampa Bay Lightning,56,300.5167,36,17,3,35,75,0.670,74,393,15.85,65,295,18.06,54,222,19.57,2,28,6.67,5.66,25.28,18.30,47,214,18.01,37,124,22.98,2,19,9.52,5.41,84.68,24,77,23.76,20,57,25.97,1,14,6.67,5.00,75.44,23,137,14.38,17,67,20.24,1,5,16.67,5.88,92.54,18,171,9.52,9,95,8.65,0,8,0.00,0.00,91.58,3.70,87.39,0.911
5,Montreal Canadiens,56,261.8667,24,21,11,23,59,0.527,77,421,15.46,66,342,16.18,55,260,17.46,9,34,20.93,4.39,30.73,12.49,41,245,14.34,33,164,16.75,8,25,24.24,24.24,84.76,17,100,14.53,14,80,14.89,5,14,26.32,35.71,82.50,24,145,14.20,19,84,18.45,3,11,21.43,15.79,86.90,21,171,10.94,9,96,8.57,1,9,10.00,11.11,90.63,16.36,86.92,1.033
6,Toronto Maple Leafs,56,236.9667,35,14,7,34,77,0.688,78,315,19.85,71,253,21.91,65,185,26.00,3,25,10.71,4.8,21.64,18.17,47,179,20.80,40,105,27.59,3,20,13.04,7.50,80.95,21,65,24.42,18,51,26.09,2,13,13.33,11.11,74.51,26,114,18.57,22,54,28.95,1,7,12.50,4.55,87.04,6,133,4.32,3,78,3.70,0,5,0.00,0.00,93.59,4.62,86.49,0.911
7,Vancouver Canucks,56,297.5333,23,29,4,20,50,0.446,66,458,12.60,58,363,13.78,48,264,15.38,4,32,11.11,2.08,32.99,5.94,24,268,8.22,16,164,8.89,4,23,14.81,25.00,85.98,5,103,4.63,5,74,6.33,1,15,6.25,20.00,79.73,19,165,10.33,11,90,10.89,3,8,27.27,27.27,91.11,14,185,7.04,8,99,7.48,0,9,0.00,0.00,90.91,8.33,87.88,0.962
8,Edmonton Oilers,56,256.4667,35,19,2,35,72,0.643,57,447,11.31,53,326,13.98,43,239,15.25,2,27,6.90,3.02,29.46,9.30,31,245,11.23,23,143,13.86,2,22,8.33,8.70,84.62,13,99,11.61,13,69,15.85,2,11,15.38,15.38,84.06,18,146,10.98,10,74,11.90,0,11,0.00,0.00,85.14,12,191,5.91,9,95,8.65,0,5,0.00,0.00,94.74,4.65,88.70,0.934
9,St Louis Blues,56,254.1833,27,20,9,25,63,0.563,48,408,10.53,47,331,12.43,36,233,13.38,5,32,13.51,2.57,30.97,7.66,22,211,9.44,15,124,10.79,4,28,12.50,26.67,77.42,13,98,11.71,9,63,12.50,4,18,18.18,44.44,71.43,9,113,7.38,6,61,8.96,0,10,0.00,0.00,83.61,14,190,6.86,10,108,8.47,1,4,20.00,10.00,96.30,13.89,86.27,1.002
10,Colorado Avalanche,56,281.1667,39,13,4,39,82,0.732,69,455,13.17,60,337,15.11,50,245,16.95,1,24,4.00,2.74,27.45,9.09,26,214,10.83,19,115,14.18,1,15,6.25,5.26,86.96,12,82,12.77,10,60,14.29,1,6,14.29,10.00,90.00,14,132,9.59,9,55,14.06,0,9,0.00,0.00,83.64,17,238,6.67,8,130,5.80,0,9,0.00,0.00,93.08,2.00,90.20,0.922
