id,team_name,gp,toi,w,l,otl,row,points,point_pcg,cf,ca,cf_pcg,ff,fa,ff_pcg,sf,sa,sf_pcg,gf,ga,gf_pcg,xgf,xga,xgf_pcg,scf,sca,scf_pcg,scsf,scsa,scsf_pcg,scgf,scga,scgf_pcg,scsh_pcg,scsv_pcg,hdcf,hdca,hdcf_pcg,hdsf,hdsa,hdsf_pcg,hdgf,hdga,hdgf_pcg,hdsh_pcg,hdsv_pcg,mdcf,mdca,mdcf_pcg,mdsf,mdsa,mdsf_pcg,mdgf,mdga,mdgf_pcg,mdsh_pcg,mdsv_pcg,ldcf,ldca,ldcf_pcg,ldsf,ldsa,ldsf_pcg,ldgf,ldga,ldgf_pcg,ldsh_pcg,ldsv_pcg,sh_pcg,sv_pcg,pdo
1,Philadelphia Flyers,56,271.0333,25,23,8,22,58,0.518,420,71,85.54,317,60,84.08,224,48,82.35,31,5,86.11,27.78,3.12,89.89,198,28,87.61,117,16,87.97,27,4,87.10,23.08,75.00,101,16,86.32,84,12,87.50,19,3,86.36,22.62,75.00,97,12,88.99,33,4,89.19,8,1,88.89,24.24,75.00,214,21,91.06,105,14,88.24,4,1,80.00,3.81,92.86,13.84,89.58,1.034
2,Pittsburgh Penguins,56,236.0833,37,16,3,34,77,0.688,361,67,84.35,273,59,82.23,212,52,80.30,35,4,89.74,25.51,4.18,85.93,210,36,85.37,131,29,81.88,30,4,88.24,22.90,86.21,91,20,81.98,75,16,82.42,22,2,91.67,29.33,87.50,119,16,88.15,56,13,81.16,8,2,80.00,14.29,84.62,144,17,89.44,81,9,90.00,5,0,100.00,6.17,100.00,16.51,92.31,1.088
3,Chicago Blackhawks,56,292.2333,24,25,7,22,55,0.491,386,75,83.73,286,65,81.48,230,57,80.14,35,5,87.50,26.08,4.93,84.10,225,39,85.23,147,29,83.52,31,5,86.11,21.09,82.76,86,23,78.90,65,19,77.38,22,3,88.00,33.85,84.21,139,16,89.68,82,10,89.13,9,2,81.82,10.98,80.00,147,21,87.50,82,14,85.42,4,0,100.00,4.88,100.00,15.22,91.23,1.064
4,Tampa Bay Lightning,56,275.3833,36,17,3,35,75,0.670,401,54,88.13,314,46,87.22,230,44,83.94,39,3,92.86,26.7,2.69,90.86,196,32,85.96,135,26,83.85,32,3,91.43,23.70,88.46,70,13,84.34,62,13,82.67,21,1,95.45,33.87,92.31,126,19,86.90,73,13,84.88,11,2,84.62,15.07,84.62,193,9,95.54,93,7,93.00,7,0,100.00,7.53,100.00,16.96,93.18,1.101
5,Montreal Canadiens,56,245.8167,24,21,11,23,59,0.527,331,42,88.74,255,33,88.54,192,32,85.71,27,2,93.10,21.96,1.55,93.39,159,18,89.83,101,12,89.38,18,2,90.00,17.82,83.33,65,7,90.28,52,7,88.14,13,2,86.67,25.00,71.43,94,11,89.52,49,5,90.74,5,0,100.00,10.20,100.00,165,6,96.49,90,3,96.77,9,0,100.00,10.00,100.00,14.06,93.75,1.078
6,Toronto Maple Leafs,56,240.3,35,14,7,34,77,0.688,411,66,86.16,317,59,84.31,230,51,81.85,28,6,82.35,30.9,4.16,88.13,264,42,86.27,156,33,82.54,24,6,80.00,15.38,81.82,110,16,87.30,81,15,84.38,13,6,68.42,16.05,60.00,154,26,85.56,75,18,80.65,11,0,100.00,14.67,100.00,141,9,94.00,73,5,93.59,4,0,100.00,5.48,100.00,12.17,88.24,1.004
7,Vancouver Canucks,56,256.7167,23,29,4,20,50,0.446,423,58,87.94,305,54,84.96,210,45,82.35,24,4,85.71,26.01,3.88,87.02,239,37,86.59,127,30,80.89,18,4,81.82,14.17,86.67,79,14,84.95,51,13,79.69,12,3,80.00,23.53,76.92,160,23,87.43,76,17,81.72,6,1,85.71,7.89,94.12,180,9,95.24,82,6,93.18,6,0,100.00,7.32,100.00,11.43,91.11,1.025
8,Edmonton Oilers,56,261.4167,35,19,2,35,72,0.643,456,57,88.89,349,49,87.69,262,43,85.90,44,4,91.67,34.33,2.91,92.20,282,28,90.97,181,25,87.86,36,4,90.00,19.89,84.00,117,9,92.86,92,9,91.09,21,2,91.30,22.83,77.78,165,19,89.67,89,16,84.76,15,2,88.24,16.85,87.50,171,10,94.48,80,2,97.56,8,0,100.00,10.00,100.00,16.79,90.70,1.075
9,St Louis Blues,56,235.3333,27,20,9,25,63,0.563,409,43,90.49,303,35,89.64,229,22,91.24,32,1,96.97,26.16,2.54,91.15,190,20,90.48,123,10,92.48,25,1,96.15,20.33,90.00,65,11,85.53,50,6,89.29,11,0,100.00,22.00,100.00,125,9,93.28,73,4,94.81,14,1,93.33,19.18,75.00,210,11,95.02,104,3,97.20,7,0,100.00,6.73,100.00,13.97,95.45,1.094
10,Colorado Avalanche,56,318.6833,39,13,4,39,82,0.732,560,58,90.61,426,52,89.12,323,44,88.01,45,2,95.74,41.15,2.76,93.71,320,23,93.29,202,18,91.82,37,2,94.87,18.32,88.89,141,12,92.16,101,11,90.18,17,1,94.44,16.83,90.91,179,11,94.21,101,7,93.52,20,1,95.24,19.80,85.71,234,12,95.12,120,5,96.00,8,0,100.00,6.67,100.00,13.93,95.45,1.094
11,Washington Capitals,56,245.5833,36,15,5,33,77,0.688,388,52,88.18,315,46,87.26,231,37,86.19,35,5,87.50,26.18,2.26,92.05,185,19,90.69,121,13,90.30,27,3,90.00,22.31,76.92,61,7,89.71,52,5,91.23,15,2,88.24,28.85,60.00,124,12,91.18,69,8,89.61,12,1,92.31,17.39,87.50,191,18,91.39,107,10,91.45,8,2,80.00,7.48,80.00,15.15,86.49,1.016
12,Buffalo Sabres,56,237.7833,15,34,7,11,37,0.330,328,45,87.94,260,43,85.81,191,35,84.51,30,3,90.91,22.74,2.41,90.42,146,18,89.02,96,13,88.07,22,3,88.00,22.92,76.92,65,14,82.28,54,11,83.08,12,2,85.71,22.22,81.82,81,4,95.29,42,2,95.45,10,1,90.91,23.81,50.00,179,11,94.21,95,6,94.06,8,0,100.00,8.42,100.00,15.71,91.43,1.071
13,Boston Bruins,56,259.1,33,16,7,29,73,0.652,401,73,84.60,297,64,82.27,198,54,78.57,29,5,85.29,25.42,4.33,85.45,212,31,87.24,113,24,82.48,24,4,85.71,21.24,83.33,84,24,77.78,55,21,72.37,15,3,83.33,27.27,85.71,128,7,94.81,58,3,95.08,9,1,90.00,15.52,66.67,184,21,89.76,84,10,89.36,5,1,83.33,5.95,90.00,14.65,90.74,1.054
14,New Jersey Devils,56,252.8333,19,30,7,19,45,0.402,332,48,87.37,247,46,84.30,177,38,82.33,20,4,83.33,21.71,3.29,86.85,159,30,84.13,96,26,78.69,16,4,80.00,16.67,84.62,57,13,81.43,40,13,75.47,9,3,75.00,22.50,76.92,102,17,85.71,56,13,81.16,7,1,87.50,12.50,92.31,168,8,95.45,81,4,95.29,4,0,100.00,4.94,100.00,11.30,89.47,1.008
15,New York Islanders,56,246.7667,32,17,7,28,71,0.634,345,58,85.61,267,47,85.03,198,36,84.62,26,0,100.00,26.94,2.89,90.33,202,25,88.99,131,15,89.73,25,0,100.00,19.08,100.00,91,11,89.22,74,7,91.36,20,0,100.00,27.03,100.00,111,14,88.80,57,8,87.69,5,0,100.00,8.77,100.00,135,21,86.54,67,10,87.01,1,0,100.00,1.49,100.00,13.13,100.00,1.131
16,New York Rangers,56,277.9833,27,23,6,26,60,0.536,460,61,88.29,358,54,86.89,240,40,85.71,35,3,92.11,33.26,1.85,94.73,253,18,93.36,146,11,92.99,29,3,90.63,19.86,72.73,119,7,94.44,81,5,94.19,20,3,86.96,24.69,40.00,134,11,92.41,65,6,91.55,9,0,100.00,13.85,100.00,200,14,93.46,93,5,94.90,6,0,100.00,6.45,100.00,14.58,92.50,1.071
17,Dallas Stars,56,257.15,23,19,14,21,60,0.536,384,61,86.29,302,56,84.36,211,44,82.75,34,3,91.89,26.82,2.58,91.22,212,23,90.21,132,13,91.03,29,2,93.55,21.97,84.62,100,9,91.74,74,5,93.67,24,1,96.00,32.43,80.00,112,14,88.89,58,8,87.88,5,1,83.33,8.62,87.50,164,14,92.13,77,11,87.50,5,1,83.33,6.49,90.91,16.11,93.18,1.093
18,Florida Panthers,56,313.8167,37,14,5,36,79,0.705,493,80,86.04,392,73,84.30,296,62,82.68,35,3,92.11,34.26,3.71,90.24,227,37,85.98,158,27,85.41,29,2,93.55,18.35,92.59,101,17,85.59,86,15,85.15,19,1,95.00,22.09,93.33,126,20,86.30,72,12,85.71,10,1,90.91,13.89,91.67,250,19,92.94,135,13,91.22,6,1,85.71,4.44,92.31,11.82,95.16,1.070
19,Carolina Hurricanes,56,245.1667,36,12,8,32,80,0.714,433,64,87.12,301,54,84.79,213,39,84.52,40,5,88.89,27.58,4.58,85.77,235,39,85.77,120,24,83.33,31,5,86.11,25.83,79.17,95,22,81.20,65,17,79.27,23,5,82.14,35.38,70.59,140,17,89.17,55,7,88.71,8,0,100.00,14.55,100.00,188,16,92.16,90,8,91.84,8,0,100.00,8.89,100.00,18.78,87.18,1.060
20,Detroit Red Wings,56,256.25,19,27,10,17,48,0.429,330,68,82.91,242,62,79.61,181,56,76.37,16,3,84.21,20.11,4.25,82.54,150,39,79.37,90,34,72.58,12,3,80.00,13.33,91.18,46,19,70.77,39,18,68.42,5,1,83.33,12.82,94.44,104,20,83.87,51,16,76.12,7,2,77.78,13.73,87.50,172,16,91.49,90,9,90.91,4,0,100.00,4.44,100.00,8.84,94.64,1.035
21,Columbus Blue Jackets,56,190.45,18,26,12,15,48,0.429,233,52,81.75,191,44,81.28,140,39,78.21,18,2,90.00,14.61,2.97,83.10,99,22,81.82,68,17,80.00,8,2,80.00,11.76,88.24,33,14,70.21,24,11,68.57,4,1,80.00,16.67,90.91,66,8,89.19,44,6,88.00,4,1,80.00,9.09,83.33,128,18,87.67,71,10,87.65,10,0,100.00,14.08,100.00,12.86,94.87,1.077
22,Nashville Predators,56,261.3167,31,23,2,26,64,0.571,383,56,87.24,287,50,85.16,213,40,84.19,26,2,92.86,23.54,3.23,87.94,170,30,85.00,104,18,85.25,19,2,90.48,18.27,88.89,72,12,85.71,52,10,83.87,12,2,85.71,23.08,80.00,98,18,84.48,52,8,86.67,7,0,100.00,13.46,100.00,208,15,93.27,107,12,89.92,5,0,100.00,4.67,100.00,12.21,95.00,1.072
23,Calgary Flames,56,284.1833,26,27,3,25,55,0.491,431,91,82.57,336,82,80.38,242,65,78.83,30,6,83.33,28.11,4.67,85.75,216,48,81.82,144,37,79.56,24,6,80.00,16.67,83.78,84,19,81.55,63,16,79.75,10,4,71.43,15.87,75.00,132,29,81.99,81,21,79.41,14,2,87.50,17.28,90.48,204,16,92.73,95,7,93.14,6,0,100.00,6.32,100.00,12.40,90.77,1.032
24,Winnipeg Jets,56,276.8833,30,23,3,30,63,0.563,475,78,85.90,356,66,84.36,270,56,82.82,33,3,91.67,30.71,4.41,87.45,266,36,88.08,151,26,85.31,23,3,88.46,15.23,88.46,90,20,81.82,66,16,80.49,11,2,84.62,16.67,87.50,176,16,91.67,85,10,89.47,12,1,92.31,14.12,90.00,204,19,91.48,117,8,93.60,10,0,100.00,8.55,100.00,12.22,94.64,1.069
