Date,Start Time (Sask),Start Time (ET),Visitor,Score,Home,Score,Status
2021-01-13,4:30 PM,5:30 PM,Pittsburgh Penguins,3,Philadelphia Flyers,6,Regulation
2021-01-13,6:00 PM,7:00 PM,Montreal Canadiens,4,Toronto Maple Leafs,5,OT
2021-01-13,7:00 PM,8:00 PM,Chicago Blackhawks,1,Tampa Bay Lightning,5,Regulation
2021-01-13,9:00 PM,10:00 PM,Vancouver Canucks,5,Edmonton Oilers,3,Regulation
2021-01-13,9:30 PM,10:30 PM,St. Louis Blues,4,Colorado Avalanche,1,Regulation
2021-01-14,6:00 PM,7:00 PM,Washington Capitals,6,Buffalo Sabres,4,Regulation
2021-01-14,6:00 PM,7:00 PM,Boston Bruins,3,New Jersey Devils,2,SO
2021-01-14,6:00 PM,7:00 PM,New York Islanders,4,New York Rangers,0,Regulation
2021-01-14,6:30 PM,7:30 PM,Carolina Hurricanes,3,Detroit Red Wings,0,Regulation
2021-01-14,7:00 PM,8:00 PM,Columbus Blue Jackets,1,Nashville Predators,3,Regulation
2021-01-14,7:00 PM,8:00 PM,Calgary Flames,3,Winnipeg Jets,4,OT
2021-01-14,8:00 PM,9:00 PM,Vancouver Canucks,2,Edmonton Oilers,5,Regulation
2021-01-14,8:00 PM,9:00 PM,San Jose Sharks,4,Arizona Coyotes,3,SO
2021-01-14,9:00 PM,10:00 PM,Anaheim Ducks,2,Vegas Golden Knights,5,Regulation
2021-01-14,9:00 PM,10:00 PM,Minnesota Wild,4,Los Angeles Kings,3,OT
2021-01-15,6:00 PM,7:00 PM,Washington Capitals,2,Buffalo Sabres,1,Regulation
2021-01-15,6:00 PM,7:00 PM,Pittsburgh Penguins,2,Philadelphia Flyers,5,Regulation
2021-01-15,6:00 PM,7:00 PM,Chicago Blackhawks,2,Tampa Bay Lightning,5,Regulation
2021-01-15,6:00 PM,7:00 PM,Toronto Maple Leafs,3,Ottawa Senators,5,Regulation
2021-01-15,8:00 PM,9:00 PM,St. Louis Blues,0,Colorado Avalanche,8,Regulation
2021-01-16,12:00 PM,1:00 PM,Boston Bruins,1,New Jersey Devils,2,OT
2021-01-16,3:00 PM,4:00 PM,San Jose Sharks,3,Arizona Coyotes,5,Regulation
2021-01-16,6:00 PM,7:00 PM,New York Islanders,0,New York Rangers,5,Regulation
2021-01-16,6:00 PM,7:00 PM,Carolina Hurricanes,2,Detroit Red Wings,4,Regulation
2021-01-16,6:00 PM,7:00 PM,Toronto Maple Leafs,3,Ottawa Senators,2,Regulation
2021-01-16,6:00 PM,7:00 PM,Montreal Canadiens,5,Edmonton Oilers,1,Regulation
2021-01-16,7:00 PM,8:00 PM,Columbus Blue Jackets,2,Nashville Predators,5,Regulation
2021-01-16,8:00 PM,9:00 PM,Minnesota Wild,4,Los Angeles Kings,3,OT
2021-01-16,9:00 PM,10:00 PM,Vancouver Canucks,0,Calgary Flames,3,Regulation
2021-01-16,9:00 PM,10:00 PM,Anaheim Ducks,1,Vegas Golden Knights,2,OT
2021-01-17,11:00 AM,12:00 PM,Washington Capitals,3,Pittsburgh Penguins,4,SO
2021-01-17,6:00 PM,7:00 PM,Chicago Blackhawks,2,Florida Panthers,5,Regulation
2021-01-18,11:00 AM,12:00 PM,Columbus Blue Jackets,3,Detroit Red Wings,2,Regulation
2021-01-18,4:00 PM,5:00 PM,Boston Bruins,0,New York Islanders,1,Regulation
2021-01-18,6:00 PM,7:00 PM,Winnipeg Jets,1,Toronto Maple Leafs,3,Regulation
2021-01-18,6:30 PM,7:30 PM,Buffalo Sabres,6,Philadelphia Flyers,1,Regulation
2021-01-18,7:00 PM,8:00 PM,San Jose Sharks,4,St. Louis Blues,5,Regulation
2021-01-18,7:00 PM,8:00 PM,Carolina Hurricanes,4,Nashville Predators,2,Regulation
2021-01-18,8:00 PM,9:00 PM,Vancouver Canucks,2,Calgary Flames,5,Regulation
2021-01-18,8:00 PM,9:00 PM,Montreal Canadiens,3,Edmonton Oilers,1,Regulation
2021-01-18,8:00 PM,9:00 PM,Minnesota Wild,0,Anaheim Ducks,1,Regulation
2021-01-18,9:00 PM,10:00 PM,Arizona Coyotes,2,Vegas Golden Knights,4,Regulation
2021-01-19,6:00 PM,7:00 PM,New Jersey Devils,4,New York Rangers,3,Regulation
2021-01-19,6:00 PM,7:00 PM,Buffalo Sabres,0,Philadelphia Flyers,3,Regulation
2021-01-19,6:00 PM,7:00 PM,Chicago Blackhawks,4,Florida Panthers,5,OT
2021-01-19,6:00 PM,7:00 PM,Washington Capitals,4,Pittsburgh Penguins,5,OT
2021-01-19,6:00 PM,7:00 PM,Winnipeg Jets,4,Ottawa Senators,3,OT
2021-01-19,6:30 PM,7:30 PM,Columbus Blue Jackets,2,Detroit Red Wings,3,OT
2021-01-19,9:00 PM,10:00 PM,Colorado Avalanche,3,Los Angeles Kings,2,Regulation
2021-01-20,6:00 PM,7:00 PM,Edmonton Oilers,3,Toronto Maple Leafs,1,Regulation
